name,card_id,rare
ブラック・マジシャン,20TH-JPBS1,Secret
Ｅ・ＨＥＲＯ ネオス,20TH-JPBS2,Secret
スターダスト・ドラゴン,20TH-JPBS3,Secret
Ｎｏ.３９ 希望皇ホープ,20TH-JPBS4,Secret
オッドアイズ・ペンデュラム・ドラゴン,20TH-JPBS5,Secret
デコード・トーカー,20TH-JPBS6,Secret
マジシャン・オブ・カオス,20TH-JPB01,Ultra
超魔導騎士−ブラック・キャバルリー,20TH-JPB02,Ultra
運命のドロー,20TH-JPB03,Ultra
拡散する波動,20TH-JPB04,Parallel
黒の魔導陣,20TH-JPB05,Parallel
永遠の魂,20TH-JPB06,Parallel
Ｅ・ＨＥＲＯ ネビュラ・ネオス,20TH-JPB07,Ultra
Ｅ・ＨＥＲＯ グランドマン,20TH-JPB08,Ultra
ダブルヒーローアタック,20TH-JPB09,Ultra
Ｅ・ＨＥＲＯ シャイニング・フレア・ウィングマン,20TH-JPB10,Parallel
ラス・オブ・ネオス,20TH-JPB11,Parallel
ミラクル・フュージョン,20TH-JPB12,Parallel
シグナル・ウォリアー,20TH-JPB13,Ultra
ジャンク・スピーダー,20TH-JPB14,Ultra
星屑の願い,20TH-JPB15,Ultra
ジャンク・シンクロン,20TH-JPB16,Parallel
ドッペル・ウォリアー,20TH-JPB17,Parallel
エフェクト・ヴェーラー,20TH-JPB18,Parallel
Ｎｏ.３９ 希望皇ホープ・ダブル,20TH-JPB19,Ultra
希望皇オノマトピア,20TH-JPB20,Ultra
シャイニング・ドロー,20TH-JPB21,Ultra
ガガガマジシャン,20TH-JPB22,Parallel
ダブル・アップ・チャンス,20TH-JPB23,Parallel
かっとビング・チャレンジ,20TH-JPB24,Parallel
オッドアイズ・アドバンス・ドラゴン,20TH-JPB25,Ultra
ＥＭスマイル・マジシャン,20TH-JPB26,Ultra
魂のペンデュラム,20TH-JPB27,Ultra
オッドアイズ・セイバー・ドラゴン,20TH-JPB28,Parallel
スマイル・ワールド,20TH-JPB29,Parallel
デュエリスト・アドベント,20TH-JPB30,Parallel
サイバース・エンチャンター,20TH-JPB31,Ultra
バックアップ・スーパーバイザー,20TH-JPB32,Ultra
デコード・エンド,20TH-JPB33,Ultra
サイバース・ウィザード,20TH-JPB34,Parallel
リンク・ディサイプル,20TH-JPB35,Parallel
セキュリティ・ドラゴン,20TH-JPB36,Parallel
トークン,20TH-JPBT1,Ultra
トークン,20TH-JPBT2,Ultra
トークン,20TH-JPBT3,Ultra
トークン,20TH-JPBT4,Ultra
トークン,20TH-JPBT5,Ultra
トークン,20TH-JPBT6,Ultra
ブラック・マジシャン,20TH-JPBS1,Secret
Ｅ・ＨＥＲＯ ネオス,20TH-JPBS2,Secret
スターダスト・ドラゴン,20TH-JPBS3,Secret
Ｎｏ.３９ 希望皇ホープ,20TH-JPBS4,Secret
オッドアイズ・ペンデュラム・ドラゴン,20TH-JPBS5,Secret
デコード・トーカー,20TH-JPBS6,Secret
マジシャン・オブ・カオス,20TH-JPB01,Ultra
超魔導騎士−ブラック・キャバルリー,20TH-JPB02,Ultra
運命のドロー,20TH-JPB03,Ultra
拡散する波動,20TH-JPB04,Parallel
黒の魔導陣,20TH-JPB05,Parallel
永遠の魂,20TH-JPB06,Parallel
Ｅ・ＨＥＲＯ ネビュラ・ネオス,20TH-JPB07,Ultra
Ｅ・ＨＥＲＯ グランドマン,20TH-JPB08,Ultra
ダブルヒーローアタック,20TH-JPB09,Ultra
Ｅ・ＨＥＲＯ シャイニング・フレア・ウィングマン,20TH-JPB10,Parallel
ラス・オブ・ネオス,20TH-JPB11,Parallel
ミラクル・フュージョン,20TH-JPB12,Parallel
シグナル・ウォリアー,20TH-JPB13,Ultra
ジャンク・スピーダー,20TH-JPB14,Ultra
星屑の願い,20TH-JPB15,Ultra
ジャンク・シンクロン,20TH-JPB16,Parallel
ドッペル・ウォリアー,20TH-JPB17,Parallel
エフェクト・ヴェーラー,20TH-JPB18,Parallel
Ｎｏ.３９ 希望皇ホープ・ダブル,20TH-JPB19,Ultra
希望皇オノマトピア,20TH-JPB20,Ultra
シャイニング・ドロー,20TH-JPB21,Ultra
ガガガマジシャン,20TH-JPB22,Parallel
ダブル・アップ・チャンス,20TH-JPB23,Parallel
かっとビング・チャレンジ,20TH-JPB24,Parallel
オッドアイズ・アドバンス・ドラゴン,20TH-JPB25,Ultra
ＥＭスマイル・マジシャン,20TH-JPB26,Ultra
魂のペンデュラム,20TH-JPB27,Ultra
オッドアイズ・セイバー・ドラゴン,20TH-JPB28,Parallel
スマイル・ワールド,20TH-JPB29,Parallel
デュエリスト・アドベント,20TH-JPB30,Parallel
サイバース・エンチャンター,20TH-JPB31,Ultra
バックアップ・スーパーバイザー,20TH-JPB32,Ultra
デコード・エンド,20TH-JPB33,Ultra
サイバース・ウィザード,20TH-JPB34,Parallel
リンク・ディサイプル,20TH-JPB35,Parallel
セキュリティ・ドラゴン,20TH-JPB36,Parallel
トークン,20TH-JPBT1,Ultra
トークン,20TH-JPBT2,Ultra
トークン,20TH-JPBT3,Ultra
トークン,20TH-JPBT4,Ultra
トークン,20TH-JPBT5,Ultra
トークン,20TH-JPBT6,Ultra
