name,card_id,rare
青眼の究極亜竜,20TH-JPC00,20th Secret
マジシャン・オブ・ブラックカオス・ＭＡＸ,20TH-JPC01,20th Secret
守護神エクゾディア,20TH-JPC02,20th Secret
守護神官マナ,20TH-JPC03,20th Secret
真紅眼の亜黒竜,20TH-JPC04,20th Secret
ネオ・カイザー・グライダー,20TH-JPC05,20th Secret
Ｓｉｎ Ｃｒｏｓｓ,20TH-JPC06,UR-Parallel
Ｓｉｎ Ｓｅｌｅｃｔｏｒ,20TH-JPC07,20th Secret
Ｓｉｎ Ｔｕｎｅ,20TH-JPC08,UR-Parallel
黒・魔・導・連・弾,20TH-JPC09,20th Secret
スターダスト・ミラージュ,20TH-JPC10,UR-Parallel
奇跡のマジック・ゲート,20TH-JPC11,UR-Parallel
師弟の絆,20TH-JPC12,20th Secret
身代わりの闇,20TH-JPC13,UR-Parallel
方界降世,20TH-JPC14,20th Secret
Ｓｉｎ パラドクスギア,20TH-JPC15,20th Secret
Ｓｉｎ Ｔｅｒｒｉｔｏｒｙ,20TH-JPC16,20th Secret
方界法,20TH-JPC17,20th Secret
方界縁起,20TH-JPC18,20th Secret
運命の一枚,20TH-JPC19,20th Secret
真青眼の究極竜,20TH-JPC20,UR-Parallel
カイザー・ブラッド・ヴォルス,20TH-JPC21,nomal
アサルトワイバーン,20TH-JPC22,nomal
ブルーアイズ・カオス・ＭＡＸ・ドラゴン,20TH-JPC23,20th Secret
ディープアイズ・ホワイト・ドラゴン,20TH-JPC24,UR-Parallel
パンデミック・ドラゴン,20TH-JPC25,nomal
カオス・フォーム,20TH-JPC26,nomal
クリスタル・アバター,20TH-JPC27,nomal
岩石の番兵,20TH-JPC28,nomal
マシュマカロン,20TH-JPC29,nomal
ベリー・マジシャン・ガール,20TH-JPC30,nomal
アップル・マジシャン・ガール,20TH-JPC31,nomal
キウイ・マジシャン・ガール,20TH-JPC32,nomal
シルバー・ガジェット,20TH-JPC33,nomal
ゴールド・ガジェット,20TH-JPC34,nomal
黒魔術のヴェール,20TH-JPC35,nomal
魔導契約の扉,20TH-JPC36,nomal
ダーク・ホライズン,20TH-JPC37,nomal
マジシャンズ・プロテクション,20TH-JPC38,nomal
光の護封霊剣,20TH-JPC39,nomal
方界胤ヴィジャム,20TH-JPC40,nomal
方界獣ダーク・ガネックス,20TH-JPC41,nomal
方界獣ブレード・ガルーディア,20TH-JPC42,nomal
方界超獣バスター・ガンダイル,20TH-JPC43,nomal
方界帝ゲイラ・ガイル,20TH-JPC44,nomal
方界帝ヴァルカン・ドラグニー,20TH-JPC45,nomal
方界超帝インディオラ・デス・ボルト,20TH-JPC46,nomal
暗黒方界神クリムゾン・ノヴァ,20TH-JPC47,nomal
暗黒方界邪神クリムゾン・ノヴァ・トリニティ,20TH-JPC48,UR-Parallel
方界業,20TH-JPC49,nomal
方界波動,20TH-JPC50,nomal
方界輪廻,20TH-JPC51,nomal
方界曼荼羅,20TH-JPC52,nomal
方界合神,20TH-JPC53,nomal
青眼の亜白龍,20TH-JPC54,UR-Parallel
ブラック・マジシャン・ガール,20TH-JPC55,20th Secret
エルフの聖剣士,20TH-JPC56,UR-Parallel
ブラック・マジシャン,20TH-JPC57,UR-Parallel
青眼の白龍,20TH-JPC58,UR-Parallel
破滅竜ガンドラＸ,20TH-JPC59,UR-Parallel
暗黒騎士ガイアロード,20TH-JPC60,UR-Parallel
レモン・マジシャン・ガール,20TH-JPC61,UR-Parallel
守護神官マハード,20TH-JPC62,UR-Parallel
流星方界器デューザ,20TH-JPC63,UR-Parallel
青眼の双爆裂龍,20TH-JPC64,UR-Parallel
チョコ・マジシャン・ガール,20TH-JPC65,UR-Parallel
クリスタル・ドラゴン,20TH-JPC66,nomal
クリアクリボー,20TH-JPC67,nomal
Ｓｉｎ 真紅眼の黒竜,20TH-JPC68,nomal
Ｓｉｎ 青眼の白龍,20TH-JPC69,nomal
Ｓｉｎ パラレルギア,20TH-JPC70,nomal
Ｓｉｎ サイバー・エンド・ドラゴン,20TH-JPC71,UR-Parallel
Ｓｉｎ レインボー・ドラゴン,20TH-JPC72,nomal
Ｓｉｎ パラドクス・ドラゴン,20TH-JPC73,nomal
Ｓｉｎ Ｗｏｒｌｄ,20TH-JPC74,nomal
Ｓｉｎ Ｃｌａｗ Ｓｔｒｅａｍ,20TH-JPC75,nomal
Ｓｉｎ スターダスト・ドラゴン,20TH-JPC76,UR-Parallel
Ｅ・ＨＥＲＯ ネオス・ナイト,20TH-JPC77,nomal
Ｓｉｎ トゥルース・ドラゴン,20TH-JPC78,UR-Parallel
サイバー・ドラゴン,20TH-JPC79,nomal
ダーク・アームド・ドラゴン,20TH-JPC80,nomal
エフェクト・ヴェーラー,20TH-JPC81,nomal
増殖するＧ,20TH-JPC82,20th Secret
嵐征竜－テンペスト,20TH-JPC83,UR-Parallel
幽鬼うさぎ,20TH-JPC84,UR-Parallel
灰流うらら,20TH-JPC85,20th Secret
亡龍の戦慄－デストルドー,20TH-JPC86,UR-Parallel
リンクリボー,20TH-JPC87,UR-Parallel
精神操作,20TH-JPC88,nomal
サイクロン,20TH-JPC89,nomal
簡易融合,20TH-JPC90,nomal
超融合,20TH-JPC91,UR-Parallel
闇の誘惑,20TH-JPC92,nomal
ワン・フォー・ワン,20TH-JPC93,nomal
墓穴の指名者,20TH-JPC94,UR-Parallel
神の宣告,20TH-JPC95,nomal
砂塵の大嵐,20TH-JPC96,nomal
拮抗勝負,20TH-JPC97,UR-Parallel
レッド・リブート,20TH-JPC98,UR-Parallel
無限泡影,20TH-JPC99,20th Secret
