name,card_id,rare
青眼の白龍,20AP-JP000,Holographic-Parallel
熱き決闘者たち,20AP-JP001,Secret
滅びの呪文－デス・アルテマ,20AP-JP002,Ultra
ディアバウンド・カーネル,20AP-JP003,Ultra
ハーピィの羽根吹雪,20AP-JP004,Ultra
Ｅ・ＨＥＲＯ オネスティ・ネオス,20AP-JP005,Secret
スカイスクレイパー・シュート,20AP-JP006,Ultra
暗黒の召喚神,20AP-JP007,Super
失楽園,20AP-JP008,Super
白のヴェール,20AP-JP009,Super
パワー・ウォール,20AP-JP010,Secret
封印されしエクゾディア,20AP-JP011,nomal
デビル・フランケン,20AP-JP012,nomal
聖なる魔術師,20AP-JP013,nomal
メタモルポット,20AP-JP014,nomal
ハーピィの羽根帚,20AP-JP015,Super
人造人間－サイコ・ショッカー,20AP-JP016,nomal
洗脳－ブレインコントロール,20AP-JP017,Super
死者蘇生,20AP-JP018,nomal
王宮のお触れ,20AP-JP019,nomal
聖なるバリア －ミラーフォース－,20AP-JP020,nomal
王宮の勅命,20AP-JP021,Ultra
王家の眠る谷－ネクロバレー,20AP-JP022,nomal
魔導戦士 ブレイカー,20AP-JP023,nomal
異次元の女戦士,20AP-JP024,nomal
スキルドレイン,20AP-JP025,nomal
月読命,20AP-JP026,nomal
カオス・ソルジャー －開闢の使者－,20AP-JP027,Super
混沌帝龍 －終焉の使者－,20AP-JP028,nomal
混沌の黒魔術師,20AP-JP029,Super
モンスターゲート,20AP-JP030,nomal
死霊騎士デスカリバー・ナイト,20AP-JP031,nomal
サイバー・ドラゴン,20AP-JP032,nomal
黄泉ガエル,20AP-JP033,nomal
ダンディライオン,20AP-JP034,nomal
次元の裂け目,20AP-JP035,nomal
Ｎ・グラン・モール,20AP-JP036,nomal
未来融合－フューチャー・フュージョン,20AP-JP037,Ultra
Ｅ・ＨＥＲＯ エアーマン,20AP-JP038,nomal
高等儀式術,20AP-JP039,nomal
ファントム・オブ・カオス,20AP-JP040,Super
馬頭鬼,20AP-JP041,nomal
キメラテック・フォートレス・ドラゴン,20AP-JP042,nomal
フォッシル・ダイナ パキケファロ,20AP-JP043,nomal
ダーク・アームド・ドラゴン,20AP-JP044,Super
Ｅ・ＨＥＲＯ プリズマー,20AP-JP045,nomal
邪帝ガイウス,20AP-JP046,nomal
レッドアイズ・ダークネスメタルドラゴン,20AP-JP047,nomal
オネスト,20AP-JP048,nomal
裁きの龍,20AP-JP049,nomal
剣闘獣ガイザレス,20AP-JP050,nomal
