name,card_id,rare
コズミック・ブレイザー・ドラゴン,20AP-JP051,Secret
クリア・エフェクター,20AP-JP052,Super
シューティング・ソニック,20AP-JP053,Ultra
集いし願い,20AP-JP054,Super
ぶつかり合う魂,20AP-JP055,Ultra
ムーンバリア,20AP-JP056,Ultra
マスター・ピース,20AP-JP057,Secret
ドン・サウザンドの契約,20AP-JP058,Super
螺旋のストライクバースト,20AP-JP059,Secret
エンタメデュエル,20AP-JP060,Super
レスキューキャット,20AP-JP061,Ultra
氷結界の龍 ブリューナク,20AP-JP062,Ultra
ジャンク・シンクロン,20AP-JP063,nomal
ゴヨウ・ガーディアン,20AP-JP064,nomal
緊急テレポート,20AP-JP065,nomal
ゾンビキャリア,20AP-JP066,nomal
ブラック・ローズ・ドラゴン,20AP-JP067,nomal
ローンファイア・ブロッサム,20AP-JP068,nomal
ＢＦ－疾風のゲイル,20AP-JP069,nomal
ダーク・ダイブ・ボンバー,20AP-JP070,nomal
深海のディーヴァ,20AP-JP071,nomal
六武の門,20AP-JP072,nomal
バトルフェーダー,20AP-JP073,nomal
氷結界の龍 トリシューラ,20AP-JP074,Ultra
神光の宣告者,20AP-JP075,nomal
インフェルニティガン,20AP-JP076,nomal
エフェクト・ヴェーラー,20AP-JP077,nomal
強欲で謙虚な壺,20AP-JP078,nomal
神の警告,20AP-JP079,Super
フォーミュラ・シンクロン,20AP-JP080,nomal
虚無空間,20AP-JP081,nomal
ヒーローアライブ,20AP-JP082,nomal
ＴＧ ハイパー・ライブラリアン,20AP-JP083,nomal
エヴォルカイザー・ラギア,20AP-JP084,nomal
甲虫装機 ダンセル,20AP-JP085,nomal
発条空母ゼンマイティ,20AP-JP086,nomal
セイクリッド・トレミスＭ７,20AP-JP087,Super
ヴェルズ・オピオン,20AP-JP088,nomal
カードカー・Ｄ,20AP-JP089,nomal
魔界発現世行きデスガイド,20AP-JP090,nomal
炎舞－「天キ」,20AP-JP091,nomal
アーティファクトの神智,20AP-JP092,nomal
ソウル・チャージ,20AP-JP093,Super
鳥銃士カステル,20AP-JP094,Super
影依融合,20AP-JP095,nomal
光天使スローネ,20AP-JP096,nomal
Ｍ・ＨＥＲＯ ダーク・ロウ,20AP-JP097,nomal
クリフォート・ツール,20AP-JP098,nomal
影霊衣の術士 シュリット,20AP-JP099,nomal
幽鬼うさぎ,20AP-JP100,Super
ブラック・マジシャン,20AP-JP101,Holographic-Parallel
