name,card_id,rare
結束と絆の魔導師,AGOV-JP000,Quarter Century Secret
覇王門の魔術師,AGOV-JP001,Super
覇王門の魔術師,AGOV-JP001,Secret
覇王眷竜ライトヴルム,AGOV-JP002,nomal
ＴＧ ロケット・サラマンダー,AGOV-JP003,Super
ＴＧ ロケット・サラマンダー,AGOV-JP003,Secret
ヴィサス＝サンサーラ,AGOV-JP004,Rare
ヴェーダ＝ウパニシャッド,AGOV-JP005,Ultra
ヴェーダ＝ウパニシャッド,AGOV-JP005,Ultimate
ヴェーダ＝ウパニシャッド,AGOV-JP005,Secret
黒魔女ディアベルスター,AGOV-JP006,Ultra
黒魔女ディアベルスター,AGOV-JP006,Ultimate
黒魔女ディアベルスター,AGOV-JP006,Secret
スネークアイ・エクセル,AGOV-JP007,Super
スネークアイ・エクセル,AGOV-JP007,Secret
スネークアイ・オーク,AGOV-JP008,nomal
スネークアイ・ワイトバーチ,AGOV-JP009,nomal
蛇眼の炎龍,AGOV-JP010,Ultra
蛇眼の炎龍,AGOV-JP010,Ultimate
蛇眼の炎龍,AGOV-JP010,Secret
ホルスの栄光－イムセティ,AGOV-JP011,Ultra
ホルスの栄光－イムセティ,AGOV-JP011,Ultimate
ホルスの栄光－イムセティ,AGOV-JP011,Secret
ホルスの祝福－ドゥアムテフ,AGOV-JP012,Rare
ホルスの先導－ハーピ,AGOV-JP013,nomal
ホルスの加護－ケベンセヌフ,AGOV-JP014,nomal
エレキハダマグロ,AGOV-JP015,nomal
溟界神－ネフェルアビス,AGOV-JP016,Super
溟界神－ネフェルアビス,AGOV-JP016,Secret
白銀の城の執事 アリアス,AGOV-JP017,Super
白銀の城の執事 アリアス,AGOV-JP017,Secret
ＶＳ 蛟龍,AGOV-JP018,nomal
ポワソニエル・ド・ヌーベルズ,AGOV-JP019,Super
ポワソニエル・ド・ヌーベルズ,AGOV-JP019,Secret
ブラック・ホール・ドラゴン,AGOV-JP020,Ultra
ブラック・ホール・ドラゴン,AGOV-JP020,Ultimate
ブラック・ホール・ドラゴン,AGOV-JP020,Secret
幻日灯火,AGOV-JP021,nomal
オオヤツ・ツマムヒメ,AGOV-JP022,nomal
侵略的外来種－Ｉ.Ａ.Ｓ,AGOV-JP023,nomal
陀羅威,AGOV-JP024,nomal
大陰陽師 タオ,AGOV-JP025,nomal
離世召人形,AGOV-JP026,nomal
折々の紙神,AGOV-JP027,N-Rare
