name,card_id,rare
超究極魔導竜王,ALIN-JP000,Quarter Century Secret
ウィザード＠イグニスター,ALIN-JP001,Rare
バックアップ＠イグニスター,ALIN-JP002,Super
バックアップ＠イグニスター,ALIN-JP002,Secret
クリクリンク＠イグニスター,ALIN-JP003,nomal
魔術師の弟子－ブラック・マジシャン・ガール,ALIN-JP004,Ultra
魔術師の弟子－ブラック・マジシャン・ガール,ALIN-JP004,Ultimate
魔術師の弟子－ブラック・マジシャン・ガール,ALIN-JP004,Secret
Ｅ－ＨＥＲＯ ヴィシャス・クローズ,ALIN-JP005,nomal
妖精獣レグルス,ALIN-JP006,Rare
妖精胞スポーア,ALIN-JP007,nomal
妖精霊クリボン,ALIN-JP008,nomal
紋章獣グリフォン,ALIN-JP009,nomal
紋章獣スタット・ホエール,ALIN-JP010,nomal
断罪のディアベルスター,ALIN-JP011,Ultra
断罪のディアベルスター,ALIN-JP011,Ultimate
断罪のディアベルスター,ALIN-JP011,Secret
白魔女ディアベルゼ,ALIN-JP012,Ultra
白魔女ディアベルゼ,ALIN-JP012,Ultimate
白魔女ディアベルゼ,ALIN-JP012,Secret
再世の戦神 ベレシート,ALIN-JP013,nomal
再世の導神 シェモース,ALIN-JP014,Super
再世の導神 シェモース,ALIN-JP014,Secret
再世の龍神 ワイクラー,ALIN-JP015,nomal
再世の魔神 ベミドバル,ALIN-JP016,Super
再世の魔神 ベミドバル,ALIN-JP016,Secret
創世の神 デウテロノミオン,ALIN-JP017,Ultra
創世の神 デウテロノミオン,ALIN-JP017,Ultimate
創世の神 デウテロノミオン,ALIN-JP017,Secret
光征竜－スペクトル,ALIN-JP018,nomal
闇征竜－ネビュラス,ALIN-JP019,nomal
ＡＲＧ☆Ｓ－熱闘のパルテ,ALIN-JP020,Rare
プリマ・マテリアクトル,ALIN-JP021,nomal
スター・ライゼオル,ALIN-JP022,Super
スター・ライゼオル,ALIN-JP022,Secret
Ｍ∀ＬＩＣＥ＜Ｐ＞Ｍａｒｃｈ Ｈａｒｅ,ALIN-JP023,Super
Ｍ∀ＬＩＣＥ＜Ｐ＞Ｍａｒｃｈ Ｈａｒｅ,ALIN-JP023,Secret
転惺竜華－闇巴,ALIN-JP024,Rare
真紅眼の鋼爪竜,ALIN-JP025,Rare
サイバー・ヨルムンガンド,ALIN-JP026,nomal
サイバー・ダーク・ヴルム,ALIN-JP027,Super
サイバー・ダーク・ヴルム,ALIN-JP027,Secret
Ｌｉｖｅ☆Ｔｗｉｎ リィラ・スウィート,ALIN-JP028,Super
Ｌｉｖｅ☆Ｔｗｉｎ リィラ・スウィート,ALIN-JP028,Secret
ワンモア・ザ・ワイト,ALIN-JP029,nomal
ＮＴ８０００－ＳＩＲＩＵＳ,ALIN-JP030,nomal
邪悪龍エビルナイト・ドラゴン,ALIN-JP031,nomal
紅天馬ファイヤー・ウイング・ペガサス,ALIN-JP032,nomal
ブレインコントローラー,ALIN-JP033,nomal
ボンバー・プレイス,ALIN-JP034,N-Rare
贖罪神女,ALIN-JP035,Rare
黄金郷のアンヘルカイド,ALIN-JP036,Super
黄金郷のアンヘルカイド,ALIN-JP036,Secret
妖竜の禁姫,ALIN-JP037,Rare
ファイアウォール・Ｓ・ドラゴン,ALIN-JP038,Rare
エンシェント・フェアリー・ライフ・ドラゴン,ALIN-JP039,Ultra
エンシェント・フェアリー・ライフ・ドラゴン,ALIN-JP039,Ultimate
エンシェント・フェアリー・ライフ・ドラゴン,ALIN-JP039,Secret
蛇眼の断罪龍,ALIN-JP040,Super
蛇眼の断罪龍,ALIN-JP040,Secret
白き森の幻妖,ALIN-JP041,Rare
真魔六武衆－キザン,ALIN-JP042,Rare
呪雷神ジュラ,ALIN-JP043,Rare
コード・イグナイター,ALIN-JP044,nomal
Ｎｏ.６９ 紋章神コート・オブ・アームズ－ゴッド・シャーター,ALIN-JP045,Rare
Ｎｏ.６９ 紋章神コート・オブ・アームズ－ゴッド・レイジ,ALIN-JP046,Ultra
Ｎｏ.６９ 紋章神コート・オブ・アームズ－ゴッド・レイジ,ALIN-JP046,Ultimate
Ｎｏ.６９ 紋章神コート・オブ・アームズ－ゴッド・レイジ,ALIN-JP046,Secret
極征竜－シャスマティス,ALIN-JP047,Super
極征竜－シャスマティス,ALIN-JP047,Secret
凶征竜－エクレプシス,ALIN-JP048,Super
凶征竜－エクレプシス,ALIN-JP048,Secret
超征竜－ディザスター,ALIN-JP049,Ultra
超征竜－ディザスター,ALIN-JP049,Ultimate
超征竜－ディザスター,ALIN-JP049,Secret
怒髪天衝セイバーザウルス,ALIN-JP050,nomal
アコード・トーカー＠イグニスター,ALIN-JP051,Ultra
アコード・トーカー＠イグニスター,ALIN-JP051,Ultimate
アコード・トーカー＠イグニスター,ALIN-JP051,Secret
アコード・トーカー＠イグニスター,ALIN-JP051,Holographic
Ｅｖｉｌ★Ｔｗｉｎ キスキル・ディール,ALIN-JP052,Rare
機動石器ドグラード,ALIN-JP053,nomal
繋がり－Ａｉ－,ALIN-JP054,Rare
精霊の世界,ALIN-JP055,nomal
