name,card_id,rare
クリボン,ANPR-JP001,Rare
サニー・ピクシー,ANPR-JP002,nomal
サンライト・ユニコーン,ANPR-JP003,nomal
ＢＦ－銀盾のミストラル,ANPR-JP004,nomal
ＢＦ－大旆のヴァーユ,ANPR-JP005,Super
ＢＦ－鉄鎖のフェーン,ANPR-JP006,nomal
Ｄ・マグネンＩ,ANPR-JP007,nomal
ジェスター・ロード,ANPR-JP008,nomal
ジェスター・コンフィ,ANPR-JP009,Super
フォーチュンレディ・ライティー,ANPR-JP010,Rare
フォーチュンレディ・ファイリー,ANPR-JP011,Rare
インフェルニティ・ビースト,ANPR-JP012,nomal
ダークシー・レスキュー,ANPR-JP013,nomal
ダークシー・フロート,ANPR-JP014,nomal
ワンショット・ロケット,ANPR-JP015,Rare
地縛神 Ｃｕｓｉｌｌｕ,ANPR-JP016,Ultra
地縛神 Ｃｕｓｉｌｌｕ,ANPR-JP016,Ultimate
地縛神 Ｃｈａｃｕ Ｃｈａｌｌｈｕａ,ANPR-JP017,Ultra
地縛神 Ｃｈａｃｕ Ｃｈａｌｌｈｕａ,ANPR-JP017,Ultimate
コアキメイル・ロック,ANPR-JP018,nomal
コアキメイル・クルセイダー,ANPR-JP019,Super
コアキメイル・スピード,ANPR-JP020,nomal
コアキメイル・トルネード,ANPR-JP021,Rare
コアキメイル・フルバリア,ANPR-JP022,Rare
スケイルモース,ANPR-JP023,nomal
黒光りするＧ,ANPR-JP024,N-Rare
アームズ・シーハンター,ANPR-JP025,nomal
神竜アクアバザル,ANPR-JP026,nomal
フィッシュボーグ－ガンナー,ANPR-JP027,nomal
シャーク・ザ・クルー,ANPR-JP028,nomal
アーマード・サイキッカー,ANPR-JP029,nomal
ジェネティック・ウーマン,ANPR-JP030,nomal
マジキャット,ANPR-JP031,Rare
サイボーグドクター,ANPR-JP032,Rare
ホワイトポータン,ANPR-JP033,nomal
マインフィールド,ANPR-JP034,Super
ＸＸ－セイバー フォルトロール,ANPR-JP035,nomal
ＸＸ－セイバー レイジグラ,ANPR-JP036,nomal
フレムベル・ヘルドッグ,ANPR-JP037,Rare
エンシェント・クリムゾン・エイプ,ANPR-JP038,nomal
ファルシオンβ,ANPR-JP039,Rare
エンシェント・フェアリー・ドラゴン,ANPR-JP040,Ultra
エンシェント・フェアリー・ドラゴン,ANPR-JP040,Ultimate
エンシェント・フェアリー・ドラゴン,ANPR-JP040,Holographic
ワンショット・キャノン,ANPR-JP041,Super
アンデット・スカル・デーモン,ANPR-JP042,Ultra
アンデット・スカル・デーモン,ANPR-JP042,Ultimate
エンシェント・ホーリー・ワイバーン,ANPR-JP043,Super
ＸＸ－セイバー ガトムズ,ANPR-JP044,Ultra
ＸＸ－セイバー ガトムズ,ANPR-JP044,Ultimate
拘束解放波,ANPR-JP045,Rare
白銀の翼,ANPR-JP046,nomal
アドバンスドロー,ANPR-JP047,nomal
古の森,ANPR-JP048,Rare
救急救命,ANPR-JP049,nomal
スピリット・バーナー,ANPR-JP050,nomal
フューチャー・ヴィジョン,ANPR-JP051,Super
コア濃度圧縮,ANPR-JP052,Rare
コアバスター,ANPR-JP053,nomal
一族の結束,ANPR-JP054,nomal
ハイドロプレッシャーカノン,ANPR-JP055,nomal
ウォーターハザード,ANPR-JP056,Rare
脳開発研究所,ANPR-JP057,nomal
セイバー・スラッシュ,ANPR-JP058,nomal
剣の煌き,ANPR-JP059,nomal
真炎の爆発,ANPR-JP060,N-Rare
エンシェント・リーフ,ANPR-JP061,N-Rare
化石調査,ANPR-JP062,nomal
スキル・サクセサー,ANPR-JP063,Super
トゥルース・リインフォース,ANPR-JP064,Rare
ガリトラップ－ピクシーの輪－,ANPR-JP065,nomal
妖精の風,ANPR-JP066,Rare
宮廷のしきたり,ANPR-JP067,nomal
不協和音,ANPR-JP068,Super
フォーチュン・スリップ,ANPR-JP069,Rare
デプス・アミュレット,ANPR-JP070,nomal
ダメージ・トランスレーション,ANPR-JP071,nomal
バトル・テレポーテーション,ANPR-JP072,nomal
コアの再練成,ANPR-JP073,nomal
鋼核の輝き,ANPR-JP074,Rare
異種闘争,ANPR-JP075,nomal
海竜神の加護,ANPR-JP076,nomal
サイコ・ソウル,ANPR-JP077,nomal
フレムベルカウンター,ANPR-JP078,nomal
身剣一体,ANPR-JP079,nomal
大番狂わせ,ANPR-JP080,N-Rare
