name,card_id,rare
Ｎｏ.１７ リバイス・ドラゴン,AC01-JP000,Prismatic Secret
クリバー,AC01-JP001,nomal
クリビー,AC01-JP002,nomal
クリブー,AC01-JP003,nomal
クリベー,AC01-JP004,nomal
クリバビロン,AC01-JP005,Super
クリバビロン,AC01-JP005,Collectors
ティンクル・ファイブスター,AC01-JP006,nomal
ヨーウィー,AC01-JP007,nomal
ペンギン・ソード,AC01-JP008,nomal
Ｄ－フォース,AC01-JP009,Super
Ｄ－フォース,AC01-JP009,Collectors
ドクターＤ,AC01-JP010,nomal
ドラゴンロイド,AC01-JP011,nomal
輪廻独断,AC01-JP012,Ultra
輪廻独断,AC01-JP012,Collectors
氷結界,AC01-JP013,nomal
氷騎士,AC01-JP014,nomal
サモン・ストーム,AC01-JP015,nomal
翼の恩返し,AC01-JP016,nomal
聖騎士の盾持ち,AC01-JP017,nomal
花騎士団の駿馬,AC01-JP018,nomal
聖騎士の槍持ち,AC01-JP019,nomal
ケンタウルミナ,AC01-JP020,Super
ケンタウルミナ,AC01-JP020,Collectors
エコール・ド・ゾーン,AC01-JP021,Ultra
エコール・ド・ゾーン,AC01-JP021,Collectors
魂縛門,AC01-JP022,nomal
ピリ・レイスの地図,AC01-JP023,Super
ピリ・レイスの地図,AC01-JP023,Collectors
アイス・ミラー,AC01-JP024,nomal
ＺＷ－天風精霊翼,AC01-JP025,nomal
ＺＳ－双頭龍賢者,AC01-JP026,nomal
獣装合体 ライオ・ホープレイ,AC01-JP027,Ultra
獣装合体 ライオ・ホープレイ,AC01-JP027,Collectors
ゼアル・カタパルト,AC01-JP028,nomal
サイレンス・シーネットル,AC01-JP029,nomal
Ｎｏ.４ 猛毒刺胞ステルス・クラーゲン,AC01-JP030,Super
Ｎｏ.４ 猛毒刺胞ステルス・クラーゲン,AC01-JP030,Collectors
ステルス・クラーゲン・エフィラ,AC01-JP031,nomal
ヌメロン・ストーム,AC01-JP032,nomal
人形の家,AC01-JP033,nomal
スターヴ・ヴェネミー・ドラゴン,AC01-JP034,Ultra
スターヴ・ヴェネミー・ドラゴン,AC01-JP034,Collectors
ＳＲスクラッチ,AC01-JP035,Super
ＳＲスクラッチ,AC01-JP035,Collectors
ＬＬ－バード・ストライク,AC01-JP036,nomal
トイ・パレード,AC01-JP037,nomal
光波複葉機,AC01-JP038,nomal
光波干渉,AC01-JP039,nomal
二重露光,AC01-JP040,nomal
キ－Ａｉ－,AC01-JP041,nomal
Ａｉ－ＳＨＯＷ,AC01-JP042,nomal
扇風機塊プロペライオン,AC01-JP043,nomal
機塊コンバート,AC01-JP044,nomal
大皇帝ペンギン,AC01-JP045,nomal
おもちゃ箱,AC01-JP046,nomal
聖騎士の追想 イゾルデ,AC01-JP047,nomal
リングリボー,AC01-JP048,nomal
Ｎｏ.３４ 電算機獣テラ・バイト,AC01-JP049,Ultra
