name,card_id,rare
ペンギン・ナイト,BE01-JP001,nomal
デーモンの斧,BE01-JP002,Rare
黒いペンダント,BE01-JP003,Rare
悪魔のくちづけ,BE01-JP004,nomal
六芒星の呪縛,BE01-JP005,nomal
エレクトリック・スネーク,BE01-JP006,nomal
アメーバ,BE01-JP007,nomal
マハー・ヴァイロ,BE01-JP008,nomal
イビー,BE01-JP009,nomal
グリグル,BE01-JP010,nomal
悪魔の偵察者,BE01-JP011,nomal
王座の侵略者,BE01-JP012,nomal
サクリファイス,BE01-JP013,Ultra
墓守の使い魔,BE01-JP014,nomal
成金ゴブリン,BE01-JP015,nomal
通行税,BE01-JP016,nomal
最終戦争,BE01-JP017,nomal
強奪,BE01-JP018,Rare
聖域の歌声,BE01-JP019,nomal
押収,BE01-JP020,nomal
いたずら好きな双子悪魔,BE01-JP021,Rare
移り気な仕立屋,BE01-JP022,nomal
突進,BE01-JP023,Rare
頼もしき守護者,BE01-JP024,nomal
強引な番兵,BE01-JP025,nomal
魔力の枷,BE01-JP026,nomal
サイクロン,BE01-JP027,Super
ハリケーン,BE01-JP028,Ultra
苦渋の選択,BE01-JP029,nomal
一角獣のホーン,BE01-JP030,nomal
迷宮壁－ラビリンス・ウォール－,BE01-JP031,nomal
成仏,BE01-JP032,nomal
巨大化,BE01-JP033,Super
トゥーン・ドラゴン・エッガー,BE01-JP034,nomal
トゥーン・マーメイド,BE01-JP035,nomal
トゥーン・デーモン,BE01-JP036,Rare
トゥーン・ワールド,BE01-JP037,nomal
サイバーポッド,BE01-JP038,Rare
光の追放者,BE01-JP039,Rare
巨大ネズミ,BE01-JP040,Rare
センジュ・ゴッド,BE01-JP041,nomal
ＵＦＯタートル,BE01-JP042,nomal
秒殺の暗殺者,BE01-JP043,nomal
カラテマン,BE01-JP044,nomal
ジャイアントウィルス,BE01-JP045,Rare
素早いモモンガ,BE01-JP046,Super
シャインエンジェル,BE01-JP047,Rare
グリズリーマザー,BE01-JP048,nomal
ドラゴンフライ,BE01-JP049,nomal
セレモニーベル,BE01-JP050,nomal
ソニックバード,BE01-JP051,nomal
キラー・トマト,BE01-JP052,Super
コトダマ,BE01-JP053,nomal
ガイアパワー,BE01-JP054,nomal
ウォーターワールド,BE01-JP055,nomal
バーニングブラッド,BE01-JP056,nomal
デザートストーム,BE01-JP057,nomal
シャインスパーク,BE01-JP058,nomal
ダークゾーン,BE01-JP059,nomal
平和の使者,BE01-JP060,Rare
