name,card_id,rare
アクア・スネーク,,nomal
異次元からの侵略者,,nomal
ウェザ,,nomal
オオカミ,,nomal
くちばしヘビ,,nomal
クロコダイラス,,nomal
コロガーシ,,nomal
屍を貪る竜,,nomal
タートル・狸,,nomal
テンタクル・プラント,,nomal
ドラゴン・ゾンビ,,nomal
二頭を持つキング・レックス,,nomal
ベヒゴン,,nomal
ポット・ザ・トリック,,nomal
魔界植物,,nomal
水の魔導師,,nomal
メデューサの亡霊,,nomal
ランプの魔人,,nomal
ウイング・イーグル,,nomal
３万年の白亀,,nomal
マシン・アタッカー,,nomal
レインボー・マリン・マーメイド,,nomal
トラップ・マスター,,nomal
謎の傀儡師,,nomal
ニードル・ボール,,nomal
ニードルワーム,,nomal
メタモルポット,,nomal
機械王,,nomal
竜殺者,,nomal
金色の魔象,,nomal
ソウル・ハンター,,nomal
ブラキオレイドス,,nomal
マリン・ビースト,,nomal
王宮のお触れ,,nomal
自業自得,,nomal
