name,card_id,rare
ヴァレット・キャリバー,BODE-JP001,nomal
デュアルウィール・ドラゴン,BODE-JP002,nomal
相剣師－莫邪,BODE-JP003,Super
相剣師－莫邪,BODE-JP003,Secret
相剣師－泰阿,BODE-JP004,nomal
相剣軍師－龍淵,BODE-JP005,Rare
相剣瑞獣－純鈞,BODE-JP006,nomal
白の聖女エクレシア,BODE-JP007,Super
白の聖女エクレシア,BODE-JP007,Secret
氷水のアクティ,BODE-JP008,nomal
氷水のティノーラ,BODE-JP009,nomal
氷水のトレモラ,BODE-JP010,Rare
デスピアの凶劇,BODE-JP011,nomal
ふわんだりぃず×すのーる,BODE-JP012,Ultra
ふわんだりぃず×すのーる,BODE-JP012,Ultimate
ふわんだりぃず×すのーる,BODE-JP012,Secret
ふわんだりぃず×ろびーな,BODE-JP013,Rare
ふわんだりぃず×いぐるん,BODE-JP014,nomal
ふわんだりぃず×すとりー,BODE-JP015,nomal
ふわんだりぃず×とっかん,BODE-JP016,nomal
ふわんだりぃず×えんぺん,BODE-JP017,Super
ふわんだりぃず×えんぺん,BODE-JP017,Secret
Ｄ－ＨＥＲＯ ディナイアルガイ,BODE-JP018,nomal
レプティレス・ニャミニ,BODE-JP019,nomal
レプティレス・コアトル,BODE-JP020,Rare
大魔鍵－マフテアル,BODE-JP021,Rare
うにの軍貫,BODE-JP022,nomal
しらうおの軍貫,BODE-JP023,nomal
ペンギン勇士,BODE-JP024,Rare
ペンギン忍者,BODE-JP025,nomal
ペンギン僧侶,BODE-JP026,nomal
ホーリーナイツ・オルビタエル,BODE-JP027,nomal
マシンナーズ・ルインフォース,BODE-JP028,Ultra
マシンナーズ・ルインフォース,BODE-JP028,Ultimate
マシンナーズ・ルインフォース,BODE-JP028,Secret
擬態する人喰い虫,BODE-JP029,nomal
天獄の王,BODE-JP030,Ultra
天獄の王,BODE-JP030,Ultimate
天獄の王,BODE-JP030,Secret
天獄の王,BODE-JP030,Holographic
陽竜果フォンリー,BODE-JP031,nomal
重起士道－ゴルドナイト,BODE-JP032,nomal
不屈の獣僕,BODE-JP033,nomal
ニャータリング,BODE-JP034,nomal
迷犬メリー,BODE-JP035,N-Rare
ヴァレルロード・Ｒ・ドラゴン,BODE-JP036,Super
ヴァレルロード・Ｒ・ドラゴン,BODE-JP036,Secret
トランソニックバード,BODE-JP037,Rare
赫灼竜マスカレイド,BODE-JP038,Super
赫灼竜マスカレイド,BODE-JP038,Secret
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,BODE-JP039,Ultra
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,BODE-JP039,Ultimate
Ｄ－ＨＥＲＯ デストロイフェニックスガイ,BODE-JP039,Secret
天極輝艦－熊斗竜巧,BODE-JP040,Super
天極輝艦－熊斗竜巧,BODE-JP040,Secret
相剣大師－赤霄,BODE-JP041,Super
相剣大師－赤霄,BODE-JP041,Secret
相剣大公－承影,BODE-JP042,Ultra
相剣大公－承影,BODE-JP042,Ultimate
相剣大公－承影,BODE-JP042,Secret
レプティレス・メルジーヌ,BODE-JP043,Super
レプティレス・メルジーヌ,BODE-JP043,Secret
魔鍵変鬼－トランスフルミネ,BODE-JP044,Ultra
魔鍵変鬼－トランスフルミネ,BODE-JP044,Ultimate
魔鍵変鬼－トランスフルミネ,BODE-JP044,Secret
絶火の魔神ゾロア,BODE-JP045,Super
絶火の魔神ゾロア,BODE-JP045,Secret
ルイ・キューピット,BODE-JP046,N-Rare
魔鍵憑霊－ウェパルトゥ,BODE-JP047,Rare
超弩級軍貫－うに型二番艦,BODE-JP048,Super
超弩級軍貫－うに型二番艦,BODE-JP048,Secret
空母軍貫－しらうお型特務艦,BODE-JP049,Rare
ヴァレルコード・ドラゴン,BODE-JP050,Ultra
ヴァレルコード・ドラゴン,BODE-JP050,Ultimate
ヴァレルコード・ドラゴン,BODE-JP050,Secret
Ｅｖｉｌ★Ｔｗｉｎ’ｓ トラブル・サニー,BODE-JP051,Ultra
Ｅｖｉｌ★Ｔｗｉｎ’ｓ トラブル・サニー,BODE-JP051,Ultimate
Ｅｖｉｌ★Ｔｗｉｎ’ｓ トラブル・サニー,BODE-JP051,Secret
ヘヴィ・トリガー,BODE-JP052,nomal
龍相剣現,BODE-JP053,Rare
大霊峰相剣門,BODE-JP054,nomal
烙印の気炎,BODE-JP055,Rare
氷水揺籃,BODE-JP056,Rare
赫の烙印,BODE-JP057,Rare
ふわんだりぃずと謎の地図,BODE-JP058,Rare
ふわんだりぃずと未知の風,BODE-JP059,nomal
レプティレス・ラミフィケーション,BODE-JP060,Rare
レプティレス・リコイル,BODE-JP061,nomal
魔鍵闘争,BODE-JP062,nomal
ロイヤル・ペンギンズ・ガーデン,BODE-JP063,nomal
音速を追う者,BODE-JP064,nomal
聖蔓の播種,BODE-JP065,nomal
天斗輝巧極,BODE-JP066,nomal
超自然警戒区域,BODE-JP067,nomal
夜の逃飛行,BODE-JP068,nomal
スモール・ワールド,BODE-JP069,N-Rare
リローデッド・シリンダー,BODE-JP070,nomal
デトネーション・コード,BODE-JP071,nomal
瑞相剣究,BODE-JP072,nomal
相剣暗転,BODE-JP073,Rare
ふわんだりぃずと夢の町,BODE-JP074,nomal
ふわんだりぃずと怖い海,BODE-JP075,Rare
ブレイク・ザ・デステニー,BODE-JP076,nomal
魔鍵錠－施－,BODE-JP077,nomal
聖邪のステンドグラス,BODE-JP078,Rare
巨星墜とし,BODE-JP079,nomal
ラドリートラップ,BODE-JP080,N-Rare
ヴァレルロード・ドラゴン,BODE-JPS01,Prismatic Secret
