name,card_id,rare
絶対防御将軍,BC-00,Secret
エレキッズ,BC-01,nomal
吸血ノミ,BC-02,nomal
エルフの光,BC-03,nomal
はがねの甲羅,BC-04,nomal
天使の生き血,BC-05,nomal
闇をかき消す光,BC-06,Rare
ビーン・ソルジャー,BC-07,nomal
イースター島のモアイ,BC-08,nomal
デッド・シャーク,BC-09,nomal
魚ギョ戦士,BC-10,nomal
ワイバーン,BC-11,nomal
オシロ・ヒーロー,BC-12,nomal
フレンドシップ,BC-13,nomal
ブルー・ポーション,BC-14,nomal
雷鳴,BC-15,nomal
灼熱の槍,BC-16,nomal
突風の扇,BC-17,nomal
邪悪なるワーム・ビースト,BC-18,nomal
ヘラクレス・ビートル,BC-19,nomal
タイガー・アックス,BC-20,nomal
アックス・レイダー,BC-21,Ultra
アックス・レイダー,BC-21,Parallel
本の精霊 ホーク・ビショップ,BC-22,nomal
セイント・バード,BC-23,nomal
ジャジメント・ザ・ハンド,BC-24,nomal
斬首の美女,BC-25,nomal
森の住人 ウダン,BC-26,nomal
魔界の機械兵,BC-27,nomal
音女,BC-28,nomal
メカ・ハンター,BC-29,Super
シーザリオン,BC-30,nomal
コカローチ・ナイト,BC-31,nomal
クワガタ・アルファ,BC-32,nomal
タートル・バード,BC-33,nomal
ヂェミナイ・エルフ,BC-34,Ultra
ヂェミナイ・エルフ,BC-34,Ultimate
ヂェミナイ・エルフ,BC-34,Parallel
クワガー・ヘラクレス,BC-35,nomal
パトロール・ロボ,BC-36,nomal
タクヒ,BC-37,nomal
勇気の砂時計,BC-38,nomal
戦場の死装束,BC-39,nomal
泉の妖精,BC-40,nomal
月明かりの乙女,BC-41,nomal
紅葉の女王,BC-42,nomal
ホワイト・ホール,BC-43,nomal
天使の施し,BC-44,Super
墓場からの呼び声,BC-45,nomal
二頭を持つキング・レックス,BC-46,Ultra
二頭を持つキング・レックス,BC-46,Parallel
ガルーザス,BC-47,nomal
海竜神,BC-48,nomal
屍を貪る竜,BC-49,nomal
ドラゴン・ゾンビ,BC-50,nomal
心眼の女神,BC-51,Rare
ランプの魔人,BC-52,nomal
沼地の魔獣王,BC-53,Rare
破壊神 ヴァサーゴ,BC-54,Rare
パロット・ドラゴン,BC-55,nomal
牛鬼,BC-56,nomal
モンスター・アイ,BC-57,nomal
機械王,BC-58,Rare
デビル・フランケン,BC-59,Super
天空竜,BC-60,nomal
カイザー・ドラゴン,BC-61,nomal
水の魔導師,BC-62,nomal
ウイング・イーグル,BC-63,nomal
紅陽鳥,BC-64,nomal
ソウル・ハンター,BC-65,nomal
ニードル・ボール,BC-66,nomal
竜殺者,BC-67,Rare
ブラキオレイドス,BC-68,nomal
ニードルワーム,BC-69,Rare
ドッペルゲンガー,BC-70,Rare
メタモルポット,BC-71,Super
ペンギン・ソルジャー,BC-72,Super
水陸両用バグロス,BC-73,nomal
イリュージョン・シープ,BC-74,Rare
王宮のお触れ,BC-75,Super
魔女狩り,BC-76,nomal
悪魔払い,BC-77,Rare
魔力の棘,BC-78,Rare
革命,BC-79,nomal
融合賢者,BC-80,nomal
