name,card_id,rare
ガーゴイル,B1-01,nomal
暗黒騎士ガイア,B1-02,Ultra
エレキッズ,B1-03,nomal
吸血ノミ,B1-04,nomal
格闘戦士アルティメーター,B1-05,nomal
ナイトメア・スコーピオン,B1-06,nomal
地獄の裁判,B1-07,Rare
ヤマタノ竜絵巻,B1-08,nomal
１３人目の埋葬者,B1-09,Rare
闇を司る影,B1-10,nomal
深淵の冥王,B1-11,Rare
ハリケル,B1-12,nomal
ファイヤー・アイ,B1-13,nomal
ファランクス,B1-14,nomal
タートル・タイガー,B1-15,Rare
ドローン,B1-16,nomal
グロス,B1-17,nomal
アクア・マドール,B1-18,Rare
ウッド・ジョーカー,B1-19,nomal
ヴィシュワ・ランディー,B1-20,nomal
ウォーター・エレメント,B1-21,nomal
魂を狩る者,B1-22,nomal
エンジェル・魔女,B1-23,nomal
メギラス・ライト,B1-24,nomal
魔頭を持つ邪竜,B1-25,nomal
闇の破神剣,B1-26,nomal
エルフの光,B1-27,nomal
はがねの甲羅,B1-28,nomal
覚醒,B1-29,nomal
天使の生き血,B1-30,nomal
昼夜の大火事,B1-31,nomal
闇をかき消す光,B1-32,nomal
ストーン・ゴースト,B1-33,nomal
ボルト・ペンギン,B1-34,nomal
インセクション,B1-35,nomal
ウィルミー,B1-36,nomal
ビーン・ソルジャー,B1-37,nomal
イースター島のモアイ,B1-38,nomal
デッド・シャーク,B1-39,nomal
魚ギョ戦士,B1-40,nomal
ワイバーン,B1-41,nomal
オシロ・ヒーロー,B1-42,nomal
ベビー・ティーレックス,B1-43,nomal
ロックメイス,B1-44,nomal
フレンドシップ,B1-45,nomal
ブルー・ポーション,B1-46,nomal
雷鳴,B1-47,nomal
灼熱の槍,B1-48,nomal
突風の扇,B1-49,nomal
未熟な密偵,B1-50,nomal
