name,card_id,rare
サイバース・ウィザード,COTD-JP001,Super
サイバース・ウィザード,COTD-JP001,Secret
バックアップ・セクレタリー,COTD-JP002,nomal
スタック・リバイバー,COTD-JP003,nomal
ランチャー・コマンダー,COTD-JP004,nomal
サルベージェント・ドライバー,COTD-JP005,Super
サルベージェント・ドライバー,COTD-JP005,Secret
トリックスター・リリーベル,COTD-JP006,nomal
トリックスター・マンジュシカ,COTD-JP007,nomal
トリックスター・キャンディナ,COTD-JP008,Rare
剛鬼ツイストコブラ,COTD-JP009,nomal
剛鬼スープレックス,COTD-JP010,nomal
剛鬼ライジングスコーピオ,COTD-JP011,Rare
ハック・ワーム,COTD-JP012,nomal
ジャック・ワイバーン,COTD-JP013,nomal
クラッキング・ドラゴン,COTD-JP014,Super
クラッキング・ドラゴン,COTD-JP014,Secret
覇王眷竜オッドアイズ,COTD-JP015,Rare
捕食植物バンクシアオーガ,COTD-JP016,nomal
ＤＤヴァイス・テュポーン,COTD-JP017,nomal
星杯を戴く巫女,COTD-JP018,nomal
星杯に選ばれし者,COTD-JP019,nomal
星杯に誘われし者,COTD-JP020,nomal
星杯の守護竜,COTD-JP021,nomal
星杯の妖精リース,COTD-JP022,Rare
星遺物－『星杯』,COTD-JP023,Rare
トワイライトロード・ジェネラル ジェイン,COTD-JP024,nomal
トワイライトロード・ソーサラー ライラ,COTD-JP025,nomal
トワイライトロード・シャーマン ルミナス,COTD-JP026,Super
トワイライトロード・シャーマン ルミナス,COTD-JP026,Secret
トワイライトロード・ファイター ライコウ,COTD-JP027,nomal
戒めの龍,COTD-JP028,Ultra
戒めの龍,COTD-JP028,Ultimate
戒めの龍,COTD-JP028,Secret
レスキューフェレット,COTD-JP029,Rare
ランカの蟲惑魔,COTD-JP030,nomal
切れぎみ隊長,COTD-JP031,Rare
トレジャー・パンダー,COTD-JP032,nomal
ゾンビーナ,COTD-JP033,nomal
Ｒｅ：ＥＸ,COTD-JP034,nomal
影星軌道兵器ハイドランダー,COTD-JP035,nomal
雷仙神,COTD-JP036,N-Rare
パーリィナイツ,COTD-JP037,N-Rare
覇王眷竜スターヴ・ヴェノム,COTD-JP038,Rare
覇王眷竜クリアウィング,COTD-JP039,Rare
ＤＤＤ疾風大王エグゼクティブ・アレクサンダー,COTD-JP040,Rare
覇王眷竜ダーク・リベリオン,COTD-JP041,Rare
ＤＤＤ怒涛大王エグゼクティブ・シーザー,COTD-JP042,Super
ＤＤＤ怒涛大王エグゼクティブ・シーザー,COTD-JP042,Secret
ファイアウォール・ドラゴン,COTD-JP043,Ultra
ファイアウォール・ドラゴン,COTD-JP043,Ultimate
ファイアウォール・ドラゴン,COTD-JP043,Secret
ファイアウォール・ドラゴン,COTD-JP043,Holographic
トリックスター・ホーリーエンジェル,COTD-JP044,Ultra
トリックスター・ホーリーエンジェル,COTD-JP044,Ultimate
トリックスター・ホーリーエンジェル,COTD-JP044,Secret
剛鬼ザ・グレート・オーガ,COTD-JP045,Ultra
剛鬼ザ・グレート・オーガ,COTD-JP045,Ultimate
剛鬼ザ・グレート・オーガ,COTD-JP045,Secret
トポロジック・ボマー・ドラゴン,COTD-JP046,Ultra
トポロジック・ボマー・ドラゴン,COTD-JP046,Ultimate
トポロジック・ボマー・ドラゴン,COTD-JP046,Secret
星杯竜イムドゥーク,COTD-JP047,nomal
星杯神楽イヴ,COTD-JP048,Rare
星杯剣士アウラム,COTD-JP049,Super
星杯剣士アウラム,COTD-JP049,Secret
星杯戦士ニンギルス,COTD-JP050,Ultra
星杯戦士ニンギルス,COTD-JP050,Ultimate
星杯戦士ニンギルス,COTD-JP050,Secret
電影の騎士ガイアセイバー,COTD-JP051,Super
電影の騎士ガイアセイバー,COTD-JP051,Secret
ミセス・レディエント,COTD-JP052,Rare
トリックスター・ライトステージ,COTD-JP053,nomal
剛鬼再戦,COTD-JP054,nomal
エアークラック・ストーム,COTD-JP055,nomal
スマイル・ユニバース,COTD-JP056,nomal
星遺物との邂逅,COTD-JP057,nomal
星遺物の加護,COTD-JP058,nomal
闇の進軍,COTD-JP059,Rare
黄昏の双龍,COTD-JP060,nomal
緊急救急救命レスキュー,COTD-JP061,Rare
ルドラの魔導書,COTD-JP062,Super
ルドラの魔導書,COTD-JP062,Secret
鈍重,COTD-JP063,nomal
ブーギートラップ,COTD-JP064,Rare
キャッスル・リンク,COTD-JP065,Super
キャッスル・リンク,COTD-JP065,Secret
ディフェンスゾーン,COTD-JP066,N-Rare
スリーストライク・バリア,COTD-JP067,nomal
トリックスター・リンカーネイション,COTD-JP068,nomal
パルス・ボム,COTD-JP069,nomal
覇王の逆鱗,COTD-JP070,nomal
星遺物の導き,COTD-JP071,nomal
トワイライト・イレイザー,COTD-JP072,nomal
黄昏の交衣,COTD-JP073,nomal
暗黒界の洗脳,COTD-JP074,nomal
絶縁の落とし穴,COTD-JP075,Super
絶縁の落とし穴,COTD-JP075,Secret
砂塵の大嵐,COTD-JP076,Rare
戦線復帰,COTD-JP077,nomal
無償交換,COTD-JP078,Rare
無差別崩壊,COTD-JP079,nomal
変則ギア,COTD-JP080,N-Rare
