name,card_id,rare
Ｎｏ.３９ 希望皇ホープ,CP20-JP000,Prismatic Secret
暗黒の魔再生,CP20-JP001,Rare
パワードクロウラー,CP20-JP002,nomal
敵襲警報－イエローアラート－,CP20-JP003,nomal
ペンギン魚雷,CP20-JP004,N-Rare
風化戦士,CP20-JP005,Rare
古生代化石騎士 スカルキング,CP20-JP006,Ultra
古生代化石騎士 スカルキング,CP20-JP006,Collectors
中生代化石騎士 スカルナイト,CP20-JP007,Rare
新生代化石騎士 スカルポーン,CP20-JP008,nomal
古生代化石竜 スカルギオス,CP20-JP009,Super
古生代化石竜 スカルギオス,CP20-JP009,Collectors
新生代化石竜 スカルガー,CP20-JP010,nomal
化石融合－フォッシル・フュージョン,CP20-JP011,Ultra
化石融合－フォッシル・フュージョン,CP20-JP011,Collectors
タイム・ストリーム,CP20-JP012,Rare
標本の閲覧,CP20-JP013,nomal
奇跡の穿孔,CP20-JP014,Rare
サイキック・ウェーブ,CP20-JP015,nomal
アーマード・ホワイトベア,CP20-JP016,nomal
アフター・グロー,CP20-JP017,nomal
ハイレート・ドロー,CP20-JP018,nomal
Ｓｉｎ パラダイム・ドラゴン,CP20-JP019,Ultra
Ｓｉｎ パラダイム・ドラゴン,CP20-JP019,Collectors
ヌメロン・ウォール,CP20-JP020,Rare
ＣＮｏ.１ ゲート・オブ・カオス・ヌメロン－シニューニャ,CP20-JP021,Ultra
ＣＮｏ.１ ゲート・オブ・カオス・ヌメロン－シニューニャ,CP20-JP021,Collectors
Ｎｏ.１ ゲート・オブ・ヌメロン－エーカム,CP20-JP022,nomal
Ｎｏ.２ ゲート・オブ・ヌメロン－ドゥヴェー,CP20-JP023,nomal
Ｎｏ.３ ゲート・オブ・ヌメロン－トゥリーニ,CP20-JP024,nomal
Ｎｏ.４ ゲート・オブ・ヌメロン－チャトゥヴァーリ,CP20-JP025,nomal
ヌメロン・ネットワーク,CP20-JP026,Super
ヌメロン・ネットワーク,CP20-JP026,Collectors
ヌメロン・ダイレクト,CP20-JP027,Rare
Ｎｏ.３ 地獄蝉王ローカスト・キング,CP20-JP028,Super
Ｎｏ.３ 地獄蝉王ローカスト・キング,CP20-JP028,Collectors
花札衛－桜－,CP20-JP029,nomal
超勝負！,CP20-JP030,nomal
極氷獣ブリザード・ウルフ,CP20-JP031,nomal
極氷獣ポーラ・ペンギン,CP20-JP032,nomal
極氷獣アイスバーグ・ナーワル,CP20-JP033,nomal
キリビ・レディ,CP20-JP034,Rare
電幻機塊コンセントロール,CP20-JP035,Rare
遮断機塊ブレイカーバンクル,CP20-JP036,nomal
複写機塊コピーボックル,CP20-JP037,nomal
充電機塊セルトパス,CP20-JP038,Super
充電機塊セルトパス,CP20-JP038,Collectors
計量機塊カッパスケール,CP20-JP039,nomal
掃除機塊バキューネシア,CP20-JP040,nomal
洗濯機塊ランドリードラゴン,CP20-JP041,Rare
乾燥機塊ドライドレイク,CP20-JP042,nomal
機塊リユース,CP20-JP043,nomal
機塊テスト,CP20-JP044,nomal
家電機塊世界エレクトリリカル・ワールド,CP20-JP045,Super
家電機塊世界エレクトリリカル・ワールド,CP20-JP045,Collectors
