name,card_id,rare
白の枢機竜,CF01-JP000,Quarter Century Secret
アルバスの落胤,CF01-JPS01,Quarter Century Secret
白の聖女エクレシア,CF01-JPS02,Quarter Century Secret
デスピアの導化アルベル,CF01-JPS03,Quarter Century Secret
赫の聖女カルテシア,CF01-JPS04,Quarter Century Secret
教導国家ドラグマ,CF01-JP001,nomal
教導の聖女エクレシア,CF01-JP002,nomal
天底の使徒,CF01-JP003,nomal
教導枢機テトラドラグマ,CF01-JP004,nomal
教導の大神祇官,CF01-JP005,Ultra
教導の大神祇官,CF01-JP005,Quarter Century Secret
教導の騎士フルルドリス,CF01-JP006,Ultra
教導の騎士フルルドリス,CF01-JP006,Quarter Century Secret
教導の鉄槌テオ,CF01-JP007,nomal
教導の天啓アディン,CF01-JP008,nomal
ドラグマ・パニッシュメント,CF01-JP009,nomal
灰燼竜バスタード,CF01-JP010,nomal
アルバスの落胤,CF01-JP011,nomal
ドラグマ・エンカウンター,CF01-JP012,nomal
鉄獣戦線 銀弾のルガル,CF01-JP013,nomal
鉄獣戦線 凶鳥のシュライグ,CF01-JP014,Ultra
鉄獣戦線 凶鳥のシュライグ,CF01-JP014,Quarter Century Secret
鉄獣戦線 徒花のフェリジット,CF01-JP015,nomal
鉄獣戦線 ナーベル,CF01-JP016,nomal
鉄獣戦線 ケラス,CF01-JP017,nomal
鉄獣戦線 フラクトール,CF01-JP018,nomal
鉄獣の凶襲,CF01-JP019,nomal
教導の神徒,CF01-JP020,nomal
鉄獣の戦線,CF01-JP021,nomal
教導神理,CF01-JP022,nomal
痕喰竜ブリガンド,CF01-JP023,nomal
鉄獣の抗戦,CF01-JP024,nomal
鉄獣の血盟,CF01-JP025,nomal
黒衣のアルバス,CF01-JP026,nomal
追放者エクレシア,CF01-JP027,nomal
スプリガンズ・ウォッチ,CF01-JP028,nomal
大砂海ゴールド・ゴルゴンダ,CF01-JP029,nomal
スプリガンズ・キャプテン サルガス,CF01-JP030,nomal
スプリガンズ・シップ エクスブロウラー,CF01-JP031,nomal
スプリガンズ・ロッキー,CF01-JP032,nomal
スプリガンズ・ピード,CF01-JP033,nomal
スプリガンズ・バンガー,CF01-JP034,nomal
鉄獣戦線 キット,CF01-JP035,nomal
鉄獣の邂逅,CF01-JP036,nomal
スプリガンズ・コール！,CF01-JP037,nomal
スプリガンズ・ブラザーズ,CF01-JP038,nomal
