name,card_id,rare
ドドドボット,CBLZ-JP001,nomal
ゴゴゴゴースト,CBLZ-JP002,Rare
タスケルトン,CBLZ-JP003,nomal
アマリリース,CBLZ-JP004,nomal
ＺＷ－雷神猛虎剣,CBLZ-JP005,Rare
ＺＷ－風神雲龍剣,CBLZ-JP006,Rare
ＺＷ－玄武絶対聖盾,CBLZ-JP007,nomal
ガガガクラーク,CBLZ-JP008,Super
スピア・シャーク,CBLZ-JP009,nomal
ツーヘッド・シャーク,CBLZ-JP010,nomal
エクシーズ・リモーラ,CBLZ-JP011,nomal
エンシェント・シャーク ハイパー・メガロドン,CBLZ-JP012,Rare
紋章獣バシリスク,CBLZ-JP013,nomal
紋章獣エアレー,CBLZ-JP014,nomal
紋章獣ツインヘッド・イーグル,CBLZ-JP015,Rare
紋章獣ユニコーン,CBLZ-JP016,nomal
紋章獣レオ,CBLZ-JP017,Rare
ガーベージ・オーガ,CBLZ-JP018,nomal
ガーベージ・ロード,CBLZ-JP019,Rare
オービタル ７,CBLZ-JP020,Ultra
オービタル ７,CBLZ-JP020,Ultimate
英炎星－ホークエイ,CBLZ-JP021,nomal
捷炎星－セイヴン,CBLZ-JP022,nomal
勇炎星－エンショウ,CBLZ-JP023,Rare
暗炎星－ユウシ,CBLZ-JP024,nomal
微炎星－リュウシシン,CBLZ-JP025,Rare
雄炎星－スネイリン,CBLZ-JP026,nomal
威炎星－ヒエンシャク,CBLZ-JP027,Super
陽炎獣 サーベラス,CBLZ-JP028,nomal
陽炎獣 グリプス,CBLZ-JP029,nomal
陽炎獣 スピンクス,CBLZ-JP030,nomal
陽炎獣 ペリュトン,CBLZ-JP031,Rare
水精鱗－アビスディーネ,CBLZ-JP032,Rare
水精鱗－アビスノーズ,CBLZ-JP033,nomal
水精鱗－リードアビス,CBLZ-JP034,Super
魔導化士 マット,CBLZ-JP035,nomal
魔導冥士 ラモール,CBLZ-JP036,Rare
紅炎の騎士,CBLZ-JP037,Rare
稲荷火,CBLZ-JP038,nomal
バルキリー・ナイト,CBLZ-JP039,nomal
炎霊神パイロレクス,CBLZ-JP040,Super
炎神機－紫龍,CBLZ-JP041,nomal
レオンタウロス,CBLZ-JP042,nomal
アステル・ドローン,CBLZ-JP043,N-Rare
レッド・ダストン,CBLZ-JP044,N-Rare
Ｎｏ.９２ 偽骸神龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｄｒａｇｏｎ,CBLZ-JP045,Ultra
Ｎｏ.９２ 偽骸神龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｄｒａｇｏｎ,CBLZ-JP045,Ultimate
Ｎｏ.９２ 偽骸神龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｄｒａｇｏｎ,CBLZ-JP045,Holographic
Ｎｏ.５３ 偽骸神 Ｈｅａｒｔ－ｅａｒｔＨ,CBLZ-JP046,Ultra
Ｎｏ.５３ 偽骸神 Ｈｅａｒｔ－ｅａｒｔＨ,CBLZ-JP046,Ultimate
ＺＷ－獣王獅子武装,CBLZ-JP047,Ultra
ＺＷ－獣王獅子武装,CBLZ-JP047,Ultimate
魁炎星王－ソウコ,CBLZ-JP048,Ultra
魁炎星王－ソウコ,CBLZ-JP048,Ultimate
陽炎獣 バジリコック,CBLZ-JP049,Rare
水精鱗－アビストリーテ,CBLZ-JP050,Rare
恐牙狼 ダイヤウルフ,CBLZ-JP051,Super
電光千鳥,CBLZ-JP052,Super
シャイニート・マジシャン,CBLZ-JP053,Super
ゼロゼロック,CBLZ-JP054,nomal
ガガガドロー,CBLZ-JP055,Rare
エクシーズ・ダブル・バック,CBLZ-JP056,nomal
蘇生紋章,CBLZ-JP057,Rare
炎舞－「天枢」,CBLZ-JP058,nomal
炎舞－「天キ」,CBLZ-JP059,（「キ」＝玉偏に幾） Rare
陽炎柱,CBLZ-JP060,nomal
アビスケイル－ケートス,CBLZ-JP061,nomal
セフェルの魔導書,CBLZ-JP062,nomal
烏合の行進,CBLZ-JP063,nomal
進撃の帝王,CBLZ-JP064,nomal
速攻魔力増幅器,CBLZ-JP065,Super
戦火の残滓,CBLZ-JP066,nomal
見世物ゴブリン,CBLZ-JP067,N-Rare
ディメンション・ゲート,CBLZ-JP068,nomal
エクシーズ・ディメンション・スプラッシュ,CBLZ-JP069,nomal
紋章変換,CBLZ-JP070,nomal
炎舞－「天セン」,CBLZ-JP071,（「セン」＝玉偏に旋）
炎舞－「天権」,CBLZ-JP072,nomal
極炎舞－「星斗」,CBLZ-JP073,nomal
陽炎光輪,CBLZ-JP074,nomal
アビスコーン,CBLZ-JP075,nomal
鎖付き尖盾,CBLZ-JP076,nomal
エクシーズ・トライバル,CBLZ-JP077,nomal
ブレイクスルー・スキル,CBLZ-JP078,Super
ジュラック・インパクト,CBLZ-JP079,nomal
出目出し,CBLZ-JP080,N-Rare
