name,card_id,rare
ヒール・ウェーバー,CSOC-JP001,nomal
ターボ・シンクロン,CSOC-JP002,nomal
マッド・デーモン,CSOC-JP003,Rare
アイヴィ・ウォール,CSOC-JP004,nomal
コピー・プラント,CSOC-JP005,nomal
Ｄ・モバホン,CSOC-JP006,nomal
Ｄ・マグネンＵ,CSOC-JP007,nomal
Ｄ・チャッカン,CSOC-JP008,nomal
Ｄ・ラジカッセン,CSOC-JP009,Rare
Ｄ・キャメラン,CSOC-JP010,Rare
Ｄ・ラジオン,CSOC-JP011,nomal
Ｄ・クロックン,CSOC-JP012,nomal
ガジェット・トレーラー,CSOC-JP013,nomal
ガジェット・ドライバー,CSOC-JP014,Rare
サーチ・ストライカー,CSOC-JP015,Rare
チェイス・スカッド,CSOC-JP016,nomal
Ｃ・リペアラー,CSOC-JP017,nomal
Ｃ・スネーク,CSOC-JP018,Rare
Ｃ・シューター,CSOC-JP019,nomal
Ｃ・コイル,CSOC-JP020,nomal
パワー・インジェクター,CSOC-JP021,nomal
ストーム・サモナー,CSOC-JP022,Super
サイコジャンパー,CSOC-JP023,nomal
ウィード,CSOC-JP024,nomal
ギガント・セファロタス,CSOC-JP025,nomal
ツクシー,CSOC-JP026,nomal
ボタニティ・ガール,CSOC-JP027,Rare
カースド・フィグ,CSOC-JP028,N-Rare
椿姫ティタニアル,CSOC-JP029,Super
マンモス・ゾンビ,CSOC-JP030,Rare
ゾンビキャリア,CSOC-JP031,Rare
ゴブリン陽動部隊,CSOC-JP032,nomal
共闘するランドスターの剣士,CSOC-JP033,nomal
ハネワタ,CSOC-JP034,Super
伝説の白石,CSOC-JP035,N-Rare
タイガードラゴン,CSOC-JP036,Super
ジェイドナイト,CSOC-JP037,Rare
ターボ・ウォリアー,CSOC-JP038,Ultra
ターボ・ウォリアー,CSOC-JP038,Ultimate
ブラック・ローズ・ドラゴン,CSOC-JP039,Ultra
ブラック・ローズ・ドラゴン,CSOC-JP039,Ultimate
ブラック・ローズ・ドラゴン,CSOC-JP039,Holographic
Ｃ・ドラゴン,CSOC-JP040,Rare
サイコ・ヘルストランサー,CSOC-JP041,Rare
ヘル・ブランブル,CSOC-JP042,Super
デスカイザー・ドラゴン,CSOC-JP043,Ultra
デスカイザー・ドラゴン,CSOC-JP043,Ultimate
蘇りし魔王 ハ・デス,CSOC-JP044,Ultra
蘇りし魔王 ハ・デス,CSOC-JP044,Ultimate
カード・フリッパー,CSOC-JP045,nomal
偽りの種,CSOC-JP046,nomal
薔薇の刻印,CSOC-JP047,Super
ブラック・ガーデン,CSOC-JP048,Super
百機夜工,CSOC-JP049,nomal
Ｄ・スピードユニット,CSOC-JP050,Rare
Ｄ・コード,CSOC-JP051,nomal
Ｄ・パワーユニット,CSOC-JP052,nomal
ポイズン・チェーン,CSOC-JP053,nomal
パラライズ・チェーン,CSOC-JP054,nomal
アポート,CSOC-JP055,nomal
最古式念導,CSOC-JP056,Rare
増草剤,CSOC-JP057,nomal
フレグランス・ストーム,CSOC-JP058,nomal
世界樹,CSOC-JP059,nomal
不死式冥界砲,CSOC-JP060,Rare
魔法族の里,CSOC-JP061,Rare
Ωメガネ,CSOC-JP062,N-Rare
バトルマニア,CSOC-JP063,Rare
コンフュージョン・チャフ,CSOC-JP064,nomal
緊急同調,CSOC-JP065,Ultra
緊急同調,CSOC-JP065,Ultimate
シンクロ・ストライク,CSOC-JP066,nomal
プライドの咆哮,CSOC-JP067,Rare
リバイバル・ギフト,CSOC-JP068,nomal
破壊神の系譜,CSOC-JP069,Super
ドッペル・ゲイナー,CSOC-JP070,nomal
ディフォーム,CSOC-JP071,nomal
Ｄ・ゲイザー,CSOC-JP072,nomal
サイコ・トリガー,CSOC-JP073,Super
ポリノシス,CSOC-JP074,nomal
竹頭木屑,CSOC-JP075,nomal
植物連鎖,CSOC-JP076,nomal
王墓の罠,CSOC-JP077,nomal
ＤＮＡ定期健診,CSOC-JP078,nomal
御前試合,CSOC-JP079,nomal
大落とし穴,CSOC-JP080,N-Rare
