name,card_id,rare
ＳＩＭＭタブラス,CYHO-JP001,Rare
クラスター・コンジェスター,CYHO-JP002,nomal
剛鬼ムーンサルト,CYHO-JP003,nomal
剛鬼ツープラトン,CYHO-JP004,nomal
剛鬼ヘルトレーナー,CYHO-JP005,nomal
魔境のパラディオン,CYHO-JP006,nomal
神樹のパラディオン,CYHO-JP007,nomal
百獣のパラディオン,CYHO-JP008,nomal
星辰のパラディオン,CYHO-JP009,nomal
天穹のパラディオン,CYHO-JP010,Rare
星遺物－『星冠』,CYHO-JP011,Rare
魔神儀－キャンドール,CYHO-JP012,Rare
魔神儀－タリスマンドラ,CYHO-JP013,Rare
サイバー・ドラゴン・フィーア,CYHO-JP014,nomal
サイバー・ドラゴン・ヘルツ,CYHO-JP015,Super
サイバー・ドラゴン・ヘルツ,CYHO-JP015,Secret
ドラグニティ－セナート,CYHO-JP016,Rare
ドラグニティ－クーゼ,CYHO-JP017,nomal
メタファイズ・デコイドラゴン,CYHO-JP018,nomal
闇霊神オブルミラージュ,CYHO-JP019,Super
闇霊神オブルミラージュ,CYHO-JP019,Secret
コスモブレイン,CYHO-JP020,nomal
魔晶龍ジルドラス,CYHO-JP021,Ultra
魔晶龍ジルドラス,CYHO-JP021,Ultimate
魔晶龍ジルドラス,CYHO-JP021,Secret
魔神童,CYHO-JP022,nomal
サイコ・エース,CYHO-JP023,nomal
ハイ・キューピット,CYHO-JP024,N-Rare
寝ガエル,CYHO-JP025,N-Rare
サイバース・マジシャン,CYHO-JP026,Ultra
サイバース・マジシャン,CYHO-JP026,Ultimate
サイバース・マジシャン,CYHO-JP026,Secret
サイバース・マジシャン,CYHO-JP026,Holographic
破滅の天使ルイン,CYHO-JP027,nomal
終焉の悪魔デミス,CYHO-JP028,nomal
破滅の美神ルイン,CYHO-JP029,Super
破滅の美神ルイン,CYHO-JP029,Secret
終焉の覇王デミス,CYHO-JP030,Super
終焉の覇王デミス,CYHO-JP030,Secret
嵐竜の聖騎士,CYHO-JP031,Rare
ドラグニティナイト－ハールーン,CYHO-JP032,Rare
ドラグニティナイト－アスカロン,CYHO-JP033,Ultra
ドラグニティナイト－アスカロン,CYHO-JP033,Ultimate
ドラグニティナイト－アスカロン,CYHO-JP033,Secret
ヴァレルソード・ドラゴン,CYHO-JP034,Ultra
ヴァレルソード・ドラゴン,CYHO-JP034,Ultimate
ヴァレルソード・ドラゴン,CYHO-JP034,Secret
サイバース・ウィッチ,CYHO-JP035,Super
サイバース・ウィッチ,CYHO-JP035,Secret
リンク・ディヴォーティー,CYHO-JP036,nomal
レストレーション・ポイントガード,CYHO-JP037,nomal
剛鬼ジャドウ・オーガ,CYHO-JP038,nomal
剛鬼ザ・ジャイアント・オーガ,CYHO-JP039,Rare
ショートヴァレル・ドラゴン,CYHO-JP040,nomal
マガジンドラムゴン,CYHO-JP041,Super
マガジンドラムゴン,CYHO-JP041,Secret
マギアス・パラディオン,CYHO-JP042,Super
マギアス・パラディオン,CYHO-JP042,Secret
レグレクス・パラディオン,CYHO-JP043,nomal
アークロード・パラディオン,CYHO-JP044,Ultra
アークロード・パラディオン,CYHO-JP044,Ultimate
アークロード・パラディオン,CYHO-JP044,Secret
明星の機械騎士,CYHO-JP045,Rare
サイバー・ドラゴン・ズィーガー,CYHO-JP046,Ultra
サイバー・ドラゴン・ズィーガー,CYHO-JP046,Ultimate
サイバー・ドラゴン・ズィーガー,CYHO-JP046,Secret
閃刀姫－ハヤテ,CYHO-JP047,Rare
リプロドクス,CYHO-JP048,Rare
見習い魔嬢,CYHO-JP049,Rare
ハイパースター,CYHO-JP050,Rare
サイバネット・リチューアル,CYHO-JP051,Rare
ゼロ・エクストラリンク,CYHO-JP052,nomal
ヴァレル・リロード,CYHO-JP053,nomal
リユナイト・パラディオン,CYHO-JP054,nomal
オーバード・パラディオン,CYHO-JP055,nomal
エンドレス・オブ・ザ・ワールド,CYHO-JP056,nomal
ブレイク・オブ・ザ・ワールド,CYHO-JP057,nomal
リバース・オブ・ザ・ワールド,CYHO-JP058,nomal
サイバー・レヴシステム,CYHO-JP059,Rare
星遺物の醒存,CYHO-JP060,nomal
星遺物の機憶,CYHO-JP061,nomal
魔導研究所,CYHO-JP062,nomal
獣・魔・導,CYHO-JP063,nomal
星呼びの天儀台,CYHO-JP064,Super
星呼びの天儀台,CYHO-JP064,Secret
孤毒の剣,CYHO-JP065,nomal
クロス・ブリード,CYHO-JP066,Super
クロス・ブリード,CYHO-JP066,Secret
予見通帳,CYHO-JP067,N-Rare
シールド・ハンドラ,CYHO-JP068,nomal
ミラーフォース・ランチャー,CYHO-JP069,Super
ミラーフォース・ランチャー,CYHO-JP069,Secret
リンク・デス・ターレット,CYHO-JP070,nomal
クルセイド・パラディオン,CYHO-JP071,nomal
リターン・オブ・ザ・ワールド,CYHO-JP072,Rare
サイバネティック・オーバーフロー,CYHO-JP073,nomal
ドラグニティ・ドライブ,CYHO-JP074,nomal
星遺物の交心,CYHO-JP075,nomal
メタファイズ・アセンション,CYHO-JP076,nomal
弩弓部隊,CYHO-JP077,nomal
深すぎた墓穴,CYHO-JP078,Rare
単一化,CYHO-JP079,nomal
ディーラーズ・チョイス,CYHO-JP080,N-Rare
