name,card_id,rare
サイクロイド,CRV-JP001,nomal
ソイツ,CRV-JP002,nomal
マッド・ロブスター,CRV-JP003,nomal
ジェリービーンズマン,CRV-JP004,nomal
ハネクリボー ＬＶ１０,CRV-JP005,Ultra
ハネクリボー ＬＶ１０,CRV-JP005,Ultimate
パトロイド,CRV-JP006,nomal
ジャイロイド,CRV-JP007,nomal
スチームロイド,CRV-JP008,nomal
ドリルロイド,CRV-JP009,nomal
ユーフォロイド,CRV-JP010,Super
ユーフォロイド,CRV-JP010,Ultimate
ジェット・ロイド,CRV-JP011,nomal
フレンドッグ,CRV-JP012,Rare
ダーク・カタパルター,CRV-JP013,Rare
Ｅ・ＨＥＲＯ バブルマン,CRV-JP014,Rare
サイバー・ドラゴン,CRV-JP015,Super
サイバー・ドラゴン,CRV-JP015,Ultimate
サイバネティック・マジシャン,CRV-JP016,Super
サイバネティック・マジシャン,CRV-JP016,Ultimate
サイバネティック・サイクロプス,CRV-JP017,nomal
メカニカル・ハウンド,CRV-JP018,nomal
サイバーデーモン,CRV-JP019,nomal
ゴブリンエリート部隊,CRV-JP020,Super
ゴブリンエリート部隊,CRV-JP020,Ultimate
巨大戦艦 クリスタル・コア,CRV-JP021,Super
巨大戦艦 クリスタル・コア,CRV-JP021,Ultimate
Ｇ・コザッキー,CRV-JP022,nomal
不屈闘士レイレイ,CRV-JP023,nomal
守護霊アイリン,CRV-JP024,nomal
ドイツ,CRV-JP025,nomal
デスガエル,CRV-JP026,nomal
悪魂邪苦止,CRV-JP027,nomal
引きガエル,CRV-JP028,nomal
ディノインフィニティ,CRV-JP029,nomal
電池メン－単二型,CRV-JP030,nomal
黒魔導師クラン,CRV-JP031,nomal
Ｄ・Ｄ・Ｍ,CRV-JP032,Rare
スチームジャイロイド,CRV-JP033,nomal
ユーフォロイド・ファイター,CRV-JP034,Ultra
ユーフォロイド・ファイター,CRV-JP034,Ultimate
サイバー・ツイン・ドラゴン,CRV-JP035,Super
サイバー・ツイン・ドラゴン,CRV-JP035,Ultimate
サイバー・エンド・ドラゴン,CRV-JP036,Ultra
サイバー・エンド・ドラゴン,CRV-JP036,Ultimate
パワー・ボンド,CRV-JP037,Ultra
パワー・ボンド,CRV-JP037,Ultimate
融合回収,CRV-JP038,nomal
ミラクル・フュージョン,CRV-JP039,Rare
龍の鏡,CRV-JP040,nomal
システム・ダウン,CRV-JP041,Rare
死の合唱,CRV-JP042,nomal
謙虚な壺,CRV-JP043,nomal
シエンの間者,CRV-JP044,nomal
進化する翼,CRV-JP045,Rare
バブル・シャッフル,CRV-JP046,Rare
スパークガン,CRV-JP047,Rare
摩天楼 －スカイスクレイパー－,CRV-JP048,Super
摩天楼 －スカイスクレイパー－,CRV-JP048,Ultimate
ファイアーダーツ,CRV-JP049,Rare
地霊術－「鉄」,CRV-JP050,nomal
水霊術－「葵」,CRV-JP051,nomal
火霊術－「紅」,CRV-JP052,nomal
風霊術－「雅」,CRV-JP053,nomal
ライバル登場！,CRV-JP054,nomal
マジカル・エクスプロージョン,CRV-JP055,Rare
ライジング・エナジー,CRV-JP056,Rare
異次元の落とし穴,CRV-JP057,Rare
徴兵令,CRV-JP058,nomal
ディメンション・ウォール,CRV-JP059,Rare
反撃準備,CRV-JP060,nomal
