name,card_id,rare
人造人間－サイコ・ショッカー,CA-00,Secret
人造人間－サイコ・ショッカー,CA-00,Parallel
鉄腕ゴーレム,CA-01,nomal
三ツ首のギドー,CA-02,nomal
寄生虫パラサイド,CA-03,Ultra
寄生虫パラサイド,CA-03,Parallel
７カード,CA-04,nomal
光の封札剣,CA-05,Super
連鎖破壊,CA-06,Ultra
連鎖破壊,CA-06,Parallel
刻の封印,CA-07,nomal
墓荒らし,CA-08,nomal
ホーリー・エルフの祝福,CA-09,nomal
真実の眼,CA-10,nomal
砂塵の大竜巻,CA-11,nomal
リビングデッドの呼び声,CA-12,N-Rare
ソロモンの律法書,CA-13,Rare
地殻変動,CA-14,nomal
ホーリージャベリン,CA-15,nomal
銀幕の鏡壁,CA-16,Super
突風,CA-17,nomal
猛吹雪,CA-18,nomal
ガラスの鎧,CA-19,nomal
世界の平定,CA-20,nomal
魔法探査の石版,CA-21,nomal
金属探知器,CA-22,nomal
白衣の天使,CA-23,nomal
便乗,CA-24,nomal
強制接収,CA-25,nomal
ＤＮＡ改造手術,CA-26,nomal
一族の掟,CA-27,nomal
補充要員,CA-28,nomal
大騒動,CA-29,nomal
停戦協定,CA-30,nomal
聖なる輝き,CA-31,nomal
正々堂々,CA-32,nomal
王宮の勅命,CA-33,Super
マジカルシルクハット,CA-34,Super
抹殺の使徒,CA-35,Rare
撲滅の使徒,CA-36,Rare
浅すぎた墓穴,CA-37,Rare
早すぎた埋葬,CA-38,Rare
検閲,CA-39,nomal
禁止令,CA-40,Rare
カオスポッド,CA-41,nomal
フレイムキラー,CA-42,nomal
ビッグバンドラゴン,CA-43,nomal
バーニングソルジャー,CA-44,nomal
ミスターボルケーノ,CA-45,nomal
炎の剣豪,CA-46,nomal
精神寄生体,CA-47,nomal
メカファルコン,CA-48,nomal
フライングマンティス,CA-49,nomal
バードマン,CA-50,nomal
バスター・ブレイダー,CA-51,Ultra
バスター・ブレイダー,CA-51,Parallel
