name,card_id,rare
ファイアウォール・ガーディアン,DANE-JP001,nomal
グリッド・スィーパー,DANE-JP002,nomal
転生炎獣フェネック,DANE-JP003,nomal
オーバーフロー・ドラゴン,DANE-JP004,nomal
オルターガイスト・フィフィネラグ,DANE-JP005,nomal
ダイナレスラー・エスクリマメンチ,DANE-JP006,nomal
ダイナレスラー・コエロフィシラット,DANE-JP007,nomal
ダイナレスラー・マーシャルアンガ,DANE-JP008,nomal
Ｄ－ＨＥＲＯ ドローガイ,DANE-JP009,nomal
サイキック・リフレクター,DANE-JP010,Rare
バスター・スナイパー,DANE-JP011,nomal
ＴＧ ハルバード・キャノン／バスター,DANE-JP012,Super
ＴＧ ハルバード・キャノン／バスター,DANE-JP012,Secret
超量士ホワイトレイヤー,DANE-JP013,Rare
ネオフレムベル・レディ,DANE-JP014,nomal
空牙団の伝令 フィロ,DANE-JP015,Rare
氷の魔妖－雪娘,DANE-JP016,Rare
夢幻転星イドリース,DANE-JP017,Super
夢幻転星イドリース,DANE-JP017,Secret
星遺物の守護竜メロダーク,DANE-JP018,Rare
機怪神エクスクローラー,DANE-JP019,nomal
妖醒龍ラルバウール,DANE-JP020,Ultra
妖醒龍ラルバウール,DANE-JP020,Ultimate
妖醒龍ラルバウール,DANE-JP020,Secret
カオス・ベトレイヤー,DANE-JP021,Rare
擾乱騒蛇ラウドクラウド,DANE-JP022,nomal
エクシーズ・スライドルフィン,DANE-JP023,nomal
星向鳥,DANE-JP024,nomal
儚無みずき,DANE-JP025,Super
儚無みずき,DANE-JP025,Secret
ハンディ・ギャロップ,DANE-JP026,nomal
魔獣皇帝ガーゼット,DANE-JP027,N-Rare
ロー・キューピット,DANE-JP028,N-Rare
魔神儀の創造主－クリオルター,DANE-JP029,nomal
ダイナレスラー・キメラ・Ｔレッスル,DANE-JP030,nomal
Ｄ－ＨＥＲＯ ドミネイトガイ,DANE-JP031,Super
Ｄ－ＨＥＲＯ ドミネイトガイ,DANE-JP031,Secret
星杯の守護竜アルマドゥーク,DANE-JP032,Rare
オルターガイスト・ドラッグウィリオン,DANE-JP033,nomal
ダイナレスラー・ギガ・スピノサバット,DANE-JP034,Super
ダイナレスラー・ギガ・スピノサバット,DANE-JP034,Secret
星杯の神子イヴ,DANE-JP035,Super
星杯の神子イヴ,DANE-JP035,Secret
ファイアウォール・Ｘ・ドラゴン,DANE-JP036,Ultra
ファイアウォール・Ｘ・ドラゴン,DANE-JP036,Ultimate
ファイアウォール・Ｘ・ドラゴン,DANE-JP036,Secret
ファイアウォール・Ｘ・ドラゴン,DANE-JP036,Holographic
超量機獣ラスターレックス,DANE-JP037,Rare
宵星の機神ディンギルス,DANE-JP038,Ultra
宵星の機神ディンギルス,DANE-JP038,Ultimate
宵星の機神ディンギルス,DANE-JP038,Secret
ティーチャーマドルチェ・グラスフレ,DANE-JP039,Rare
サイバース・リマインダー,DANE-JP040,nomal
デリンジャラス・ドラゴン,DANE-JP041,nomal
ダイナレスラー・テラ・パルクリオ,DANE-JP042,nomal
剛鬼ザ・ブレード・オーガ,DANE-JP043,nomal
剛鬼ザ・ソリッド・オーガ,DANE-JP044,nomal
Ｘ・ＨＥＲＯ クロスガイ,DANE-JP045,Super
Ｘ・ＨＥＲＯ クロスガイ,DANE-JP045,Secret
真超量機神王ブラスター・マグナ,DANE-JP046,Rare
双穹の騎士アストラム,DANE-JP047,Ultra
双穹の騎士アストラム,DANE-JP047,Ultimate
双穹の騎士アストラム,DANE-JP047,Secret
星神器デミウルギア,DANE-JP048,Super
星神器デミウルギア,DANE-JP048,Secret
落消しのパズロミノ,DANE-JP049,nomal
揚陸群艦アンブロエール,DANE-JP050,Ultra
揚陸群艦アンブロエール,DANE-JP050,Ultimate
揚陸群艦アンブロエール,DANE-JP050,Secret
サイバネット・マイニング,DANE-JP051,Ultra
サイバネット・マイニング,DANE-JP051,Ultimate
サイバネット・マイニング,DANE-JP051,Secret
転生炎獣の再起,DANE-JP052,Rare
タイラント・ダイナ・フュージョン,DANE-JP053,nomal
フュージョン・デステニー,DANE-JP054,Rare
バスター・モード・ゼロ,DANE-JP055,nomal
超量要請アルファンコール,DANE-JP056,nomal
魔妖壊劫,DANE-JP057,Rare
雲魔物の雲核,DANE-JP058,nomal
星遺物の胎導,DANE-JP059,nomal
転臨の守護竜,DANE-JP060,nomal
テスタメント・パラディオン,DANE-JP061,nomal
魔神儀の隠れ房,DANE-JP062,nomal
亡龍の旋律,DANE-JP063,nomal
魔鍾洞,DANE-JP064,Super
魔鍾洞,DANE-JP064,Secret
モルトシュラーク,DANE-JP065,nomal
スタンド・イン,DANE-JP066,nomal
強制切断,DANE-JP067,N-Rare
オルターガイスト・ホーンデッドロック,DANE-JP068,nomal
Ｄ－タクティクス,DANE-JP069,Rare
バスター・リブート,DANE-JP070,Rare
超量合神－マグナフォーメーション,DANE-JP071,nomal
魔弾－ブラッディ・クラウン,DANE-JP072,nomal
虹の天気模様,DANE-JP073,Rare
オルフェゴール・クリマクス,DANE-JP074,Rare
星遺物の齎す崩界,DANE-JP075,nomal
星遺物の対焉,DANE-JP076,nomal
連鎖空穴,DANE-JP077,Super
連鎖空穴,DANE-JP077,Secret
大捕り物,DANE-JP078,Rare
スノーマン・エフェクト,DANE-JP079,nomal
ダイスエット,DANE-JP080,N-Rare
