name,card_id,rare
ＢＦ－無頼のヴァータ,DABL-JP001,Rare
ＢＦ－嵐砂のシャマール,DABL-JP002,nomal
ＢＦ－雪撃のチヌーク,DABL-JP003,nomal
ＢＦ－幻耀のスズリ,DABL-JP004,Super
ＢＦ－幻耀のスズリ,DABL-JP004,Secret
ＢＦ－刻夜のゾンダ,DABL-JP005,nomal
深淵の獣マグナムート,DABL-JP006,Rare
深淵の獣サロニール,DABL-JP007,nomal
深淵の獣ドルイドヴルム,DABL-JP008,nomal
深淵の獣ルベリオン,DABL-JP009,Ultra
深淵の獣ルベリオン,DABL-JP009,Ultimate
深淵の獣ルベリオン,DABL-JP009,Secret
深淵の獣アルバ・ロス,DABL-JP010,Super
深淵の獣アルバ・ロス,DABL-JP010,Secret
赫の聖女カルテシア,DABL-JP011,Super
赫の聖女カルテシア,DABL-JP011,Secret
クシャトリラ・フェンリル,DABL-JP012,Rare
クシャトリラ・ユニコーン,DABL-JP013,Super
クシャトリラ・ユニコーン,DABL-JP013,Secret
クシャトリラ・オーガ,DABL-JP014,nomal
宙の忍者－鳥帷,DABL-JP015,nomal
蟲の忍者－蜜,DABL-JP016,Super
蟲の忍者－蜜,DABL-JP016,Secret
獣の忍者－獏,DABL-JP017,nomal
銃の忍者－火光,DABL-JP018,nomal
占術姫ビブリオムーサ,DABL-JP019,nomal
ナチュル・モルクリケット,DABL-JP020,Rare
ナチュル・カメリア,DABL-JP021,nomal
竜剣士イグニスＰ,DABL-JP022,Super
竜剣士イグニスＰ,DABL-JP022,Secret
竜剣士マジェスティＰ,DABL-JP023,Rare
竜剣士ダイナマイトＰ,DABL-JP024,nomal
春化精の女神 ヴェーラ,DABL-JP025,Ultra
春化精の女神 ヴェーラ,DABL-JP025,Ultimate
春化精の女神 ヴェーラ,DABL-JP025,Secret
苗と霞の春化精,DABL-JP026,nomal
空牙団の積荷 レクス,DABL-JP027,Rare
テセア聖霊器,DABL-JP028,nomal
ソウル・シザー,DABL-JP029,nomal
迷宮城の白銀姫,DABL-JP030,Ultra
迷宮城の白銀姫,DABL-JP030,Ultimate
迷宮城の白銀姫,DABL-JP030,Secret
インフェルノクインサーモン,DABL-JP031,nomal
キュウドウ魂 ＨＡＮ－ＳＨＩ,DABL-JP032,nomal
道化鳥ラフィンパフィン,DABL-JP033,nomal
魔界造車－ＧＴ１９,DABL-JP034,nomal
サイコ・ローヴァー,DABL-JP035,nomal
精霊冥騎－急還馬,DABL-JP036,N-Rare
沈黙狼－カルーポ,DABL-JP037,N-Rare
冥占術姫タロットレイス,DABL-JP038,Super
冥占術姫タロットレイス,DABL-JP038,Secret
ティアラメンツ・ルルカロス,DABL-JP039,Super
ティアラメンツ・ルルカロス,DABL-JP039,Secret
戎の忍者－冥禪,DABL-JP040,Ultra
戎の忍者－冥禪,DABL-JP040,Ultimate
戎の忍者－冥禪,DABL-JP040,Secret
神碑の牙フレーキ,DABL-JP041,nomal
ブラックフェザー・アサルト・ドラゴン,DABL-JP042,Ultra
ブラックフェザー・アサルト・ドラゴン,DABL-JP042,Ultimate
ブラックフェザー・アサルト・ドラゴン,DABL-JP042,Secret
ＢＦ－魔風のボレアース,DABL-JP043,Super
ＢＦ－魔風のボレアース,DABL-JP043,Secret
燐廻の三弦猫,DABL-JP044,Rare
クシャトリラ・シャングリラ,DABL-JP045,Rare
メレオロジック・アグリゲーター,DABL-JP046,Ultra
メレオロジック・アグリゲーター,DABL-JP046,Ultimate
メレオロジック・アグリゲーター,DABL-JP046,Secret
死祖の隷竜ウォロー,DABL-JP047,Rare
スプライト・スプリンド,DABL-JP048,Super
スプライト・スプリンド,DABL-JP048,Secret
空牙団の懐剣 ドナ,DABL-JP049,Rare
世海龍ジーランティス,DABL-JP050,Ultra
世海龍ジーランティス,DABL-JP050,Ultimate
世海龍ジーランティス,DABL-JP050,Secret
世海龍ジーランティス,DABL-JP050,Holographic
魔界特派員デスキャスター,DABL-JP051,Ultra
魔界特派員デスキャスター,DABL-JP051,Ultimate
魔界特派員デスキャスター,DABL-JP051,Secret
黒羽の旋風,DABL-JP052,Rare
復烙印,DABL-JP053,Rare
決戦のゴルゴンダ,DABL-JP054,nomal
鉄獣の死線,DABL-JP055,nomal
壱世壊に渦巻く反響,DABL-JP056,Rare
壱世壊を揺るがす鼓動,DABL-JP057,nomal
壱世壊を劈く弦声,DABL-JP058,nomal
械貶する肆世壊,DABL-JP059,nomal
クシャトリラ・バース,DABL-JP060,nomal
異譚の忍法帖,DABL-JP061,Rare
忍法装具 鉄土竜,DABL-JP062,nomal
冥占術の儀式,DABL-JP063,nomal
ナチュルの春風,DABL-JP064,nomal
ドラゴニックＰ,DABL-JP065,nomal
春化精の花盛,DABL-JP066,nomal
禁呪アラマティア,DABL-JP067,nomal
ＶＶ－ソロアクティベート,DABL-JP068,Rare
地中界の厄災,DABL-JP069,nomal
真刀竹光,DABL-JP070,N-Rare
ＢＦ－ツインシャドウ,DABL-JP071,nomal
ブラック・ノーブル,DABL-JP072,nomal
烙印の獣,DABL-JP073,Rare
スプライト・ダブルクロス,DABL-JP074,nomal
肆世壊の双牙,DABL-JP075,nomal
クシャトリラ・プリペア,DABL-JP076,nomal
忍法 落葉舞,DABL-JP077,Rare
同契魔術,DABL-JP078,Rare
星逢の天河,DABL-JP079,nomal
天地返し,DABL-JP080,N-Rare
ブラックフェザー・ドラゴン,DABL-JPS01,Prismatic Secret
