name,card_id,rare
想い集いし竜,DAMA-JP001,Rare
スターダスト・シンクロン,DAMA-JP002,Super
スターダスト・シンクロン,DAMA-JP002,Secret
スターダスト・トレイル,DAMA-JP003,nomal
喜劇のデスピアン,DAMA-JP004,nomal
悲劇のデスピアン,DAMA-JP005,nomal
デスピアの導化アルベル,DAMA-JP006,Super
デスピアの導化アルベル,DAMA-JP006,Secret
デスピアの大導劇神,DAMA-JP007,Super
デスピアの大導劇神,DAMA-JP007,Secret
黒衣竜アルビオン,DAMA-JP008,Rare
妖眼の相剣師,DAMA-JP009,Ultra
妖眼の相剣師,DAMA-JP009,Ultimate
妖眼の相剣師,DAMA-JP009,Secret
魔鍵銃士－クラヴィス,DAMA-JP010,Rare
しゃりの軍貫,DAMA-JP011,Rare
いくらの軍貫,DAMA-JP012,nomal
先史遺産メガラ・グローヴ,DAMA-JP013,Rare
先史遺産アカンバロの土偶,DAMA-JP014,nomal
機巧菟－稻羽之淤岐素,DAMA-JP015,nomal
機巧鳥－常世宇受賣長鳴,DAMA-JP016,Rare
機巧蛙－磐盾多邇具久,DAMA-JP017,Rare
機巧猪－伊服岐雹荒神,DAMA-JP018,nomal
ガスタ・ヴェズル,DAMA-JP019,Rare
驚楽園の助手 ＜Ｄｅｌｉａ＞,DAMA-JP020,Rare
エーリアン・バスター,DAMA-JP021,nomal
森の聖獣 カルピポニカ,DAMA-JP022,nomal
氷河のアクア・マドール,DAMA-JP023,nomal
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Ultra
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Ultimate
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Secret
人攻智能ＭＥ－ＰＳＹ－ＹＡ,DAMA-JP024,Holographic
守護天霊ロガエス,DAMA-JP025,Ultra
守護天霊ロガエス,DAMA-JP025,Ultimate
守護天霊ロガエス,DAMA-JP025,Secret
修士号ディプロマン,DAMA-JP026,nomal
木花咲弥,DAMA-JP027,nomal
死眼の伝霊－プシュコポンポス,DAMA-JP028,nomal
スロワースワロー,DAMA-JP029,nomal
絆醒師セームベル,DAMA-JP030,N-Rare
エアロピΞ,DAMA-JP031,N-Rare
魔鍵銃－バトスバスター,DAMA-JP032,nomal
魔鍵砲－ガレスヴェート,DAMA-JP033,Super
魔鍵砲－ガレスヴェート,DAMA-JP033,Secret
デスピアン・クエリティス,DAMA-JP034,Ultra
デスピアン・クエリティス,DAMA-JP034,Ultimate
デスピアン・クエリティス,DAMA-JP034,Secret
デスピアン・プロスケニオン,DAMA-JP035,Rare
魔鍵召獣－アンシャラボラス,DAMA-JP036,nomal
魔鍵召竜－アンドラビムス,DAMA-JP037,Ultra
魔鍵召竜－アンドラビムス,DAMA-JP037,Ultimate
魔鍵召竜－アンドラビムス,DAMA-JP037,Secret
無の畢竟 オールヴェイン,DAMA-JP038,nomal
シューティング・セイヴァー・スター・ドラゴン,DAMA-JP039,Ultra
シューティング・セイヴァー・スター・ドラゴン,DAMA-JP039,Ultimate
シューティング・セイヴァー・スター・ドラゴン,DAMA-JP039,Secret
ダイガスタ・ラプラムピリカ,DAMA-JP040,Super
ダイガスタ・ラプラムピリカ,DAMA-JP040,Secret
星風狼ウォルフライエ,DAMA-JP041,Ultra
星風狼ウォルフライエ,DAMA-JP041,Ultimate
星風狼ウォルフライエ,DAMA-JP041,Secret
甲纏竜ガイアーム,DAMA-JP042,nomal
弩級軍貫－いくら型一番艦,DAMA-JP043,Rare
先史遺産ヴィマナ,DAMA-JP044,Ultra
先史遺産ヴィマナ,DAMA-JP044,Ultimate
先史遺産ヴィマナ,DAMA-JP044,Secret
黒熔龍騎ヴォルニゲシュ,DAMA-JP045,Super
黒熔龍騎ヴォルニゲシュ,DAMA-JP045,Secret
告天子竜パイレン,DAMA-JP046,nomal
宇宙鋏ゼロオル,DAMA-JP047,Rare
グランドレミコード・ミューゼシア,DAMA-JP048,Super
グランドレミコード・ミューゼシア,DAMA-JP048,Secret
激撮ディスパラッチ,DAMA-JP049,nomal
