name,card_id,rare
センジュ・ゴッド,DT10-JP001,nomal
ソニックバード,DT10-JP002,nomal
ケルベク,DT10-JP003,nomal
死霊操りしパペットマスター,DT10-JP004,nomal
ＴＨＥ トリッキー,DT10-JP005,N-Rare
サイレント・ソードマン ＬＶ５,DT10-JP006,Super
風霊使いウィン,DT10-JP007,nomal
アームド・ドラゴン ＬＶ１０,DT10-JP008,Rare
ヴォルカニック・ロケット,DT10-JP009,nomal
ヴォルカニック・カウンター,DT10-JP010,nomal
エンペラー・ストゥム,DT10-JP011,N-Rare
クレボンス,DT10-JP012,nomal
ブラック・ボンバー,DT10-JP013,nomal
リチュア・アビス,DT10-JP014,nomal
リチュア・ヴァニティ,DT10-JP015,nomal
リチュア・マーカー,DT10-JP016,Rare
リチュア・チェイン,DT10-JP017,Super
リチュア・エリアル,DT10-JP018,nomal
シャドウ・リチュア,DT10-JP019,nomal
ガスタ・ガルド,DT10-JP020,nomal
ガスタ・イグル,DT10-JP021,nomal
ガスタ・サンボルト,DT10-JP022,nomal
ガスタの巫女 ウィンダ,DT10-JP023,nomal
ガスタの静寂 カーム,DT10-JP024,Super
ガスタの賢者 ウィンダール,DT10-JP025,Rare
インヴェルズの魔細胞,DT10-JP026,nomal
インヴェルズの斥候,DT10-JP027,Rare
インヴェルズの門番,DT10-JP028,nomal
インヴェルズを呼ぶ者,DT10-JP029,Rare
インヴェルズ・マディス,DT10-JP030,nomal
インヴェルズ・モース,DT10-JP031,Rare
インヴェルズ・ギラファ,DT10-JP032,Ultra
インヴェルズ・ギラファ,DT10-JP032,Secret
インヴェルズ・ガザス,DT10-JP033,Ultra
インヴェルズ・ガザス,DT10-JP033,Secret
イビリチュア・マインドオーガス,DT10-JP034,Super
イビリチュア・ソウルオーガ,DT10-JP035,Ultra
イビリチュア・ソウルオーガ,DT10-JP035,Secret
鎧黒竜－サイバー・ダーク・ドラゴン,DT10-JP036,Rare
マジカル・アンドロイド,DT10-JP037,nomal
メンタルスフィア・デーモン,DT10-JP038,Super
ダイガスタ・ガルドス,DT10-JP039,Super
ダイガスタ・イグルス,DT10-JP040,Ultra
ダイガスタ・イグルス,DT10-JP040,Secret
リチュアの儀水鏡,DT10-JP041,nomal
ガスタの交信,DT10-JP042,Rare
侵略の一手,DT10-JP043,nomal
サイバーダーク・インパクト！,DT10-JP044,nomal
スター・ブラスト,DT10-JP045,nomal
儀水鏡の瞑想術,DT10-JP046,Rare
ガスタへの祈り,DT10-JP047,nomal
侵略の波動,DT10-JP048,Rare
生贄の抱く爆弾,DT10-JP049,nomal
因果切断,DT10-JP050,nomal
