name,card_id,rare
ヴォルカニック・バレット,DT12-JP001,nomal
Ｅ・ＨＥＲＯ アナザー・ネオス,DT12-JP002,Rare
クイック・シンクロン,DT12-JP003,nomal
ＴＧ ラッシュ・ライノ,DT12-JP004,nomal
バスター・ショットマン,DT12-JP005,nomal
幻銃士,DT12-JP006,N-Rare
六武衆の師範,DT12-JP007,Rare
ダーク・グレファー,DT12-JP008,nomal
ドッペルゲンガー,DT12-JP009,nomal
ペンギン・ソルジャー,DT12-JP010,nomal
墓守の偵察者,DT12-JP011,Rare
伝説の柔術家,DT12-JP012,nomal
火霊使いヒータ,DT12-JP013,nomal
ブラック・マジシャン・ガール,DT12-JP014,Super
アビス・ソルジャー,DT12-JP015,N-Rare
黄金のホムンクルス,DT12-JP016,nomal
ジェムナイト・オブシディア,DT12-JP017,Rare
ジェムナイト・アイオーラ,DT12-JP018,nomal
ジェムナイト・アンバー,DT12-JP019,nomal
ラヴァル炎湖畔の淑女,DT12-JP020,nomal
ラヴァル・コアトル,DT12-JP021,Rare
ラヴァル・ガンナー,DT12-JP022,nomal
ヴァイロン・ペンタクロ,DT12-JP023,nomal
ヴァイロン・テセラクト,DT12-JP024,nomal
ヴァイロン・スティグマ,DT12-JP025,Rare
ヴィジョン・リチュア,DT12-JP026,nomal
リチュア・エミリア,DT12-JP027,Rare
リチュア・シェルフィッシュ,DT12-JP028,nomal
ガスタ・ファルコ,DT12-JP029,nomal
ガスタの希望 カムイ,DT12-JP030,nomal
ガスタの神官 ムスト,DT12-JP031,Rare
イビリチュア・ガストクラーケ,DT12-JP032,Super
ジェムナイト・アメジス,DT12-JP033,Super
ラヴァルバル・ドラグーン,DT12-JP034,Super
ダイガスタ・ファルコス,DT12-JP035,Super
ジェムナイト・パール,DT12-JP036,Super
ラヴァルバル・イグニス,DT12-JP037,Ultra
ラヴァルバル・イグニス,DT12-JP037,Secret
ヴァイロン・ディシグマ,DT12-JP038,Ultra
ヴァイロン・ディシグマ,DT12-JP038,Secret
イビリチュア・メロウガイスト,DT12-JP039,Ultra
イビリチュア・メロウガイスト,DT12-JP039,Secret
ダイガスタ・フェニクス,DT12-JP040,Ultra
ダイガスタ・フェニクス,DT12-JP040,Secret
二重召喚,DT12-JP041,nomal
シンクロキャンセル,DT12-JP042,nomal
パーティカル・フュージョン,DT12-JP043,nomal
ヴァイロン・ポリトープ,DT12-JP044,Rare
ヴァイロン・セグメント,DT12-JP045,nomal
マクロコスモス,DT12-JP046,Rare
アポピスの化神,DT12-JP047,nomal
炎塵爆発,DT12-JP048,nomal
儀水鏡の幻影術,DT12-JP049,nomal
ガスタのつむじ風,DT12-JP050,nomal
