name,card_id,rare
サイレント・ソードマン ＬＶ７,DT11-JP001,Super
アルカナフォースＥＸ－ＴＨＥ ＬＩＧＨＴ ＲＵＬＥＲ,DT11-JP002,Rare
Ｅ・ＨＥＲＯ ボルテック,DT11-JP003,nomal
アテナ,DT11-JP004,N-Rare
キラー・トマト,DT11-JP005,nomal
放浪の勇者 フリード,DT11-JP006,nomal
守護天使 ジャンヌ,DT11-JP007,nomal
マンジュ・ゴッド,DT11-JP008,nomal
ネフティスの鳳凰神,DT11-JP009,Rare
ネフティスの導き手,DT11-JP010,nomal
水霊使いエリア,DT11-JP011,nomal
ものマネ幻想師,DT11-JP012,nomal
タイム・イーター,DT11-JP013,nomal
アルカナフォース０－ＴＨＥ ＦＯＯＬ,DT11-JP014,nomal
バトルフェーダー,DT11-JP015,nomal
ジェムナイト・クリスタ,DT11-JP016,Rare
ラヴァル炎火山の侍女,DT11-JP017,nomal
ラヴァル・キャノン,DT11-JP018,Rare
ヴァイロン・スフィア,DT11-JP019,Rare
ヴァイロン・テトラ,DT11-JP020,nomal
ヴァイロン・ステラ,DT11-JP021,nomal
ヴァイロン・プリズム,DT11-JP022,Rare
ヴァイロン・ハプト,DT11-JP023,Rare
リチュア・キラー,DT11-JP024,nomal
リチュア・ノエリア,DT11-JP025,Rare
ガスタ・スクイレル,DT11-JP026,Rare
ガスタの疾風 リーズ,DT11-JP027,nomal
インヴェルズ万能態,DT11-JP028,nomal
インヴェルズの歩哨,DT11-JP029,nomal
インヴェルズの先鋭,DT11-JP030,Rare
インヴェルズ・ホーン,DT11-JP031,Super
インヴェルズ・グレズ,DT11-JP032,Ultra
インヴェルズ・グレズ,DT11-JP032,Secret
イビリチュア・テトラオーグル,DT11-JP033,Ultra
イビリチュア・テトラオーグル,DT11-JP033,Secret
Ｅ・ＨＥＲＯ ガイア,DT11-JP034,N-Rare
ジェムナイト・マディラ,DT11-JP035,Super
ジェムナイト・プリズムオーラ,DT11-JP036,Super
ラヴァル・ステライド,DT11-JP037,Super
ヴァイロン・アルファ,DT11-JP038,Ultra
ヴァイロン・アルファ,DT11-JP038,Secret
ヴァイロン・オメガ,DT11-JP039,Ultra
ヴァイロン・オメガ,DT11-JP039,Secret
ダイガスタ・スフィアード,DT11-JP040,Super
未来融合－フューチャー・フュージョン,DT11-JP041,nomal
高等儀式術,DT11-JP042,nomal
ヴァイロン・コンポーネント,DT11-JP043,nomal
ヴァイロン・エレメント,DT11-JP044,nomal
リチュアに伝わりし禁断の秘術,DT11-JP045,nomal
光の護封壁,DT11-JP046,nomal
強烈なはたき落とし,DT11-JP047,nomal
輝石融合,DT11-JP048,nomal
侵略の波紋,DT11-JP049,nomal
侵略の手段,DT11-JP050,nomal
