name,card_id,rare
リチュア・アビス,DTC4-JP001,nomal
リチュア・ヴァニティ,DTC4-JP002,nomal
リチュア・マーカー,DTC4-JP003,Rare
リチュア・チェイン,DTC4-JP004,Super
リチュア・エリアル,DTC4-JP005,nomal
シャドウ・リチュア,DTC4-JP006,nomal
ガスタ・ガルド,DTC4-JP007,nomal
ガスタ・イグル,DTC4-JP008,nomal
ガスタ・サンボルト,DTC4-JP009,nomal
ガスタの巫女 ウィンダ,DTC4-JP010,nomal
ガスタの静寂 カーム,DTC4-JP011,Super
ガスタの賢者 ウィンダール,DTC4-JP012,Rare
インヴェルズの魔細胞,DTC4-JP013,nomal
インヴェルズの斥候,DTC4-JP014,Rare
インヴェルズの門番,DTC4-JP015,nomal
インヴェルズを呼ぶ者,DTC4-JP016,Rare
インヴェルズ・マディス,DTC4-JP017,nomal
インヴェルズ・モース,DTC4-JP018,Rare
インヴェルズ・ギラファ,DTC4-JP019,Ultra
インヴェルズ・ギラファ,DTC4-JP019,Secret
インヴェルズ・ガザス,DTC4-JP020,Ultra
インヴェルズ・ガザス,DTC4-JP020,Secret
イビリチュア・マインドオーガス,DTC4-JP021,Super
イビリチュア・ソウルオーガ,DTC4-JP022,Ultra
イビリチュア・ソウルオーガ,DTC4-JP022,Secret
ダイガスタ・ガルドス,DTC4-JP023,Super
ダイガスタ・イグルス,DTC4-JP024,Ultra
ダイガスタ・イグルス,DTC4-JP024,Secret
リチュアの儀水鏡,DTC4-JP025,nomal
ガスタの交信,DTC4-JP026,Rare
侵略の一手,DTC4-JP027,nomal
儀水鏡の瞑想術,DTC4-JP028,Rare
ガスタへの祈り,DTC4-JP029,nomal
侵略の波動,DTC4-JP030,Rare
ジェムナイト・クリスタ,DTC4-JP031,Rare
ラヴァル炎火山の侍女,DTC4-JP032,nomal
ラヴァル・キャノン,DTC4-JP033,Rare
ヴァイロン・スフィア,DTC4-JP034,Rare
ヴァイロン・テトラ,DTC4-JP035,nomal
ヴァイロン・ステラ,DTC4-JP036,nomal
ヴァイロン・プリズム,DTC4-JP037,Rare
ヴァイロン・ハプト,DTC4-JP038,Rare
リチュア・キラー,DTC4-JP039,nomal
リチュア・ノエリア,DTC4-JP040,Rare
ガスタ・スクイレル,DTC4-JP041,Rare
ガスタの疾風 リーズ,DTC4-JP042,nomal
インヴェルズ万能態,DTC4-JP043,nomal
インヴェルズの歩哨,DTC4-JP044,nomal
インヴェルズの先鋭,DTC4-JP045,Rare
インヴェルズ・ホーン,DTC4-JP046,Super
インヴェルズ・グレズ,DTC4-JP047,Ultra
インヴェルズ・グレズ,DTC4-JP047,Secret
イビリチュア・テトラオーグル,DTC4-JP048,Ultra
イビリチュア・テトラオーグル,DTC4-JP048,Secret
ジェムナイト・マディラ,DTC4-JP049,Super
ジェムナイト・プリズムオーラ,DTC4-JP050,Super
ラヴァル・ステライド,DTC4-JP051,Super
ヴァイロン・アルファ,DTC4-JP052,Ultra
ヴァイロン・アルファ,DTC4-JP052,Secret
ヴァイロン・オメガ,DTC4-JP053,Ultra
ヴァイロン・オメガ,DTC4-JP053,Secret
ダイガスタ・スフィアード,DTC4-JP054,Super
ヴァイロン・コンポーネント,DTC4-JP055,nomal
ヴァイロン・エレメント,DTC4-JP056,nomal
リチュアに伝わりし禁断の秘術,DTC4-JP057,nomal
輝石融合,DTC4-JP058,nomal
侵略の波紋,DTC4-JP059,nomal
侵略の手段,DTC4-JP060,nomal
