name,card_id,rare
氷結界の番人 ブリズド,DTC1-JP001,Super
ブリザード・ウォリアー,DTC1-JP002,nomal
氷結界の術者,DTC1-JP003,Rare
霞の谷の雷鳥,DTC1-JP004,nomal
霞の谷の祈祷師,DTC1-JP005,Super
霞の谷の戦士,DTC1-JP006,nomal
フレムベル・ドラグノフ,DTC1-JP007,nomal
フレムベル・マジカル,DTC1-JP008,nomal
ガード・オブ・フレムベル,DTC1-JP009,nomal
Ｘ－セイバー アクセル,DTC1-JP010,nomal
Ｘ－セイバー エアベルン,DTC1-JP011,Super
Ｘ－セイバー ウルズ,DTC1-JP012,nomal
総剣司令 ガトムズ,DTC1-JP013,Super
Ａ・Ｏ・Ｊ クラウソラス,DTC1-JP014,nomal
Ａ・Ｏ・Ｊ ガラドホルグ,DTC1-JP015,nomal
Ａ・Ｏ・Ｊ ルドラ,DTC1-JP016,nomal
ワーム・アポカリプス,DTC1-JP017,nomal
ワーム・バルサス,DTC1-JP018,nomal
ワーム・カルタロス,DTC1-JP019,nomal
ワーム・ディミクレス,DTC1-JP020,nomal
ワーム・イーロキン,DTC1-JP021,Super
氷結界の龍 ブリューナク,DTC1-JP022,Ultra
氷結界の龍 ブリューナク,DTC1-JP022,Secret
ミスト・ウォーム,DTC1-JP023,Ultra
ミスト・ウォーム,DTC1-JP023,Secret
フレムベル・ウルキサス,DTC1-JP024,Rare
Ｘ－セイバー ウルベルム,DTC1-JP025,Ultra
Ｘ－セイバー ウルベルム,DTC1-JP025,Secret
Ａ・Ｏ・Ｊ カタストル,DTC1-JP026,Rare
ジェネクス・コントローラー,DTC1-JP027,Rare
ジェネクス・ウンディーネ,DTC1-JP028,Super
ジェネクス・パワー・プランナー,DTC1-JP029,nomal
ジェネクス・サーチャー,DTC1-JP030,nomal
ジェネクス・ワーカー,DTC1-JP031,nomal
氷弾使いレイス,DTC1-JP032,nomal
氷結界のロイヤル・ナイト,DTC1-JP033,Super
氷結界に住む魔酔虫,DTC1-JP034,Rare
霞の谷の見張り番,DTC1-JP035,nomal
ミスト・コンドル,DTC1-JP036,Rare
霞の谷の風使い,DTC1-JP037,nomal
フレムベル・パウン,DTC1-JP038,Rare
フレムベル・アーチャー,DTC1-JP039,nomal
フレムベル・デビル,DTC1-JP040,Super
Ｘ－セイバー アナペレラ,DTC1-JP041,nomal
Ｘ－セイバー ガラハド,DTC1-JP042,Rare
Ｘ－セイバー パロムロ,DTC1-JP043,nomal
Ｘ－セイバー パシウル,DTC1-JP044,nomal
Ａ・ボム,DTC1-JP045,Rare
Ａ・Ｏ・Ｊ サウザンド・アームズ,DTC1-JP046,nomal
Ａ・Ｏ・Ｊ アンノウン・クラッシャー,DTC1-JP047,Rare
ワーム・ファルコ,DTC1-JP048,nomal
ワーム・グルス,DTC1-JP049,nomal
ワーム・ホープ,DTC1-JP050,nomal
ワーム・イリダン,DTC1-JP051,Super
ワーム・ジェートリクプス,DTC1-JP052,Rare
ワーム・キング,DTC1-JP053,Ultra
ワーム・キング,DTC1-JP053,Secret
ハイドロ・ジェネクス,DTC1-JP054,Ultra
ハイドロ・ジェネクス,DTC1-JP054,Secret
Ｘ－セイバー ウェイン,DTC1-JP055,Ultra
Ｘ－セイバー ウェイン,DTC1-JP055,Secret
Ａ・Ｏ・Ｊ ライト・ゲイザー,DTC1-JP056,Ultra
Ａ・Ｏ・Ｊ ライト・ゲイザー,DTC1-JP056,Secret
ナチュル・ビートル,DTC1-JP057,nomal
ナチュル・ロック,DTC1-JP058,nomal
ナチュル・ガーディアン,DTC1-JP059,Super
ナチュル・ナーブ,DTC1-JP060,nomal
ジェネクス・ヒート,DTC1-JP061,Rare
ジェネクス・ガイア,DTC1-JP062,nomal
スペア・ジェネクス,DTC1-JP063,nomal
タービン・ジェネクス,DTC1-JP064,Rare
ジェネクス・ドクター,DTC1-JP065,nomal
ソーラー・ジェネクス,DTC1-JP066,Super
氷結界の大僧正,DTC1-JP067,Super
氷結界の交霊師,DTC1-JP068,nomal
霞の谷の幼怪鳥,DTC1-JP069,nomal
霞の谷の執行者,DTC1-JP070,nomal
フレムベル・グルニカ,DTC1-JP071,Rare
フレムベル・ベビー,DTC1-JP072,nomal
Ａ・マインド,DTC1-JP073,nomal
Ａ・Ｏ・Ｊ ブラインド・サッカー,DTC1-JP074,nomal
Ａ・Ｏ・Ｊ リサーチャー,DTC1-JP075,Rare
Ａ・Ｏ・Ｊ エネミー・キャッチャー,DTC1-JP076,Rare
Ａ・Ｏ・Ｊ サンダー・アーマー,DTC1-JP077,Rare
Ａ・Ｏ・Ｊ コズミック・クローザー,DTC1-JP078,Super
ワーム・リンクス,DTC1-JP079,nomal
ワーム・ミリディス,DTC1-JP080,nomal
ワーム・ノーブル,DTC1-JP081,Rare
ナチュル・ビースト,DTC1-JP082,Ultra
ナチュル・ビースト,DTC1-JP082,Secret
氷結界の虎王 ドゥローレン,DTC1-JP083,Ultra
氷結界の虎王 ドゥローレン,DTC1-JP083,Secret
サーマル・ジェネクス,DTC1-JP084,Ultra
サーマル・ジェネクス,DTC1-JP084,Secret
ジオ・ジェネクス,DTC1-JP085,Super
Ａ・Ｏ・Ｊ フィールド・マーシャル,DTC1-JP086,Ultra
Ａ・Ｏ・Ｊ フィールド・マーシャル,DTC1-JP086,Secret
ジェムナイト・オブシディア,DTC1-JP087,Rare
ジェムナイト・アイオーラ,DTC1-JP088,nomal
ジェムナイト・アンバー,DTC1-JP089,nomal
ラヴァル炎湖畔の淑女,DTC1-JP090,nomal
ラヴァル・コアトル,DTC1-JP091,Rare
ラヴァル・ガンナー,DTC1-JP092,nomal
ヴァイロン・ペンタクロ,DTC1-JP093,nomal
ヴァイロン・テセラクト,DTC1-JP094,nomal
ヴァイロン・スティグマ,DTC1-JP095,Rare
ヴィジョン・リチュア,DTC1-JP096,nomal
リチュア・エミリア,DTC1-JP097,Rare
リチュア・シェルフィッシュ,DTC1-JP098,nomal
ガスタ・ファルコ,DTC1-JP099,nomal
ガスタの希望 カムイ,DTC1-JP100,nomal
ガスタの神官 ムスト,DTC1-JP101,Rare
イビリチュア・ガストクラーケ,DTC1-JP102,Super
ジェムナイト・アメジス,DTC1-JP103,Super
ラヴァルバル・ドラグーン,DTC1-JP104,Super
ダイガスタ・ファルコス,DTC1-JP105,Super
ジェムナイト・パール,DTC1-JP106,Super
