name,card_id,rare
ジェスター・ロード,DT07-JP001,nomal
サイバー・ダーク・ホーン,DT07-JP002,nomal
ブレイドナイト,DT07-JP003,Rare
異次元竜 トワイライトゾーンドラゴン,DT07-JP004,nomal
ペンギン・ナイトメア,DT07-JP005,nomal
荒野の女戦士,DT07-JP006,nomal
Ｅ・ＨＥＲＯ ネクロダークマン,DT07-JP007,Rare
リグラス・リーパー,DT07-JP008,nomal
ボタニカル・ライオ,DT07-JP009,N-Rare
青氷の白夜龍,DT07-JP010,Super
Ａ・ジェネクス・リモート,DT07-JP011,Rare
Ａ・ジェネクス・パワーコール,DT07-JP012,Super
Ａ・ジェネクス・チェンジャー,DT07-JP013,nomal
Ａ・ジェネクス・ボルキャノン,DT07-JP014,nomal
Ａ・ジェネクス・ソリッド,DT07-JP015,nomal
魔轟神獣チャワ,DT07-JP016,nomal
魔轟神獣キャシー,DT07-JP017,Rare
魔轟神獣ケルベラル,DT07-JP018,Super
魔轟神獣ガナシア,DT07-JP019,nomal
魔轟神獣ノズチ,DT07-JP020,nomal
ドラグニティ－ミリトゥム,DT07-JP021,Rare
ドラグニティ－プリムス・ピルス,DT07-JP022,Super
ドラグニティ－ブランディストック,DT07-JP023,nomal
ドラグニティ－ジャベリン,DT07-JP024,nomal
ジュラック・デイノ,DT07-JP025,nomal
ジュラック・ガリム,DT07-JP026,nomal
ジュラック・アウロ,DT07-JP027,nomal
ジュラック・ヘレラ,DT07-JP028,Rare
ナチュル・バタフライ,DT07-JP029,Rare
ナチュル・レディバグ,DT07-JP030,nomal
ナチュル・ストロベリー,DT07-JP031,nomal
氷結界の守護陣,DT07-JP032,Rare
氷結界の破術師,DT07-JP033,nomal
氷結界の神精霊,DT07-JP034,nomal
氷結界の虎将 ライホウ,DT07-JP035,Super
Ｅ・ＨＥＲＯ ダーク・ブライトマン,DT07-JP036,nomal
アルカナ ナイトジョーカー,DT07-JP037,Rare
Ａ・ジェネクス・トライアーム,DT07-JP038,Ultra
Ａ・ジェネクス・トライアーム,DT07-JP038,Secret
魔轟神獣ユニコール,DT07-JP039,Super
ドラグニティナイト－トライデント,DT07-JP040,Ultra
ドラグニティナイト－トライデント,DT07-JP040,Secret
ジュラック・メテオ,DT07-JP041,Ultra
ジュラック・メテオ,DT07-JP041,Secret
ナチュル・ランドオルス,DT07-JP042,Ultra
ナチュル・ランドオルス,DT07-JP042,Secret
融合,DT07-JP043,nomal
巨大化,DT07-JP044,nomal
リミッター解除,DT07-JP045,nomal
クリボーを呼ぶ笛,DT07-JP046,nomal
不協和音,DT07-JP047,nomal
王宮の弾圧,DT07-JP048,nomal
ゴッドバードアタック,DT07-JP049,Rare
天罰,DT07-JP050,nomal
