name,card_id,rare
ターボ・シンクロン,DT03-JP001,nomal
マッド・デーモン,DT03-JP002,nomal
Ｄ・モバホン,DT03-JP003,nomal
ガジェット・トレーラー,DT03-JP004,nomal
リボルバー・ドラゴン,DT03-JP005,Super
ドリルロイド,DT03-JP006,Rare
ナチュル・ビートル,DT03-JP007,nomal
ナチュル・ロック,DT03-JP008,nomal
ナチュル・ガーディアン,DT03-JP009,Super
ナチュル・ナーブ,DT03-JP010,nomal
ジェネクス・ヒート,DT03-JP011,Rare
ジェネクス・ガイア,DT03-JP012,nomal
スペア・ジェネクス,DT03-JP013,nomal
タービン・ジェネクス,DT03-JP014,Rare
ジェネクス・ドクター,DT03-JP015,nomal
ソーラー・ジェネクス,DT03-JP016,Super
氷結界の大僧正,DT03-JP017,Super
氷結界の交霊師,DT03-JP018,nomal
霞の谷の幼怪鳥,DT03-JP019,nomal
霞の谷の執行者,DT03-JP020,nomal
フレムベル・グルニカ,DT03-JP021,Rare
フレムベル・ベビー,DT03-JP022,nomal
Ａ・マインド,DT03-JP023,N-Rare
Ａ・Ｏ・Ｊ ブラインド・サッカー,DT03-JP024,nomal
Ａ・Ｏ・Ｊ リサーチャー,DT03-JP025,Rare
Ａ・Ｏ・Ｊ エネミー・キャッチャー,DT03-JP026,Rare
Ａ・Ｏ・Ｊ サンダー・アーマー,DT03-JP027,Rare
Ａ・Ｏ・Ｊ コズミック・クローザー,DT03-JP028,Super
ワーム・リンクス,DT03-JP029,nomal
ワーム・ミリディス,DT03-JP030,nomal
ワーム・ノーブル,DT03-JP031,Rare
ナチュル・ビースト,DT03-JP032,Ultra
ナチュル・ビースト,DT03-JP032,Secret
氷結界の虎王 ドゥローレン,DT03-JP033,Ultra
氷結界の虎王 ドゥローレン,DT03-JP033,Secret
サーマル・ジェネクス,DT03-JP034,Ultra
サーマル・ジェネクス,DT03-JP034,Secret
ジオ・ジェネクス,DT03-JP035,Super
Ａ・Ｏ・Ｊ フィールド・マーシャル,DT03-JP036,Ultra
Ａ・Ｏ・Ｊ フィールド・マーシャル,DT03-JP036,Secret
酸の嵐,DT03-JP037,nomal
７カード,DT03-JP038,nomal
死者への供物,DT03-JP039,nomal
エネミーコントローラー,DT03-JP040,Rare
アースクエイク,DT03-JP041,nomal
シールドクラッシュ,DT03-JP042,Rare
ディフォーム,DT03-JP043,nomal
ストレートフラッシュ,DT03-JP044,nomal
進入禁止！Ｎｏ Ｅｎｔｒｙ！！,DT03-JP045,nomal
メタル化・魔法反射装甲,DT03-JP046,nomal
聖なる輝き,DT03-JP047,nomal
ヒーロー見参,DT03-JP048,nomal
トラップ・ジャマー,DT03-JP049,nomal
マジックアーム・シールド,DT03-JP050,nomal
