name,card_id,rare
異次元エスパー・スター・ロビン,DT14-JP001,Rare
野獣戦士ピューマン,DT14-JP002,nomal
鳳王獣ガイルーダ,DT14-JP003,nomal
鉄巨人アイアンハンマー,DT14-JP004,nomal
異次元ジェット・アイアン号,DT14-JP005,Rare
アイアイアン,DT14-JP006,nomal
ブリキンギョ,DT14-JP007,nomal
ネジマキシキガミ,DT14-JP008,nomal
ライトロード・モンク エイリン,DT14-JP009,nomal
インフェルニティ・デーモン,DT14-JP010,Rare
ジェムタートル,DT14-JP011,nomal
リチュア・ビースト,DT14-JP012,nomal
ジェムナイト・ラズリー,DT14-JP013,nomal
リチュア・ナタリア,DT14-JP014,Rare
セイクリッド・シェアト,DT14-JP015,nomal
セイクリッド・ハワー,DT14-JP016,nomal
セイクリッド・レオニス,DT14-JP017,nomal
セイクリッド・アクベス,DT14-JP018,nomal
セイクリッド・カウスト,DT14-JP019,Rare
セイクリッド・レスカ,DT14-JP020,nomal
セイクリッド・アンタレス,DT14-JP021,Rare
ヴェルズ・カストル,DT14-JP022,Rare
ヴェルズ・オ・ウィスプ,DT14-JP023,nomal
ヴェルズ・アザトホース,DT14-JP024,nomal
ヴェルズ・サンダーバード,DT14-JP025,nomal
ヴェルズ・サラマンドラ,DT14-JP026,nomal
ヴェルズ・ゴーレム,DT14-JP027,Rare
ヴェルズ・コッペリアル,DT14-JP028,Rare
創星神 ｓｏｐｈｉａ,DT14-JP029,Ultra
創星神 ｓｏｐｈｉａ,DT14-JP029,Secret
イビリチュア・プシュケローネ,DT14-JP030,Super
イビリチュア・ジールギガス,DT14-JP031,Super
ジェムナイト・セラフィ,DT14-JP032,Rare
ジェムナイトマスター・ダイヤ,DT14-JP033,Ultra
ジェムナイトマスター・ダイヤ,DT14-JP033,Secret
潜航母艦エアロ・シャーク,DT14-JP034,nomal
Ｎｏ.８３ ギャラクシー・クィーン,DT14-JP035,nomal
Ｎｏ.１０ 白輝士イルミネーター,DT14-JP036,nomal
ブリキの大公,DT14-JP037,Super
セイクリッド・ビーハイブ,DT14-JP038,Super
セイクリッド・トレミスＭ７,DT14-JP039,Ultra
セイクリッド・トレミスＭ７,DT14-JP039,Secret
ヴェルズ・タナトス,DT14-JP040,Super
ヴェルズ・オピオン,DT14-JP041,Super
ヴェルズ・ウロボロス,DT14-JP042,Ultra
ヴェルズ・ウロボロス,DT14-JP042,Secret
アイアンコール,DT14-JP043,nomal
真炎の爆発,DT14-JP044,nomal
セイクリッドの超新生,DT14-JP045,nomal
侵略の汎発感染,DT14-JP046,nomal
閃光を吸い込むマジック・ミラー,DT14-JP047,nomal
暗闇を吸い込むマジック・ミラー,DT14-JP048,nomal
セイクリッドの流星,DT14-JP049,nomal
侵略の侵喰崩壊,DT14-JP050,nomal
