name,card_id,rare
モンタージュ・ドラゴン,DT04-JP001,Rare
Ｄ・ラジカッセン,DT04-JP002,nomal
ハイパー・シンクロン,DT04-JP003,nomal
夜薔薇の騎士,DT04-JP004,nomal
漆黒の豹戦士パンサーウォリアー,DT04-JP005,nomal
ダーク・ネクロフィア,DT04-JP006,Rare
カードガンナー,DT04-JP007,Super
ヘル・ドラゴン,DT04-JP008,nomal
究極恐獣,DT04-JP009,Rare
ゴブリンゾンビ,DT04-JP010,nomal
魔轟神ルリー,DT04-JP011,nomal
魔轟神グリムロ,DT04-JP012,Super
魔轟神ガルバス,DT04-JP013,Rare
魔轟神クシャノ,DT04-JP014,nomal
ジュラック・プロトプス,DT04-JP015,nomal
ジュラック・ヴェロー,DT04-JP016,Rare
ジュラック・モノロフ,DT04-JP017,nomal
ジュラック・ティラヌス,DT04-JP018,Super
ナチュル・アントジョー,DT04-JP019,nomal
ナチュル・スパイダーファング,DT04-JP020,nomal
ナチュル・ローズウィップ,DT04-JP021,Rare
ナチュル・コスモスビート,DT04-JP022,nomal
ジェネクス・ブラスト,DT04-JP023,nomal
リサイクル・ジェネクス,DT04-JP024,N-Rare
アーミー・ジェネクス,DT04-JP025,Super
氷結界の修験者,DT04-JP026,nomal
氷結界の風水師,DT04-JP027,nomal
霞の谷のファルコン,DT04-JP028,nomal
霞の谷の巨神鳥,DT04-JP029,Rare
Ａ・Ｏ・Ｊ リバース・ブレイク,DT04-JP030,Rare
Ａ・Ｏ・Ｊ アンリミッター,DT04-JP031,nomal
ワーム・オペラ,DT04-JP032,Rare
ワーム・プリンス,DT04-JP033,nomal
ワーム・クィーン,DT04-JP034,Super
ワーム・ルクイエ,DT04-JP035,nomal
魔轟神ヴァルキュルス,DT04-JP036,Ultra
魔轟神ヴァルキュルス,DT04-JP036,Secret
ジュラック・ギガノト,DT04-JP037,Ultra
ジュラック・ギガノト,DT04-JP037,Secret
ナチュル・ガオドレイク,DT04-JP038,Super
ウィンドファーム・ジェネクス,DT04-JP039,Ultra
ウィンドファーム・ジェネクス,DT04-JP039,Secret
霞の谷の雷神鬼,DT04-JP040,Ultra
霞の谷の雷神鬼,DT04-JP040,Secret
薔薇の刻印,DT04-JP041,Rare
デーモンの斧,DT04-JP042,nomal
ハンマーシュート,DT04-JP043,nomal
打ち出の小槌,DT04-JP044,nomal
死のマジック・ボックス,DT04-JP045,nomal
大進化薬,DT04-JP046,nomal
プライドの咆哮,DT04-JP047,nomal
アイヴィ・シャックル,DT04-JP048,nomal
カウンターパンチ,DT04-JP049,nomal
落とし穴,DT04-JP050,nomal
