name,card_id,rare
Ｅ・ＨＥＲＯ ネオス,DE01-JP001,Super
セイバーザウルス,DE01-JP002,nomal
Ｎ・アクア・ドルフィン,DE01-JP003,nomal
Ｎ・フレア・スカラベ,DE01-JP004,nomal
Ｎ・ブラック・パンサー,DE01-JP005,nomal
星見鳥ラリス,DE01-JP006,nomal
サブマリンロイド,DE01-JP007,nomal
Ｄ－ＨＥＲＯ ダブルガイ,DE01-JP008,nomal
Ｄ－ＨＥＲＯ ディフェンドガイ,DE01-JP009,nomal
Ｄ－ＨＥＲＯ ドグマガイ,DE01-JP010,Ultra
Ｄ－ＨＥＲＯ ダガーガイ,DE01-JP011,nomal
Ｄ－ＨＥＲＯ ドゥームガイ,DE01-JP012,nomal
Ｄ－ＨＥＲＯ ダッシュガイ,DE01-JP013,nomal
暗黒ステゴ,DE01-JP014,nomal
究極恐獣,DE01-JP015,Rare
奇跡のジュラシック・エッグ,DE01-JP016,nomal
ベビケラサウルス,DE01-JP017,nomal
エーリアン・グレイ,DE01-JP018,nomal
エーリアン・スカル,DE01-JP019,nomal
エーリアン・ハンター,DE01-JP020,nomal
エーリアン・ウォリアー,DE01-JP021,nomal
エーリアン・マザー,DE01-JP022,Rare
Ｅ・ＨＥＲＯ アクア・ネオス,DE01-JP023,Rare
Ｅ・ＨＥＲＯ フレア・ネオス,DE01-JP024,Rare
Ｅ・ＨＥＲＯ ブラック・ネオス,DE01-JP025,Rare
キメラテック・オーバー・ドラゴン,DE01-JP026,Ultra
スーパービークロイド－ジャンボドリル,DE01-JP027,Rare
フェイク・ヒーロー,DE01-JP028,nomal
ビークロイド・コネクション・ゾーン,DE01-JP029,nomal
Ｄ－スピリッツ,DE01-JP030,nomal
オーバーロード・フュージョン,DE01-JP031,Super
旋風剣,DE01-JP032,nomal
未来融合－フューチャー・フュージョン,DE01-JP033,Ultra
ネオスペース,DE01-JP034,nomal
死皇帝の陵墓,DE01-JP035,Super
Ｄ－チェーン,DE01-JP036,nomal
ミステリーサークル,DE01-JP037,nomal
運命の分かれ道,DE01-JP038,nomal
王宮の重税,DE01-JP039,nomal
サイバー・サモン・ブラスター,DE01-JP040,nomal
化石発掘,DE01-JP041,nomal
人造天使,DE01-JP042,nomal
洗脳光線,DE01-JP043,nomal
サイバー・ダーク・ホーン,DE01-JP044,nomal
サイバー・ダーク・エッジ,DE01-JP045,nomal
サイバー・ダーク・キール,DE01-JP046,nomal
スナイプストーカー,DE01-JP047,Super
虚無魔人,DE01-JP048,nomal
深淵の結界像,DE01-JP049,nomal
豪雨の結界像,DE01-JP050,nomal
業火の結界像,DE01-JP051,nomal
烈風の結界像,DE01-JP052,nomal
干ばつの結界像,DE01-JP053,nomal
閃光の結界像,DE01-JP054,nomal
虚無の統括者,DE01-JP055,nomal
ライトニングパニッシャー,DE01-JP056,nomal
突撃ライノス,DE01-JP057,nomal
エーリアン・マーズ,DE01-JP058,nomal
鎧黒竜－サイバー・ダーク・ドラゴン,DE01-JP059,Rare
侵食細胞「Ａ」,DE01-JP060,nomal
限定解除,DE01-JP061,nomal
簡易融合,DE01-JP062,Super
連鎖爆撃,DE01-JP063,Super
奇跡の蘇生,DE01-JP064,nomal
レベルダウン！？,DE01-JP065,nomal
縮退回路,DE01-JP066,nomal
爆導索,DE01-JP067,nomal
ストレートフラッシュ,DE01-JP068,nomal
ジャスティブレイク,DE01-JP069,nomal
チェーン・ブラスト,DE01-JP070,nomal
トロイボム,DE01-JP071,nomal
積み上げる幸福,DE01-JP072,nomal
サイバー・シャドー・ガードナー,DE01-JP073,nomal
虚無を呼ぶ呪文,DE01-JP074,nomal
昇天の黒角笛,DE01-JP075,nomal
ジェネティック・ワーウルフ,DE01-JP076,Rare
フロストザウルス,DE01-JP077,Rare
スパイラルドラゴン,DE01-JP078,nomal
Ｎ・エア・ハミングバード,DE01-JP079,nomal
Ｎ・グラン・モール,DE01-JP080,Super
六武衆－ヤイチ,DE01-JP081,nomal
六武衆－カモン,DE01-JP082,nomal
六武衆－ヤリザ,DE01-JP083,nomal
六武衆－ニサシ,DE01-JP084,nomal
六武衆－ザンジ,DE01-JP085,nomal
六武衆－イロウ,DE01-JP086,nomal
大将軍 紫炎,DE01-JP087,Rare
紫炎の足軽,DE01-JP088,nomal
暗黒界の魔神 レイン,DE01-JP089,Rare
暗黒界の刺客 カーキ,DE01-JP090,nomal
暗黒界の策士 グリン,DE01-JP091,nomal
エレクトリック・ワーム,DE01-JP092,Rare
パペット・プラント,DE01-JP093,Rare
傀儡虫,DE01-JP094,Rare
Ｄ.Ｄ.クロウ,DE01-JP095,Ultra
Ｅ・ＨＥＲＯ グラン・ネオス,DE01-JP096,Rare
古のルール,DE01-JP097,Rare
暗黒界の取引,DE01-JP098,nomal
