name,card_id,rare
冥界の魔王 ハ・デス,DL5-001,Ultra
冥界の魔王 ハ・デス,DL5-001,Parallel
魔人 ダーク・バルター,DL5-002,Rare
レッサー・デーモン,DL5-003,nomal
憑依するブラッド・ソウル,DL5-004,nomal
ハ・デスの使い魔,DL5-005,nomal
スカル・ナイト,DL5-006,nomal
ツインヘッド・ケルベロス,DL5-007,nomal
レッド・サイクロプス,DL5-008,nomal
冥王の咆哮,DL5-009,nomal
死の演算盤,DL5-010,nomal
生命吸収装置,DL5-011,nomal
冥界流傀儡術,DL5-012,nomal
魂粉砕,DL5-013,nomal
ダブルトラップ,DL5-014,nomal
無敗将軍 フリード,DL5-015,Super
投石部隊,DL5-016,nomal
切り込み隊長,DL5-017,Rare
ドラゴン・ウォリアー,DL5-018,Rare
戦士ダイ・グレファー,DL5-019,nomal
聖なる守り手,DL5-020,nomal
辺境の大賢者,DL5-021,nomal
ならず者傭兵部隊,DL5-022,Rare
デーモン・テイマー,DL5-023,nomal
ドラゴン・ライダー,DL5-024,nomal
連合軍,DL5-025,nomal
増援,DL5-026,Rare
光の護封陣,DL5-027,nomal
戦士の生還,DL5-028,nomal
迎撃準備,DL5-029,nomal
陽動作戦,DL5-030,nomal
非常食,DL5-031,Rare
タイラント・ドラゴン,DL5-032,Super
スピア・ドラゴン,DL5-033,Rare
スピリット・ドラゴン,DL5-034,nomal
デス・デーモン・ドラゴン,DL5-035,Rare
グランド・ドラゴン,DL5-036,nomal
グレイ・ウイング,DL5-037,nomal
軍隊竜,DL5-038,nomal
ドラゴンの宝珠,DL5-039,nomal
巨竜の羽ばたき,DL5-040,nomal
火竜の火炎弾,DL5-041,nomal
スタンピング・クラッシュ,DL5-042,nomal
超再生能力,DL5-043,nomal
竜の逆鱗,DL5-044,nomal
バーストブレス,DL5-045,nomal
エメラルド・ドラゴン,DL5-046,Rare
ファイバーポッド,DL5-047,Rare
ナーガ,DL5-048,nomal
ノーブル・ド・ノワール,DL5-049,nomal
雷電娘々,DL5-050,Rare
オプション,DL5-051,nomal
お注射天使リリー,DL5-052,N-Rare
リーフ・フェアリー,DL5-053,nomal
天空騎士パーシアス,DL5-054,Super
ドル・ドラ,DL5-055,nomal
磨破羅魏,DL5-056,nomal
因幡之白兎,DL5-057,nomal
八汰烏,DL5-058,N-Rare
雷帝神,DL5-059,Super
八俣大蛇,DL5-060,Super
偉大天狗,DL5-061,nomal
竜宮之姫,DL5-062,nomal
火之迦具土,DL5-063,Ultra
火之迦具土,DL5-063,Parallel
阿修羅,DL5-064,Rare
不死之炎鳥,DL5-065,nomal
封神鏡,DL5-066,nomal
エレメントの泉,DL5-067,nomal
明鏡止水の心,DL5-068,nomal
伝説の都 アトランティス,DL5-069,nomal
融合武器ムラサメブレード,DL5-070,Rare
盗人の煙玉,DL5-071,nomal
強制転移,DL5-072,Rare
霊子エネルギー固定装置,DL5-073,nomal
セカンド・チャンス,DL5-074,nomal
天変地異,DL5-075,nomal
盗賊の極意,DL5-076,nomal
ジェノサイド・ウォー,DL5-077,nomal
マジック・ガードナー,DL5-078,Rare
鎖付き爆弾,DL5-079,Rare
ロスト,DL5-080,nomal
バブル・クラッシュ,DL5-081,nomal
王宮の弾圧,DL5-082,Rare
奈落の落とし穴,DL5-083,nomal
シモッチによる副作用,DL5-084,nomal
不吉な占い,DL5-085,nomal
スピリットの誘い,DL5-086,nomal
体力増強剤スーパーＺ,DL5-087,nomal
はたき落とし,DL5-088,nomal
デビル・コメディアン,DL5-089,nomal
ラストバトル！,DL5-090,Rare
王虎ワンフー,DL5-091,Rare
バード・フェイス,DL5-092,nomal
クルーエル,DL5-093,nomal
アーマード・フライ,DL5-094,nomal
海神の巫女,DL5-095,nomal
Ｘ・Ｅ・Ｎ・Ｏ,DL5-096,nomal
グラッジ,DL5-097,nomal
異形の従者,DL5-098,nomal
モイスチャー星人,DL5-099,Rare
ゴラ・タートル,DL5-100,nomal
一刀両断侍,DL5-101,Rare
砂塵の悪霊,DL5-102,nomal
王族親衛隊,DL5-103,nomal
さまようミイラ,DL5-104,nomal
大神官デ・ザード,DL5-105,Super
スカラベの大群,DL5-106,nomal
イナゴの軍勢,DL5-107,nomal
ジャイアントマミー,DL5-108,nomal
八つ手サソリ,DL5-109,nomal
守護者スフィンクス,DL5-110,Ultra
守護者スフィンクス,DL5-110,Parallel
ピラミッド・タートル,DL5-111,Rare
ダイス・ポット,DL5-112,nomal
黒蠍盗掘団,DL5-113,nomal
首領・ザルーグ,DL5-114,Super
不死王リッチー,DL5-115,Ultra
不死王リッチー,DL5-115,Parallel
半蛇人サクズィー,DL5-116,nomal
生者の書－禁断の呪術－,DL5-117,Super
太陽の書,DL5-118,nomal
月の書,DL5-119,nomal
悪夢の蜃気楼,DL5-120,nomal
財宝への隠し通路,DL5-121,nomal
ミイラの呼び声,DL5-122,nomal
おくびょうかぜ,DL5-123,nomal
ピラミッドパワー,DL5-124,nomal
ツタン仮面,DL5-125,nomal
旅人の試練,DL5-126,Rare
底なし流砂,DL5-127,nomal
王家の呪い,DL5-128,nomal
つり天井,DL5-129,nomal
黄金の邪神像,DL5-130,Rare
呪われた棺,DL5-131,nomal
ニードル・ウォール,DL5-132,nomal
ダスト・シュート,DL5-133,nomal
無謀な欲張り,DL5-134,nomal
王家の財宝,DL5-135,Rare
究極完全態・グレート・モス,DL5-136,Ultimate
