name,card_id,rare
アースクエイク・ジャイアント,DREV-JP001,nomal
エフェクト・ヴェーラー,DREV-JP002,Super
ダッシュ・ウォリアー,DREV-JP003,nomal
ダメージ・イーター,DREV-JP004,nomal
ＡＤチェンジャー,DREV-JP005,nomal
牙城のガーディアン,DREV-JP006,nomal
おとぼけオポッサム,DREV-JP007,nomal
虚栄の大猿,DREV-JP008,Rare
一角獣の使い魔,DREV-JP009,nomal
モノケロース,DREV-JP010,Rare
異次元の一角戦士,DREV-JP011,Rare
ユニバード,DREV-JP012,nomal
二角獣レーム,DREV-JP013,nomal
マイン・モール,DREV-JP014,nomal
トライデント・ウォリアー,DREV-JP015,Super
デルタフライ,DREV-JP016,Rare
ライノタウルス,DREV-JP017,nomal
幻角獣フュプノコーン,DREV-JP018,Rare
スクラップ・キマイラ,DREV-JP019,Super
スクラップ・ゴブリン,DREV-JP020,nomal
スクラップ・ビースト,DREV-JP021,Rare
スクラップ・ハンター,DREV-JP022,nomal
スクラップ・ゴーレム,DREV-JP023,Rare
エレキンギョ,DREV-JP024,nomal
エレキツネザル,DREV-JP025,nomal
エレキジ,DREV-JP026,nomal
ナチュル・モスキート,DREV-JP027,nomal
ナチュル・ビーンズ,DREV-JP028,nomal
ナチュル・バンブーシュート,DREV-JP029,Super
アマゾネスの賢者,DREV-JP030,nomal
アマゾネス訓練生,DREV-JP031,nomal
アマゾネス女王,DREV-JP032,Super
ロックキャット,DREV-JP033,nomal
エレファン,DREV-JP034,nomal
シンクロ・フュージョニスト,DREV-JP035,Rare
野望のゴーファー,DREV-JP036,Rare
ファイナルサイコオーガ,DREV-JP037,N-Rare
波動竜騎士 ドラゴエクィテス,DREV-JP038,Ultra
波動竜騎士 ドラゴエクィテス,DREV-JP038,Ultimate
波動竜騎士 ドラゴエクィテス,DREV-JP038,Holographic
アルティメットサイキッカー,DREV-JP039,Super
サンダー・ユニコーン,DREV-JP040,Super
ボルテック・バイコーン,DREV-JP041,Ultra
ボルテック・バイコーン,DREV-JP041,Ultimate
ライトニング・トライコーン,DREV-JP042,Ultra
ライトニング・トライコーン,DREV-JP042,Ultimate
スクラップ・ドラゴン,DREV-JP043,Ultra
スクラップ・ドラゴン,DREV-JP043,Ultimate
エレキマイラ,DREV-JP044,Ultra
エレキマイラ,DREV-JP044,Ultimate
死角からの一撃,DREV-JP045,nomal
ダブル・サイクロン,DREV-JP046,nomal
スクラップ・エリア,DREV-JP047,nomal
スクラップ・スコール,DREV-JP048,Rare
スクラップ・ポリッシュ,DREV-JP049,nomal
エレキュア,DREV-JP050,nomal
ナチュルの森,DREV-JP051,nomal
ランドオルスのヒカリゴケ,DREV-JP052,Rare
アマゾネスの里,DREV-JP053,Rare
アマゾネスの闘志,DREV-JP054,nomal
ユニコーンの導き,DREV-JP055,nomal
ビーストレイジ,DREV-JP056,nomal
ミラクルシンクロフュージョン,DREV-JP057,nomal
疫病,DREV-JP058,nomal
災いの装備品,DREV-JP059,N-Rare
賢者の聖杯,DREV-JP060,Rare
召喚の呪詛,DREV-JP061,N-Rare
強欲で謙虚な壺,DREV-JP062,Super
死力のタッグ・チェンジ,DREV-JP063,nomal
闘争本能,DREV-JP064,nomal
野生の咆哮,DREV-JP065,nomal
パラレル・セレクト,DREV-JP066,Rare
波動再生,DREV-JP067,Rare
波動障壁,DREV-JP068,nomal
連鎖旋風,DREV-JP069,nomal
スクラップ・カウンター,DREV-JP070,nomal
エレキャノン,DREV-JP071,nomal
アマゾネスの意地,DREV-JP072,Rare
女王の選択,DREV-JP073,nomal
ビーストライザー,DREV-JP074,nomal
幻獣の角,DREV-JP075,Rare
パラドックス・フュージョン,DREV-JP076,nomal
神の警告,DREV-JP077,nomal
反魔鏡,DREV-JP078,Rare
威風堂々,DREV-JP079,Super
ライト・オブ・デストラクション,DREV-JP080,N-Rare
