name,card_id,rare
暗黒界の騎士 ズール,EEN-JP001,nomal
Ｖ－タイガー・ジェット,EEN-JP002,nomal
ブレード・スケーター,EEN-JP003,nomal
クィーンズ・ナイト,EEN-JP004,Rare
ジャックス・ナイト,EEN-JP005,Rare
キングス・ナイト,EEN-JP006,Rare
Ｅ・ＨＥＲＯ エッジマン,EEN-JP007,Super
Ｅ・ＨＥＲＯ エッジマン,EEN-JP007,Ultimate
Ｅ・ＨＥＲＯ ワイルドマン,EEN-JP008,nomal
リボーン・ゾンビ,EEN-JP009,nomal
地獄戦士,EEN-JP010,Rare
Ｗ－ウィング・カタパルト,EEN-JP011,nomal
炎獄魔人ヘル・バーナー,EEN-JP012,nomal
ハイドロゲドン,EEN-JP013,nomal
オキシゲドン,EEN-JP014,nomal
ウォーター・ドラゴン,EEN-JP015,Super
ウォーター・ドラゴン,EEN-JP015,Ultimate
エトワール・サイバー,EEN-JP016,nomal
巨大戦艦 テトラン,EEN-JP017,Super
巨大戦艦 テトラン,EEN-JP017,Ultimate
ナノブレイカー,EEN-JP018,nomal
連弾の魔術師,EEN-JP019,Rare
暗黒界の尖兵 ベージ,EEN-JP020,nomal
暗黒界の狩人 ブラウ,EEN-JP021,Rare
暗黒界の狂王 ブロン,EEN-JP022,Rare
暗黒界の軍神 シルバ,EEN-JP023,Rare
暗黒界の武神 ゴルド,EEN-JP024,Super
暗黒界の武神 ゴルド,EEN-JP024,Ultimate
暗黒界の斥候 スカー,EEN-JP025,nomal
憑依装着－アウス,EEN-JP026,nomal
憑依装着－エリア,EEN-JP027,nomal
憑依装着－ヒータ,EEN-JP028,nomal
憑依装着－ウィン,EEN-JP029,nomal
ＶＷ－タイガー・カタパルト,EEN-JP030,nomal
ＶＷＸＹＺ－ドラゴン・カタパルトキャノン,EEN-JP031,Super
ＶＷＸＹＺ－ドラゴン・カタパルトキャノン,EEN-JP031,Ultimate
サイバー・ブレイダー,EEN-JP032,Super
サイバー・ブレイダー,EEN-JP032,Ultimate
Ｅ・ＨＥＲＯ ランパートガンナー,EEN-JP033,Ultra
Ｅ・ＨＥＲＯ ランパートガンナー,EEN-JP033,Ultimate
Ｅ・ＨＥＲＯ テンペスター,EEN-JP034,Ultra
Ｅ・ＨＥＲＯ テンペスター,EEN-JP034,Ultimate
Ｅ・ＨＥＲＯ ワイルドジャギーマン,EEN-JP035,Ultra
Ｅ・ＨＥＲＯ ワイルドジャギーマン,EEN-JP035,Ultimate
Ｅ・ＨＥＲＯ シャイニング・フレア・ウィングマン,EEN-JP036,Ultra
Ｅ・ＨＥＲＯ シャイニング・フレア・ウィングマン,EEN-JP036,Ultimate
貪欲な壺,EEN-JP037,Super
貪欲な壺,EEN-JP037,Ultimate
暗黒界の雷,EEN-JP038,nomal
レベル調整,EEN-JP039,nomal
おジャマジック,EEN-JP040,nomal
おジャマッスル,EEN-JP041,nomal
フェザー・ショット,EEN-JP042,Rare
ボンディング－Ｈ２Ｏ,EEN-JP043,nomal
ヘル・アライアンス,EEN-JP044,Rare
アームド・チェンジャー,EEN-JP045,Rare
ブランチ,EEN-JP046,nomal
ボスラッシュ,EEN-JP047,nomal
暗黒界に続く結界通路,EEN-JP048,nomal
ヒーローバリア,EEN-JP049,Rare
ヘル・ブラスト,EEN-JP050,Rare
暗黒よりの軍勢,EEN-JP051,nomal
闇の取引,EEN-JP052,nomal
二者一両損,EEN-JP053,nomal
ふるい落とし,EEN-JP054,nomal
同姓同名同盟,EEN-JP055,nomal
ゲットライド！,EEN-JP056,nomal
ヘル・ポリマー,EEN-JP057,nomal
フェザー・ウィンド,EEN-JP058,nomal
融合禁止エリア,EEN-JP059,nomal
レベル制限Ａ地区,EEN-JP060,Rare
