name,card_id,rare
Ｄ－ＨＥＲＯ デビルガイ,EOJ-JP001,nomal
Ｄ－ＨＥＲＯ ダイハードガイ,EOJ-JP002,nomal
Ｄ－ＨＥＲＯ ダイヤモンドガイ,EOJ-JP003,Rare
Ｄ－ＨＥＲＯ ドレッドガイ,EOJ-JP004,Ultra
Ｄ－ＨＥＲＯ ドレッドガイ,EOJ-JP004,Ultimate
サイバー・チュチュ,EOJ-JP005,nomal
サイバー・ジムナティクス,EOJ-JP006,nomal
サイバー・プリマ,EOJ-JP007,Super
サイバー・プリマ,EOJ-JP007,Ultimate
サイバー・ジラフ,EOJ-JP008,nomal
サイバー・フェニックス,EOJ-JP009,Super
サイバー・フェニックス,EOJ-JP009,Ultimate
サーチライトメン,EOJ-JP010,nomal
ビクトリー・バイパー ＸＸ０３,EOJ-JP011,Super
ビクトリー・バイパー ＸＸ０３,EOJ-JP011,Ultimate
疾風鳥人ジョー,EOJ-JP012,nomal
ハーピィズペット仔竜,EOJ-JP013,Rare
光神機－閃空,EOJ-JP014,nomal
光神機－桜火,EOJ-JP015,Rare
光神機－轟龍,EOJ-JP016,Super
光神機－轟龍,EOJ-JP016,Ultimate
ロイヤルナイツ,EOJ-JP017,nomal
緑光の宣告者,EOJ-JP018,Rare
紫光の宣告者,EOJ-JP019,Rare
豊穣のアルテミス,EOJ-JP020,nomal
救済のレイヤード,EOJ-JP021,nomal
閃光の追放者,EOJ-JP022,Rare
裁きを下す者－ボルテニス,EOJ-JP023,Ultra
裁きを下す者－ボルテニス,EOJ-JP023,Ultimate
ガード・ドッグ,EOJ-JP024,nomal
真空イタチ,EOJ-JP025,nomal
荒ぶるアウス,EOJ-JP026,nomal
逆巻くエリア,EOJ-JP027,nomal
燃え盛るヒータ,EOJ-JP028,nomal
吹き荒れるウィン,EOJ-JP029,nomal
電池メン－単一型,EOJ-JP030,nomal
超電磁稼動ボルテック・ドラゴン,EOJ-JP031,Super
超電磁稼動ボルテック・ドラゴン,EOJ-JP031,Ultimate
Ｅ・ＨＥＲＯ フェニックスガイ,EOJ-JP032,Ultra
Ｅ・ＨＥＲＯ フェニックスガイ,EOJ-JP032,Ultimate
Ｅ・ＨＥＲＯ シャイニング・フェニックスガイ,EOJ-JP033,Ultra
Ｅ・ＨＥＲＯ シャイニング・フェニックスガイ,EOJ-JP033,Ultimate
Ｅ・ＨＥＲＯ セイラーマン,EOJ-JP034,nomal
Ｅ・ＨＥＲＯ ワイルド・ウィングマン,EOJ-JP035,Super
Ｅ・ＨＥＲＯ ワイルド・ウィングマン,EOJ-JP035,Ultimate
Ｅ・ＨＥＲＯ ネクロイド・シャーマン,EOJ-JP036,nomal
ミスフォーチュン,EOJ-JP037,nomal
Ｈ－ヒートハート,EOJ-JP038,nomal
Ｅ－エマージェンシーコール,EOJ-JP039,nomal
Ｒ－ライトジャスティス,EOJ-JP040,nomal
Ｏ－オーバーソウル,EOJ-JP041,nomal
ヒーローフラッシュ！！,EOJ-JP042,Rare
パワーカプセル,EOJ-JP043,nomal
光神化,EOJ-JP044,nomal
ガードペナルティ,EOJ-JP045,Rare
グランドクロス,EOJ-JP046,nomal
次元の裂け目,EOJ-JP047,nomal
幽獄の時計塔,EOJ-JP048,Super
幽獄の時計塔,EOJ-JP048,Ultimate
ライフチェンジャー,EOJ-JP049,Rare
エレメンタル・チャージ,EOJ-JP050,nomal
デステニー・デストロイ,EOJ-JP051,Rare
デステニー・シグナル,EOJ-JP052,nomal
Ｄ－タイム,EOJ-JP053,Rare
Ｄ－シールド,EOJ-JP054,nomal
ゴッドバードアタック,EOJ-JP055,nomal
エレメンタル・アブソーバー,EOJ-JP056,Rare
マクロコスモス,EOJ-JP057,nomal
奇跡の光臨,EOJ-JP058,Rare
罅割れゆく斧,EOJ-JP059,nomal
キックバック,EOJ-JP060,Rare
