name,card_id,rare
ホーリー・エルフ,EX-01,Normal
グレムリン,EX-02,Normal
砦を守る翼竜,EX-03,Super
デーモンの召喚,EX-04,Normal
ルイーズ,EX-05,Normal
ブラック・マジシャン,EX-06,Ultra
暗黒騎士ガイア,EX-07,Normal
カース・オブ・ドラゴン,EX-08,Normal
エルフの剣士,EX-09,Normal
マンモスの墓場,EX-10,Normal
グレート・ホワイト,EX-11,Normal
シルバー・フォング,EX-12,Normal
岩石の巨兵,EX-13,Normal
ドラゴン・ゾンビ,EX-14,Normal
死の沈黙の天使 ドマ,EX-15,Normal
アサシン,EX-16,Normal
魔人デスサタン,EX-17,Normal
キラー・ザ・クロー,EX-18,Normal
バーサーカー,EX-19,Normal
闇の破神剣,EX-20,Normal
秘術の書,EX-21,Normal
ブラック・ホール,EX-22,Normal
治療の神 ディアン・ケト,EX-23,Normal
エンシェント・エルフ,EX-24,Normal
マジカル・ゴースト,EX-25,Normal
地割れ,EX-26,Normal
落とし穴,EX-27,Normal
はさみ撃ち,EX-28,Normal
魔法除去,EX-29,Normal
死者蘇生,EX-30,Normal
援軍,EX-31,Normal
心変わり,EX-32,Normal
厳格な老魔術師,EX-33,Normal
幻影の壁,EX-34,Normal
魔法剣士ネオ,EX-35,Normal
邪剣男爵,EX-36,Normal
人喰い宝石箱,EX-37,Normal
デス・ソーサラー,EX-38,Normal
遺言状,EX-39,Normal
和睦の使者,EX-40,Normal
トラップ・マスター,EX-41,Normal
ドラゴン族・封印の壺,EX-42,Normal
闇,EX-43,Normal
人喰い虫,EX-44,Normal
あまのじゃくの呪い,EX-45,Normal
罠はずし,EX-46,Normal
城壁,EX-47,Normal
血の代償,EX-48,Normal
青眼の白龍,EX-49,Ultra
サイクロプス,EX-50,Normal
ガーゴイル,EX-51,Normal
邪悪なるワーム・ビースト,EX-52,Normal
ミノタウルス,EX-53,Normal
デビル・ドラゴン,EX-54,Normal
ジャッジ・マン,EX-55,Super
ホーリー・ドール,EX-56,Normal
魔物の狩人,EX-57,Normal
ワイルド・ラプター,EX-58,Normal
逆転の女神,EX-59,Normal
ケンタウロス,EX-60,Normal
魔人 テラ,EX-61,Normal
暗黒魔神 ナイトメア,EX-62,Normal
闇の暗殺者,EX-63,Normal
マスター・アン・エキスパート,EX-64,Normal
悪の無名戦士,EX-65,Normal
黒い影の鬼王,EX-66,Normal
闇・エネルギー,EX-67,Normal
覚醒,EX-68,Normal
昼夜の大火事,EX-69,Normal
ガーゴイル・パワード,EX-70,Normal
復讐のソード・ストーカー,EX-71,Normal
ランプの魔精・ラ・ジーン,EX-72,Normal
ルード・カイザー,EX-73,Normal
破壊のゴーレム,EX-74,Normal
スカイ・ハンター,EX-75,Normal
ドラゴヒューマン,EX-76,Normal
ペイルビースト,EX-77,Normal
未熟な密偵,EX-78,Normal
古代の遠眼鏡,EX-79,Normal
自業自得,EX-80,Normal
謎の傀儡師,EX-81,Normal
草原,EX-82,Normal
ハネハネ,EX-83,Normal
ロード・オブ・ドラゴン−ドラゴンの支配者−,EX-84,Ultra
ドラゴンを呼ぶ笛,EX-85,Ultra
クロス・ソウル,EX-86,Secret
手札抹殺,EX-87,Secret
ホーリー・エルフ,EX-01,Normal
グレムリン,EX-02,Normal
砦を守る翼竜,EX-03,Super
デーモンの召喚,EX-04,Normal
ルイーズ,EX-05,Normal
ブラック・マジシャン,EX-06,Ultra
暗黒騎士ガイア,EX-07,Normal
カース・オブ・ドラゴン,EX-08,Normal
エルフの剣士,EX-09,Normal
マンモスの墓場,EX-10,Normal
グレート・ホワイト,EX-11,Normal
シルバー・フォング,EX-12,Normal
岩石の巨兵,EX-13,Normal
ドラゴン・ゾンビ,EX-14,Normal
死の沈黙の天使 ドマ,EX-15,Normal
アサシン,EX-16,Normal
魔人デスサタン,EX-17,Normal
キラー・ザ・クロー,EX-18,Normal
バーサーカー,EX-19,Normal
闇の破神剣,EX-20,Normal
秘術の書,EX-21,Normal
ブラック・ホール,EX-22,Normal
治療の神 ディアン・ケト,EX-23,Normal
エンシェント・エルフ,EX-24,Normal
マジカル・ゴースト,EX-25,Normal
地割れ,EX-26,Normal
落とし穴,EX-27,Normal
はさみ撃ち,EX-28,Normal
魔法除去,EX-29,Normal
死者蘇生,EX-30,Normal
援軍,EX-31,Normal
心変わり,EX-32,Normal
厳格な老魔術師,EX-33,Normal
幻影の壁,EX-34,Normal
魔法剣士ネオ,EX-35,Normal
邪剣男爵,EX-36,Normal
人喰い宝石箱,EX-37,Normal
デス・ソーサラー,EX-38,Normal
遺言状,EX-39,Normal
和睦の使者,EX-40,Normal
トラップ・マスター,EX-41,Normal
ドラゴン族・封印の壺,EX-42,Normal
闇,EX-43,Normal
人喰い虫,EX-44,Normal
あまのじゃくの呪い,EX-45,Normal
罠はずし,EX-46,Normal
城壁,EX-47,Normal
血の代償,EX-48,Normal
青眼の白龍,EX-49,Ultra
サイクロプス,EX-50,Normal
ガーゴイル,EX-51,Normal
邪悪なるワーム・ビースト,EX-52,Normal
ミノタウルス,EX-53,Normal
デビル・ドラゴン,EX-54,Normal
ジャッジ・マン,EX-55,Super
ホーリー・ドール,EX-56,Normal
魔物の狩人,EX-57,Normal
ワイルド・ラプター,EX-58,Normal
逆転の女神,EX-59,Normal
ケンタウロス,EX-60,Normal
魔人 テラ,EX-61,Normal
暗黒魔神 ナイトメア,EX-62,Normal
闇の暗殺者,EX-63,Normal
マスター・アン・エキスパート,EX-64,Normal
悪の無名戦士,EX-65,Normal
黒い影の鬼王,EX-66,Normal
闇・エネルギー,EX-67,Normal
覚醒,EX-68,Normal
昼夜の大火事,EX-69,Normal
ガーゴイル・パワード,EX-70,Normal
復讐のソード・ストーカー,EX-71,Normal
ランプの魔精・ラ・ジーン,EX-72,Normal
ルード・カイザー,EX-73,Normal
破壊のゴーレム,EX-74,Normal
スカイ・ハンター,EX-75,Normal
ドラゴヒューマン,EX-76,Normal
ペイルビースト,EX-77,Normal
未熟な密偵,EX-78,Normal
古代の遠眼鏡,EX-79,Normal
自業自得,EX-80,Normal
謎の傀儡師,EX-81,Normal
草原,EX-82,Normal
ハネハネ,EX-83,Normal
ロード・オブ・ドラゴン−ドラゴンの支配者−,EX-84,Ultra
ドラゴンを呼ぶ笛,EX-85,Ultra
クロス・ソウル,EX-86,Secret
手札抹殺,EX-87,Secret
