name,card_id,rare
達人キョンシー,EE1-JP001,nomal
大くしゃみのカバザウルス,EE1-JP002,nomal
大木人１８,EE1-JP003,nomal
ダークジェロイド,EE1-JP004,Rare
ニュードリュア,EE1-JP005,Rare
地獄詩人ヘルポエマー,EE1-JP006,Super
墓守の偵察者,EE1-JP007,nomal
墓守の呪術師,EE1-JP008,nomal
墓守の番兵,EE1-JP009,nomal
墓守の長槍兵,EE1-JP010,nomal
墓守の従者,EE1-JP011,nomal
墓守の監視者,EE1-JP012,nomal
墓守の長,EE1-JP013,Rare
墓守の大筒持ち,EE1-JP014,nomal
墓守の暗殺者,EE1-JP015,nomal
ウジャト眼を持つ男,EE1-JP016,nomal
ジャッカルの聖戦士,EE1-JP017,Super
不幸を告げる黒猫,EE1-JP018,nomal
黄泉へ渡る船,EE1-JP019,nomal
有翼賢者ファルコス,EE1-JP020,nomal
幸運を告げるフクロウ,EE1-JP021,nomal
シャブティのお守り,EE1-JP022,nomal
スネークポット,EE1-JP023,nomal
魂を削る死霊,EE1-JP024,Rare
ナイトメア・ホース,EE1-JP025,nomal
ナイトメアを駆る死霊,EE1-JP026,Rare
闇の指名者,EE1-JP027,nomal
ショット・ガン・シャッフル,EE1-JP028,nomal
名推理,EE1-JP029,nomal
悪夢の拷問部屋,EE1-JP030,nomal
タイムカプセル,EE1-JP031,nomal
王家の眠る谷－ネクロバレー,EE1-JP032,Super
バスターランチャー,EE1-JP033,nomal
ヒエログリフの石版,EE1-JP034,nomal
黒蛇病,EE1-JP035,nomal
テラ・フォーミング,EE1-JP036,nomal
勇気の旗印,EE1-JP037,nomal
突然変異,EE1-JP038,nomal
王家の生け贄,EE1-JP039,nomal
大逆転クイズ,EE1-JP040,nomal
棺桶売り,EE1-JP041,Super
老化の呪い,EE1-JP042,nomal
地獄の扉越し銃,EE1-JP043,Rare
サンダー・ブレイク,EE1-JP044,nomal
狭き通路,EE1-JP045,nomal
攪乱作戦,EE1-JP046,nomal
黒板消しの罠,EE1-JP047,nomal
降霊の儀式,EE1-JP048,nomal
絶対不可侵領域,EE1-JP049,nomal
竜の血族,EE1-JP050,nomal
溶岩魔神ラヴァ・ゴーレム,EE1-JP051,Ultra
バイサー・ショック,EE1-JP052,Ultra
クイズ,EE1-JP053,Super
命の綱,EE1-JP054,Rare
拷問車輪,EE1-JP055,Ultra
逃げまどう民,EE1-JP056,nomal
弾圧される民,EE1-JP057,nomal
団結するレジスタンス,EE1-JP058,nomal
Ｘ－ヘッド・キャノン,EE1-JP059,Rare
Ｙ－ドラゴン・ヘッド,EE1-JP060,Rare
Ｚ－メタル・キャタピラー,EE1-JP061,Rare
闇魔界の戦士 ダークソード,EE1-JP062,nomal
漆黒の闘龍,EE1-JP063,nomal
騎竜,EE1-JP064,nomal
朽ち果てた武将,EE1-JP065,nomal
ゾンビタイガー,EE1-JP066,nomal
ジャイアント・オーク,EE1-JP067,nomal
セコンド・ゴブリン,EE1-JP068,nomal
ブラッド・オーキス,EE1-JP069,nomal
デス・デンドル,EE1-JP070,nomal
