name,card_id,rare
彼岸の悪鬼 スカラマリオン,EP15-JP001,Super
彼岸の悪鬼 グラバースニッチ,EP15-JP002,Super
彼岸の悪鬼 ガトルホッグ,EP15-JP003,Rare
彼岸の悪鬼 ラビキャント,EP15-JP004,Rare
彼岸の悪鬼 アリキーノ,EP15-JP005,nomal
彼岸の悪鬼 ハックルスパー,EP15-JP006,nomal
彼岸の悪鬼 ファーファレル,EP15-JP007,Rare
彼岸の悪鬼 リビオッコ,EP15-JP008,nomal
彼岸の悪鬼 ハロウハウンド,EP15-JP009,nomal
彼岸の悪鬼 ドラゴネル,EP15-JP010,nomal
彼岸の悪鬼 バルバリッチャ,EP15-JP011,nomal
彼岸の鬼神 ヘルレイカー,EP15-JP012,Ultra
彼岸の鬼神 ヘルレイカー,EP15-JP012,Secret
彼岸の巡礼者 ダンテ,EP15-JP013,Ultra
彼岸の巡礼者 ダンテ,EP15-JP013,Secret
彼岸の詩人 ウェルギリウス,EP15-JP014,Super
彼岸の旅人 ダンテ,EP15-JP015,Ultra
彼岸の旅人 ダンテ,EP15-JP015,Secret
善悪の彼岸,EP15-JP016,Rare
旅人の結彼岸,EP15-JP017,nomal
旅人の到彼岸,EP15-JP018,nomal
彼岸の沈溺,EP15-JP019,Rare
Ｕ.Ａ.マイティスラッガー,EP15-JP020,nomal
Ｕ.Ａ.パーフェクトエース,EP15-JP021,nomal
Ｕ.Ａ.ファンタジスタ,EP15-JP022,Super
Ｕ.Ａ.カストディアン,EP15-JP023,nomal
Ｕ.Ａ.フィールドゼネラル,EP15-JP024,Ultra
Ｕ.Ａ.フィールドゼネラル,EP15-JP024,Secret
Ｕ.Ａ.ストロングブロッカー,EP15-JP025,nomal
Ｕ.Ａ.ドレッドノートダンカー,EP15-JP026,nomal
Ｕ.Ａ.コリバルリバウンダー,EP15-JP027,nomal
Ｕ.Ａ.スタジアム,EP15-JP028,Rare
Ｕ.Ａ.パワードギプス,EP15-JP029,nomal
Ｕ.Ａ.ターンオーバー・タクティクス,EP15-JP030,nomal
Ｕ.Ａ.フラッグシップ・ディール,EP15-JP031,Rare
Ｕ.Ａ.ペナルティ,EP15-JP032,nomal
旧神ヌトス,EP15-JP033,Ultra
旧神ヌトス,EP15-JP033,Secret
古神クトグア,EP15-JP034,Super
古神ハストール,EP15-JP035,Super
外神アザトート,EP15-JP036,Ultra
外神アザトート,EP15-JP036,Secret
禁断のトラペゾヘドロン,EP15-JP037,nomal
幻夢境,EP15-JP038,nomal
極星邪龍ヨルムンガンド,EP15-JP039,nomal
極星邪狼フェンリル,EP15-JP040,nomal
星屑の残光,EP15-JP041,Super
伝説の預言者マーリン,EP15-JP042,Super
聖騎士ベディヴィエール,EP15-JP043,Rare
聖騎士伝説の終幕,EP15-JP044,Super
ライトロードの神域,EP15-JP045,nomal
竜角の狩猟者,EP15-JP046,Rare
ランスフォリンクス,EP15-JP047,Rare
ドラコニアの獣竜騎兵,EP15-JP048,Rare
ドラコニアの海竜騎兵,EP15-JP049,Rare
凶星の魔術師,EP15-JP050,nomal
Ｐ・Ｍ・キャプチャー,EP15-JP051,nomal
スピリチューアル・ウィスパー,EP15-JP052,nomal
Ｘ－レイ・ピアース,EP15-JP053,nomal
業火の重騎士,EP15-JP054,nomal
ＢＯＸサー,EP15-JP055,nomal
カブキ・ドラゴン,EP15-JP056,nomal
魔サイの戦士,EP15-JP057,nomal
キューブン,EP15-JP058,nomal
にん人,EP15-JP059,Rare
犬タウルス,EP15-JP060,Rare
ダイナソーイング,EP15-JP061,nomal
タツノオトシオヤ,EP15-JP062,Rare
置換融合,EP15-JP063,Rare
月鏡の盾,EP15-JP064,nomal
ペンデュラム・モラトリアム,EP15-JP065,Rare
小人のいたずら,EP15-JP066,nomal
ロケットハンド,EP15-JP067,nomal
盾航戦車ステゴサイバー,EP15-JP068,Rare
名匠 ガミル,EP15-JP069,nomal
カード・アドバンス,EP15-JP070,nomal
シールドバッシュ,EP15-JP071,nomal
鼓舞,EP15-JP072,nomal
恐撃,EP15-JP073,nomal
不屈の闘志,EP15-JP074,nomal
タイフーン,EP15-JP075,nomal
鏡像のスワンプマン,EP15-JP076,Rare
量子猫,EP15-JP077,Rare
牙狼の双王 ロムルス－レムス,EP15-JP078,Ex-Secret
輝銀の天空船－レオ号,EP15-JP079,Ex-Secret
