name,card_id,rare
ブラッドストーム,EXP3-JP001,Ultra
コアキメイル・ウォーアームズ,EXP3-JP002,nomal
イモータル・ルーラー,EXP3-JP003,nomal
ハードアームドラゴン,EXP3-JP004,Rare
モジャ,EXP3-JP005,nomal
ビーストライカー,EXP3-JP006,nomal
キング・オブ・ビースト,EXP3-JP007,Rare
スワローズ・ネスト,EXP3-JP008,Super
オーバーウェルム,EXP3-JP009,nomal
バーサーキング,EXP3-JP010,nomal
ＸＸ－セイバー ガルドストライク,EXP3-JP011,Ultra
ＸＸ－セイバー フラムナイト,EXP3-JP012,nomal
コアキメイル・グールズスレイブ,EXP3-JP013,nomal
コアキメイル・グラヴィローズ,EXP3-JP014,nomal
サイコ・エンペラー,EXP3-JP015,nomal
カードガード,EXP3-JP016,Super
フレムベル・デスガンナー,EXP3-JP017,nomal
擬似空間,EXP3-JP018,N-Rare
グリード・グラード,EXP3-JP019,nomal
早すぎた復活,EXP3-JP020,Rare
コアキメイル・ビートル,EXP3-JP021,nomal
コアキメイル・マキシマム,EXP3-JP022,Super
ライトロード・スピリット シャイア,EXP3-JP023,nomal
ライトロード・シーフ ライニャン,EXP3-JP024,nomal
森の狩人イエロー・バブーン,EXP3-JP025,Rare
デュアル・スコーピオン,EXP3-JP026,nomal
メタボ・シャーク,EXP3-JP027,nomal
地縛神の復活,EXP3-JP028,nomal
レプティレス・ポイズン,EXP3-JP029,nomal
六武の門,EXP3-JP030,Super
墓守の巫女,EXP3-JP031,Rare
ＸＸ－セイバー エマーズブレイド,EXP3-JP032,Rare
黒魔力の精製者,EXP3-JP033,nomal
素早いビッグハムスター,EXP3-JP034,nomal
サボウ・クローザー,EXP3-JP035,nomal
ドラゴニック・ガード,EXP3-JP036,nomal
海底に潜む深海竜,EXP3-JP037,nomal
儀式魔人ディザーズ,EXP3-JP038,nomal
地縛大神官,EXP3-JP039,N-Rare
コア転送ユニット,EXP3-JP040,nomal
