name,card_id,rare
ゾンビーノ,EXFO-JP001,N-Rare
ロックアウト・ガードナー,EXFO-JP002,Rare
ストライピング・パートナー,EXFO-JP003,nomal
フリック・クラウン,EXFO-JP004,Rare
ビットルーパー,EXFO-JP005,nomal
弾帯城壁龍,EXFO-JP006,nomal
シェルヴァレット・ドラゴン,EXFO-JP007,nomal
メタルヴァレット・ドラゴン,EXFO-JP008,nomal
ティンダングル・エンジェル,EXFO-JP009,nomal
ティンダングル・ベース・ガードナー,EXFO-JP010,nomal
ティンダングル・ハウンド,EXFO-JP011,Rare
ティンダングル・アポストル,EXFO-JP012,nomal
ティンダングル・イントルーダー,EXFO-JP013,nomal
蒼穹の機界騎士,EXFO-JP014,Super
蒼穹の機界騎士,EXFO-JP014,Secret
翠嵐の機界騎士,EXFO-JP015,nomal
燈影の機界騎士,EXFO-JP016,nomal
黄華の機界騎士,EXFO-JP017,nomal
紅蓮の機界騎士,EXFO-JP018,nomal
紺碧の機界騎士,EXFO-JP019,Rare
紫宵の機界騎士,EXFO-JP020,Super
紫宵の機界騎士,EXFO-JP020,Secret
星遺物－『星盾』,EXFO-JP021,Rare
魔導獣 ジャッカル,EXFO-JP022,Rare
魔導獣 ガルーダ,EXFO-JP023,nomal
魔導獣 メデューサ,EXFO-JP024,nomal
魔導獣 バジリスク,EXFO-JP025,nomal
魔導獣 キングジャッカル,EXFO-JP026,Super
魔導獣 キングジャッカル,EXFO-JP026,Secret
魔導獣 マスターケルベロス,EXFO-JP027,Ultra
魔導獣 マスターケルベロス,EXFO-JP027,Ultimate
魔導獣 マスターケルベロス,EXFO-JP027,Secret
アーティファクト－ミョルニル,EXFO-JP028,nomal
屈強の釣り師,EXFO-JP029,nomal
雀姉妹,EXFO-JP030,nomal
異次元の探求者,EXFO-JP031,Rare
魅幽鳥,EXFO-JP032,nomal
デスマニア・デビル,EXFO-JP033,nomal
電送擬人エレキネシス,EXFO-JP034,nomal
インスペクト・ボーダー,EXFO-JP035,Super
インスペクト・ボーダー,EXFO-JP035,Secret
オーバーテクス・ゴアトルス,EXFO-JP036,Rare
接触するＧ,EXFO-JP037,N-Rare
エクスコード・トーカー,EXFO-JP038,Ultra
エクスコード・トーカー,EXFO-JP038,Ultimate
エクスコード・トーカー,EXFO-JP038,Secret
エクスコード・トーカー,EXFO-JP038,Holographic
アンダークロックテイカー,EXFO-JP039,Super
アンダークロックテイカー,EXFO-JP039,Secret
ベクター・スケア・デーモン,EXFO-JP040,Super
ベクター・スケア・デーモン,EXFO-JP040,Secret
フレイム・アドミニスター,EXFO-JP041,Rare
リカバリー・ソーサラー,EXFO-JP042,Rare
セキュア・ガードナー,EXFO-JP043,Rare
スリーバーストショット・ドラゴン,EXFO-JP044,Ultra
スリーバーストショット・ドラゴン,EXFO-JP044,Ultimate
スリーバーストショット・ドラゴン,EXFO-JP044,Secret
ティンダングル・アキュート・ケルベロス,EXFO-JP045,Ultra
ティンダングル・アキュート・ケルベロス,EXFO-JP045,Ultimate
ティンダングル・アキュート・ケルベロス,EXFO-JP045,Secret
オルターガイスト・ヘクスティア,EXFO-JP046,Super
オルターガイスト・ヘクスティア,EXFO-JP046,Secret
星痕の機界騎士,EXFO-JP047,Ultra
星痕の機界騎士,EXFO-JP047,Ultimate
星痕の機界騎士,EXFO-JP047,Secret
鎖龍蛇－スカルデット,EXFO-JP048,Ultra
鎖龍蛇－スカルデット,EXFO-JP048,Ultimate
鎖龍蛇－スカルデット,EXFO-JP048,Secret
副話術士クララ＆ルーシカ,EXFO-JP049,Super
副話術士クララ＆ルーシカ,EXFO-JP049,Secret
ドリトル・キメラ,EXFO-JP050,Rare
リンケージ・ホール,EXFO-JP051,nomal
天火の牢獄,EXFO-JP052,nomal
リボルブート・セクター,EXFO-JP053,Rare
ナーゲルの守護天,EXFO-JP054,nomal
オイラーサーキット,EXFO-JP055,nomal
星遺物が刻む傷痕,EXFO-JP056,nomal
星遺物へ至る鍵,EXFO-JP057,nomal
魔導加速,EXFO-JP058,Rare
栄光の聖騎士団,EXFO-JP059,nomal
ガーディアンの力,EXFO-JP060,nomal
ペンデュラム・パラドックス,EXFO-JP061,Rare
局所的ハリケーン,EXFO-JP062,Super
局所的ハリケーン,EXFO-JP062,Secret
ダウンビート,EXFO-JP063,nomal
アスポート,EXFO-JP064,nomal
身分転換,EXFO-JP065,N-Rare
パラレルポート・アーマー,EXFO-JP066,nomal
サイバネット・リフレッシュ,EXFO-JP067,nomal
ヴァレル・レフリジェレーション,EXFO-JP068,nomal
ティンダングル・ドロネー,EXFO-JP069,nomal
オルターガイスト・マテリアリゼーション,EXFO-JP070,nomal
星遺物の囁き,EXFO-JP071,nomal
星遺物に眠る深層,EXFO-JP072,Rare
魔導変換,EXFO-JP073,Rare
ゴーストリック・リフォーム,EXFO-JP074,nomal
デーモンの呼び声,EXFO-JP075,Rare
センサー万別,EXFO-JP076,Super
センサー万別,EXFO-JP076,Secret
ＧＵＹダンス,EXFO-JP077,nomal
見切りの極意,EXFO-JP078,nomal
一撃離脱,EXFO-JP079,nomal
誤爆,EXFO-JP080,N-Rare
