name,card_id,rare
ジャンク・サーバント,EXVC-JP001,Rare
アンノウン・シンクロン,EXVC-JP002,nomal
サルベージ・ウォリアー,EXVC-JP003,Rare
ネクロ・ディフェンダー,EXVC-JP004,Rare
ミスティック・パイパー,EXVC-JP005,Super
フォース・リゾネーター,EXVC-JP006,nomal
クロック・リゾネーター,EXVC-JP007,nomal
ＢＦ－天狗風のヒレン,EXVC-JP008,Super
ＢＦ－流離いのコガラシ,EXVC-JP009,Rare
Ｄ・ライトン,EXVC-JP010,nomal
Ｄ・ステープラン,EXVC-JP011,nomal
機皇兵ワイゼル・アイン,EXVC-JP012,nomal
機皇兵スキエル・アイン,EXVC-JP013,nomal
機皇兵グランエル・アイン,EXVC-JP014,Rare
機皇神龍アステリスク,EXVC-JP015,Super
ＴＧ サイバー・マジシャン,EXVC-JP016,Super
ＴＧ ストライカー,EXVC-JP017,Rare
ＴＧ ジェット・ファルコン,EXVC-JP018,nomal
ＴＧ カタパルト・ドラゴン,EXVC-JP019,nomal
ＴＧ ワーウルフ,EXVC-JP020,nomal
ＴＧ ラッシュ・ライノ,EXVC-JP021,Rare
バスター・ショットマン,EXVC-JP022,Rare
サイ・ガール,EXVC-JP023,nomal
メンタルシーカー,EXVC-JP024,nomal
沈黙のサイコウィザード,EXVC-JP025,Super
静寂のサイコウィッチ,EXVC-JP026,nomal
寡黙なるサイコプリースト,EXVC-JP027,Rare
六武衆のご隠居,EXVC-JP028,nomal
紫炎の参謀,EXVC-JP029,nomal
カラクリ小町 弐弐四,EXVC-JP030,nomal
カラクリ忍者 七七四九,EXVC-JP031,nomal
スクラップ・コング,EXVC-JP032,nomal
サシカエル,EXVC-JP033,Rare
剣闘獣ティゲル,EXVC-JP034,nomal
瓶亀,EXVC-JP035,N-Rare
オーロラ・アンギラス,EXVC-JP036,N-Rare
ジャンク・バーサーカー,EXVC-JP037,Ultra
ジャンク・バーサーカー,EXVC-JP037,Ultimate
ジャンク・バーサーカー,EXVC-JP037,Holographic
ライフ・ストリーム・ドラゴン,EXVC-JP038,Ultra
ライフ・ストリーム・ドラゴン,EXVC-JP038,Ultimate
ＴＧ レシプロ・ドラゴン・フライ,EXVC-JP039,Super
ＴＧ ワンダー・マジシャン,EXVC-JP040,Super
ＴＧ パワー・グラディエイター,EXVC-JP041,Super
ＴＧ ブレード・ガンナー,EXVC-JP042,Ultra
ＴＧ ブレード・ガンナー,EXVC-JP042,Ultimate
ＴＧ ハルバード・キャノン,EXVC-JP043,Ultra
ＴＧ ハルバード・キャノン,EXVC-JP043,Ultimate
メンタルオーバー・デーモン,EXVC-JP044,Ultra
メンタルオーバー・デーモン,EXVC-JP044,Ultimate
クリムゾン・ヘル・セキュア,EXVC-JP045,nomal
紅蓮魔竜の壺,EXVC-JP046,nomal
コール・リゾネーター,EXVC-JP047,Rare
共鳴破,EXVC-JP048,nomal
機動要塞フォルテシモ,EXVC-JP049,nomal
機皇帝の賜与,EXVC-JP050,nomal
鉄壁の機皇兵,EXVC-JP051,nomal
再機動,EXVC-JP052,nomal
ＴＧＸ１－ＨＬ,EXVC-JP053,nomal
ＴＧＸ３００,EXVC-JP054,nomal
超能力増幅器,EXVC-JP055,nomal
サイコ・フィール・ゾーン,EXVC-JP056,Rare
紫炎の道場,EXVC-JP057,nomal
カラクリ大暴走,EXVC-JP058,nomal
儀水鏡との交信,EXVC-JP059,Rare
完全防音壁,EXVC-JP060,Rare
急転直下,EXVC-JP061,nomal
即神仏,EXVC-JP062,N-Rare
スカーレッド・カーペット,EXVC-JP063,nomal
パワーアップ・コネクター,EXVC-JP064,nomal
カオス・インフィニティ,EXVC-JP065,Rare
機限爆弾,EXVC-JP066,nomal
機皇廠,EXVC-JP067,nomal
ＴＧＸ３－ＤＸ２,EXVC-JP068,Rare
ＴＧ－ＳＸ１,EXVC-JP069,nomal
ＴＧ１－ＥＭ１,EXVC-JP070,nomal
サイコ・リアクター,EXVC-JP071,nomal
ブレインハザード,EXVC-JP072,Rare
六武派二刀流,EXVC-JP073,nomal
借カラクリ整備蔵,EXVC-JP074,nomal
暴君の暴力,EXVC-JP075,nomal
透破抜き,EXVC-JP076,Super
木遁封印式,EXVC-JP077,nomal
安全地帯,EXVC-JP078,Rare
局地的大ハリケーン,EXVC-JP079,N-Rare
Ｗ星雲隕石,EXVC-JP080,nomal
