name,card_id,rare
スペースマンボウ,FET-JP001,nomal
神竜 ラグナロク,FET-JP002,nomal
格闘ねずみ チュー助,FET-JP003,nomal
甲虫装甲騎士,FET-JP004,nomal
ネフティスの鳳凰神,FET-JP005,Ultra
ネフティスの鳳凰神,FET-JP005,Ultimate
ネフティスの導き手,FET-JP006,nomal
アルティメット・インセクト ＬＶ５,FET-JP007,Rare
サイレント・ソードマン ＬＶ５,FET-JP008,Ultra
サイレント・ソードマン ＬＶ５,FET-JP008,Ultimate
地帝グランマーグ,FET-JP009,Super
地帝グランマーグ,FET-JP009,Ultimate
エレメント・ヴァルキリー,FET-JP010,nomal
エレメント・デビル,FET-JP011,nomal
本気ギレパンダ,FET-JP012,nomal
またたびキャット,FET-JP013,nomal
百獣王 ベヒーモス,FET-JP014,Super
百獣王 ベヒーモス,FET-JP014,Ultimate
ビッグホーン・マンモス,FET-JP015,Rare
カンガルー・チャンプ,FET-JP016,nomal
ハイエナ,FET-JP017,nomal
ブレードラビット,FET-JP018,nomal
機械犬マロン,FET-JP019,nomal
ブラッド・マジシャン－煉獄の魔術師－,FET-JP020,Super
ブラッド・マジシャン－煉獄の魔術師－,FET-JP020,Ultimate
賢者ケイローン,FET-JP021,Rare
剣聖－ネイキッド・ギア・フリード,FET-JP022,Ultra
剣聖－ネイキッド・ギア・フリード,FET-JP022,Ultimate
重装武者－ベン・ケイ,FET-JP023,nomal
闇の住人 シャドウキラー,FET-JP024,Rare
番兵ゴーレム,FET-JP025,nomal
暴れ牛鬼,FET-JP026,nomal
融合呪印生物－光,FET-JP027,nomal
融合呪印生物－闇,FET-JP028,nomal
融合呪印生物－地,FET-JP029,nomal
暴風小僧,FET-JP030,nomal
炎を支配する者,FET-JP031,nomal
火炎鳥,FET-JP032,nomal
レスキューキャット,FET-JP033,nomal
ブレイン・ジャッカー,FET-JP034,Rare
ガトリング・ドラゴン,FET-JP035,Ultra
ガトリング・ドラゴン,FET-JP035,Ultimate
竜魔人 キングドラグーン,FET-JP036,Super
竜魔人 キングドラグーン,FET-JP036,Ultimate
鳳凰神の羽根,FET-JP037,Super
鳳凰神の羽根,FET-JP037,Ultimate
ポイズン・ファング,FET-JP038,nomal
魔法吸収,FET-JP039,Rare
ライトニング・ボルテックス,FET-JP040,Super
ライトニング・ボルテックス,FET-JP040,Ultimate
デス・メテオ,FET-JP041,Rare
闇の護封剣,FET-JP042,Rare
螺旋槍殺,FET-JP043,Rare
拘束解除,FET-JP044,nomal
遠心分離フィールド,FET-JP045,nomal
契約の履行,FET-JP046,nomal
再融合,FET-JP047,nomal
百獣大行進,FET-JP048,nomal
クロスカウンター,FET-JP049,Rare
ポールポジション,FET-JP050,nomal
罰ゲーム！,FET-JP051,Rare
威嚇する咆哮,FET-JP052,nomal
鳳翼の爆風,FET-JP053,Rare
ゴブリンのやりくり上手,FET-JP054,nomal
キャトルミューティレーション,FET-JP055,nomal
本陣強襲,FET-JP056,Rare
Ｄ.Ｄ.ダイナマイト,FET-JP057,nomal
魔のデッキ破壊ウイルス,FET-JP058,Super
魔のデッキ破壊ウイルス,FET-JP058,Ultimate
エレメンタルバースト,FET-JP059,nomal
強引な安全協定,FET-JP060,Rare
