name,card_id,rare
エレキテルドラゴン,GAOV-JP001,nomal
神龍の聖刻印,GAOV-JP002,nomal
オーバーレイ・オウル,GAOV-JP003,nomal
タスケナイト,GAOV-JP004,Rare
ガガガガードナー,GAOV-JP005,Rare
カードカー・Ｄ,GAOV-JP006,Rare
オーバーレイ・イーター,GAOV-JP007,nomal
ハンマー・シャーク,GAOV-JP008,nomal
ハンマーラッシュ・バウンサー,GAOV-JP009,Super
ブレード・バウンサー,GAOV-JP010,nomal
ファントム・バウンサー,GAOV-JP011,nomal
幻蝶の刺客モルフォ,GAOV-JP012,nomal
幻蝶の刺客アゲハ,GAOV-JP013,nomal
月光蝶,GAOV-JP014,nomal
穿孔重機ドリルジャンボ,GAOV-JP015,Super
爆走特急ロケット・アロー,GAOV-JP016,Rare
スクープ・シューター,GAOV-JP017,nomal
聖刻龍－ドラゴンヌート,GAOV-JP018,nomal
聖刻龍－ドラゴンゲイヴ,GAOV-JP019,nomal
聖刻龍－アセトドラゴン,GAOV-JP020,nomal
聖刻龍－ネフテドラゴン,GAOV-JP021,nomal
聖刻龍－トフェニドラゴン,GAOV-JP022,Rare
聖刻龍－シユウドラゴン,GAOV-JP023,nomal
聖刻龍－ウシルドラゴン,GAOV-JP024,Rare
聖刻龍－セテクドラゴン,GAOV-JP025,Super
エヴォルド・ラゴスクス,GAOV-JP026,nomal
エヴォルダー・ダルウィノス,GAOV-JP027,nomal
甲虫装機 リュシオル,GAOV-JP028,nomal
甲虫装機 グルフ,GAOV-JP029,nomal
甲虫装機 ウィーグ,GAOV-JP030,nomal
甲虫装機 ギガグリオル,GAOV-JP031,Rare
ライトレイ ソーサラー,GAOV-JP032,Rare
ライトレイ ダイダロス,GAOV-JP033,nomal
ライトレイ ギア・フリード,GAOV-JP034,nomal
ライトレイ ディアボロス,GAOV-JP035,Rare
ドラゴン・ウィッチ－ドラゴンの守護者－,GAOV-JP036,nomal
アブソーブポッド,GAOV-JP037,Rare
紅血鬼,GAOV-JP038,nomal
焔虎,GAOV-JP039,N-Rare
ながれ者傭兵部隊,GAOV-JP040,N-Rare
超銀河眼の光子龍,GAOV-JP041,Ultra
超銀河眼の光子龍,GAOV-JP041,Ultimate
超銀河眼の光子龍,GAOV-JP041,Holographic
Ｎｏ.３２ 海咬龍シャーク・ドレイク,GAOV-JP042,Ultra
Ｎｏ.３２ 海咬龍シャーク・ドレイク,GAOV-JP042,Ultimate
フォトン・ストリーク・バウンサー,GAOV-JP043,Super
フォトン・バタフライ・アサシン,GAOV-JP044,Super
Ｎｏ.２５ 重装光学撮影機フォーカス・フォース,GAOV-JP045,Ultra
Ｎｏ.２５ 重装光学撮影機フォーカス・フォース,GAOV-JP045,Ultimate
迅雷の騎士ガイアドラグーン,GAOV-JP046,Super
聖刻龍王－アトゥムス,GAOV-JP047,Super
聖刻神龍－エネアード,GAOV-JP048,Ultra
聖刻神龍－エネアード,GAOV-JP048,Ultimate
竜魔人 クィーンドラグーン,GAOV-JP049,Rare
甲虫装機 エクサスタッグ,GAOV-JP050,Ultra
甲虫装機 エクサスタッグ,GAOV-JP050,Ultimate
バウンド・ワンド,GAOV-JP051,Rare
ミニマム・ガッツ,GAOV-JP052,nomal
下降潮流,GAOV-JP053,nomal
蛮勇鱗粉,GAOV-JP054,nomal
ナイト・ショット,GAOV-JP055,Rare
召集の聖刻印,GAOV-JP056,Rare
超力の聖刻印,GAOV-JP057,nomal
多様進化,GAOV-JP058,nomal
進化の代償,GAOV-JP059,nomal
ファイナル・インゼクション,GAOV-JP060,Rare
甲虫装機の魔弓 ゼクトアロー,GAOV-JP061,nomal
エクシーズ・ユニット,GAOV-JP062,Super
暴走する魔力,GAOV-JP063,nomal
神星なる領域,GAOV-JP064,nomal
嵐,GAOV-JP065,N-Rare
奇策,GAOV-JP066,nomal
ガムシャラ,GAOV-JP067,nomal
剣の采配,GAOV-JP068,nomal
バウンサー・ガード,GAOV-JP069,nomal
隷属の鱗粉,GAOV-JP070,nomal
抹殺の聖刻印,GAOV-JP071,Rare
反射の聖刻印,GAOV-JP072,nomal
ゼクト・コンバージョン,GAOV-JP073,Rare
甲虫装機の手甲,GAOV-JP074,nomal
差し戻し,GAOV-JP075,nomal
ディメンション・スライド,GAOV-JP076,Rare
光霊術－「聖」,GAOV-JP077,Super
雷遁封印式,GAOV-JP078,nomal
儀水鏡の反魂術,GAOV-JP079,nomal
倍返し,GAOV-JP080,N-Rare
