name,card_id,rare
ガガガマジシャン,GENF-JP001,Super
ゴゴゴゴーレム,GENF-JP002,Rare
アチャチャアーチャー,GENF-JP003,nomal
ゴブリンドバーグ,GENF-JP004,nomal
ビッグ・ジョーズ,GENF-JP005,Rare
スカル・クラーケン,GENF-JP006,nomal
ドリル・バーニカル,GENF-JP007,nomal
ジョーズマン,GENF-JP008,Super
バグマンＸ,GENF-JP009,nomal
バグマンＹ,GENF-JP010,nomal
バグマンＺ,GENF-JP011,nomal
スーパーバグマン,GENF-JP012,Super
ゼンマイソルジャー,GENF-JP013,nomal
ゼンマイマジシャン,GENF-JP014,Rare
ゼンマイジャグラー,GENF-JP015,Super
ゼンマイドッグ,GENF-JP016,nomal
ゼンマイマイ,GENF-JP017,Rare
スピアフィッシュソルジャー,GENF-JP018,nomal
フライファング,GENF-JP019,nomal
スカイオニヒトクイエイ,GENF-JP020,Rare
エアジャチ,GENF-JP021,Rare
ウイングトータス,GENF-JP022,nomal
スペースタイムポリス,GENF-JP023,Super
タイム・エスケーパー,GENF-JP024,nomal
ジェムエレファント,GENF-JP025,nomal
ラヴァルのマグマ砲兵,GENF-JP026,nomal
リチュア・ディバイナー,GENF-JP027,nomal
ガスタ・コドル,GENF-JP028,nomal
召喚師セームベル,GENF-JP029,nomal
ギアギアーノ,GENF-JP030,nomal
ポケ・ドラ,GENF-JP031,nomal
龍炎剣の使い手,GENF-JP032,nomal
地獄の傀儡魔人,GENF-JP033,nomal
蒼血鬼,GENF-JP034,Rare
霊魂の護送船,GENF-JP035,Rare
レアル・クルセイダー,GENF-JP036,Super
大皇帝ペンギン,GENF-JP037,N-Rare
久遠の魔術師ミラ,GENF-JP038,N-Rare
Ｎｏ.１７ リバイス・ドラゴン,GENF-JP039,Ultra
Ｎｏ.１７ リバイス・ドラゴン,GENF-JP039,Ultimate
Ｎｏ.１７ リバイス・ドラゴン,GENF-JP039,Holographic
潜航母艦エアロ・シャーク,GENF-JP040,Ultra
潜航母艦エアロ・シャーク,GENF-JP040,Ultimate
Ｎｏ.３４ 電算機獣テラ・バイト,GENF-JP041,Ultra
Ｎｏ.３４ 電算機獣テラ・バイト,GENF-JP041,Ultimate
発条機甲ゼンマイスター,GENF-JP042,Super
虚空海竜リヴァイエール,GENF-JP043,Ultra
虚空海竜リヴァイエール,GENF-JP043,Ultimate
始祖の守護者ティラス,GENF-JP044,Ultra
始祖の守護者ティラス,GENF-JP044,Ultimate
ワンダー・ワンド,GENF-JP045,Rare
ダブル・アップ・チャンス,GENF-JP046,nomal
サンダー・ショート,GENF-JP047,nomal
アクア・ジェット,GENF-JP048,nomal
浮上,GENF-JP049,Rare
バグ・ロード,GENF-JP050,nomal
ウィルスメール,GENF-JP051,Super
クラッキング,GENF-JP052,nomal
伝説のゼンマイ,GENF-JP053,nomal
ゼンマイマニュファクチャ,GENF-JP054,Rare
フィッシュアンドキックス,GENF-JP055,nomal
フューチャー・グロウ,GENF-JP056,nomal
ヴァイロン・フィラメント,GENF-JP057,nomal
ガルドスの羽根ペン,GENF-JP058,nomal
スター・チェンジャー,GENF-JP059,Rare
鬼神の連撃,GENF-JP060,nomal
共振装置,GENF-JP061,Rare
盗み見ゴブリン,GENF-JP062,N-Rare
油断大敵,GENF-JP063,nomal
ポセイドン・ウェーブ,GENF-JP064,Rare
爆弾ウニ－ボム・アーチン－,GENF-JP065,nomal
ダメージ・ワクチンΩＭＡＸ,GENF-JP066,nomal
オーバー・レンチ,GENF-JP067,nomal
魔製産卵床,GENF-JP068,nomal
ギョッ！,GENF-JP069,nomal
ブライト・フューチャー,GENF-JP070,Rare
パスト・イメージ,GENF-JP071,nomal
炎渦の胎動,GENF-JP072,nomal
同姓同名同盟条約,GENF-JP073,nomal
皇の波動,GENF-JP074,nomal
共同戦線,GENF-JP075,Rare
五稜星の呪縛,GENF-JP076,Rare
暴君の暴飲暴食,GENF-JP077,nomal
統制訓練,GENF-JP078,Rare
サンダー・ボトル,GENF-JP079,Super
砂利ケーン,GENF-JP080,N-Rare
