name,card_id,rare
グローアップ・バルブ,GP16-JP001,nomal
青き眼の乙女,GP16-JP002,nomal
トリオンの蟲惑魔,GP16-JP003,nomal
オッドアイズ・ペンデュラム・ドラゴン,GP16-JP004,nomal
ＥＭペンデュラム・マジシャン,GP16-JP005,nomal
慧眼の魔術師,GP16-JP006,nomal
超魔導剣士－ブラック・パラディン,GP16-JP007,nomal
Ｅ・ＨＥＲＯ シャイニング・フレア・ウィングマン,GP16-JP008,nomal
スターダスト・ドラゴン,GP16-JP009,nomal
獣神ヴァルカン,GP16-JP010,nomal
蒼眼の銀龍,GP16-JP011,nomal
星態龍,GP16-JP012,nomal
Ｎｏ.３９ 希望皇ホープ,GP16-JP013,nomal
神竜騎士フェルグラント,GP16-JP014,nomal
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,GP16-JP015,nomal
励輝士 ヴェルズビュート,GP16-JP016,nomal
精神操作,GP16-JP017,nomal
月の書,GP16-JP018,nomal
神の宣告,GP16-JP019,nomal
奈落の落とし穴,GP16-JP020,nomal
