name,card_id,rare
カオスポッド,GS04-JP001,nomal
昇霊術師 ジョウゲン,GS04-JP002,nomal
溶岩魔神ラヴァ・ゴーレム,GS04-JP003,nomal
カオス・ソルジャー －開闢の使者－,GS04-JP004,N-Rare
雷帝ザボルグ,GS04-JP005,nomal
Ｄ.Ｄ.クロウ,GS04-JP006,nomal
終末の騎士,GS04-JP007,nomal
ローンファイア・ブロッサム,GS04-JP008,nomal
スターダスト・ドラゴン,GS04-JP009,nomal
発条機雷ゼンマイン,GS04-JP010,nomal
魂の解放,GS04-JP011,nomal
強制転移,GS04-JP012,nomal
王家の眠る谷－ネクロバレー,GS04-JP013,nomal
エネミーコントローラー,GS04-JP014,nomal
強欲で謙虚な壺,GS04-JP015,N-Rare
グラヴィティ・バインド－超重力の網－,GS04-JP016,nomal
ウィジャ盤,GS04-JP017,nomal
ゴッドバードアタック,GS04-JP018,nomal
次元幽閉,GS04-JP019,nomal
スターライト・ロード,GS04-JP020,nomal
