name,card_id,rare
ワタポン,GS01-JP001,nomal
ダンディライオン,GS01-JP002,N-Rare
マシュマロン,GS01-JP003,nomal
人造人間－サイコ・ショッカー,GS01-JP004,nomal
封印されしエクゾディア,GS01-JP005,nomal
クリッター,GS01-JP006,nomal
サイバー・ドラゴン,GS01-JP007,nomal
風帝ライザー,GS01-JP008,nomal
オネスト,GS01-JP009,nomal
氷結界の龍 ブリューナク,GS01-JP010,N-Rare
サイクロン,GS01-JP011,nomal
光の護封剣,GS01-JP012,nomal
死者蘇生,GS01-JP013,nomal
大嵐,GS01-JP014,nomal
スケープ・ゴート,GS01-JP015,nomal
激流葬,GS01-JP016,nomal
聖なるバリア －ミラーフォース－,GS01-JP017,nomal
王宮のお触れ,GS01-JP018,nomal
奈落の落とし穴,GS01-JP019,nomal
死のデッキ破壊ウイルス,GS01-JP020,nomal
