name,card_id,rare
青眼の白龍,HC01-JP001,Ultra
真紅眼の黒竜,HC01-JP002,Ultra
ブラック・マジシャン・ガール,HC01-JP003,Ultra
伝説の剣闘士 カオス・ソルジャー,HC01-JP004,Super
真紅き魂,HC01-JP005,Super
決闘塔アルカトラズ,HC01-JP006,Super
ソウルエナジーＭＡＸ！！,HC01-JP007,Super
青眼の亜白龍,HC01-JP008,nomal
マジシャンズ・ソウルズ,HC01-JP009,nomal
レッドアイズ・インサイト,HC01-JP010,nomal
デュエル・アカデミア,HC01-JP011,Super
Ｗａｋｅ Ｕｐ Ｙｏｕｒ Ｅ・ＨＥＲＯ,HC01-JP012,Super
エヴォリューション・レザルト・バースト,HC01-JP013,Super
救いの架け橋,HC01-JP014,Super
Ｅ・ＨＥＲＯ オネスティ・ネオス,HC01-JP015,nomal
ユベル,HC01-JP016,nomal
キメラテック・オーバー・ドラゴン,HC01-JP017,nomal
究極宝玉神 レインボー・ドラゴン,HC01-JP018,nomal
ライディング・デュエル！アクセラレーション！,HC01-JP019,Super
大いなる魂,HC01-JP020,Super
舞い戻った死神,HC01-JP021,Super
アクセルシンクロ・スターダスト・ドラゴン,HC01-JP022,Super
ジャンク・シンクロン,HC01-JP023,nomal
フォーミュラ・シンクロン,HC01-JP024,nomal
コズミック・ブレイザー・ドラゴン,HC01-JP025,nomal
スカーレッド・スーパーノヴァ・ドラゴン,HC01-JP026,nomal
オーバーレイ・ネットワーク,HC01-JP027,Super
Ｎｏ.３９ 希望皇ホープ・ライジング,HC01-JP028,Super
冀望郷－バリアン－,HC01-JP029,Super
竜皇神話,HC01-JP030,Super
ＦＮｏ.０ 未来龍皇ホープ,HC01-JP031,nomal
ＣＸ 冀望皇バリアン,HC01-JP032,nomal
銀河眼の光子竜,HC01-JP033,nomal
ＥＭ稀代の決闘者,HC01-JP034,Super
歌氷麗月,HC01-JP035,Super
Ｂａｔｔｌｅ Ｒｏｙａｌ Ｍｏｄｅ－Ｊｏｉｎｉｎｇ,HC01-JP036,Super
覇王龍の魂,HC01-JP037,Super
覇王龍ズァーク,HC01-JP038,nomal
覇王眷竜ダークヴルム,HC01-JP039,nomal
幻影騎士団サイレントブーツ,HC01-JP040,nomal
ＳＲベイゴマックス,HC01-JP041,nomal
スターヴ・ヴェノム・フュージョン・ドラゴン,HC01-JP042,nomal
Ｉｎｔｏ ｔｈｅ ＶＲＡＩＮＳ！,HC01-JP043,Super
ファイアウォール・ドラゴン・ダークフルード－ネオテンペスト,HC01-JP044,Super
青い涙の天使,HC01-JP045,Super
運命の囚人,HC01-JP046,Super
アクセスコード・トーカー,HC01-JP047,nomal
リンクリボー,HC01-JP048,nomal
イグニスターＡｉランド,HC01-JP049,nomal
トリックスター・ライトステージ,HC01-JP050,nomal
