name,card_id,rare
誇りと魂の龍,INFO-JP000,Quarter Century Secret
千年の眠りから覚めし原人,INFO-JP001,Super
千年の眠りから覚めし原人,INFO-JP001,Secret
千年の宝を守りしゴーレム,INFO-JP002,nomal
千年王朝の盾,INFO-JP003,nomal
ミレニアムーン・メイデン,INFO-JP004,Rare
ミレニアム・アブソリューター,INFO-JP005,nomal
黒き魔術師－ブラック・マジシャン,INFO-JP006,Ultra
黒き魔術師－ブラック・マジシャン,INFO-JP006,Ultimate
黒き魔術師－ブラック・マジシャン,INFO-JP006,Secret
ギミック・パペット－リトル・ソルジャーズ,INFO-JP007,nomal
ギミック・パペット－ブラッディ・ドール,INFO-JP008,Rare
ギミック・パペット－カトル・スクリーム,INFO-JP009,nomal
光と昇華の竜,INFO-JP010,Rare
闇と消滅の竜,INFO-JP011,Rare
鎧騎士竜－ナイト・アームド・ドラゴン－,INFO-JP012,nomal
白き森のアステーリャ,INFO-JP013,Super
白き森のアステーリャ,INFO-JP013,Secret
白き森のリゼット,INFO-JP014,Super
白き森のリゼット,INFO-JP014,Secret
白き森のシルヴィ,INFO-JP015,nomal
白き森のルシア,INFO-JP016,nomal
魔を刻むデモンスミス,INFO-JP017,Ultra
魔を刻むデモンスミス,INFO-JP017,Ultimate
魔を刻むデモンスミス,INFO-JP017,Secret
蕾禍ノ姫邪眼,INFO-JP018,Rare
幻禄の天盃龍,INFO-JP019,Rare
メメント・スリーピィ,INFO-JP020,nomal
竜騎士アトリィ,INFO-JP021,Super
竜騎士アトリィ,INFO-JP021,Secret
竜輝巧－νＩＩ,INFO-JP022,nomal
至天の魔王ミッシング・バロウズ,INFO-JP023,Ultra
至天の魔王ミッシング・バロウズ,INFO-JP023,Ultimate
至天の魔王ミッシング・バロウズ,INFO-JP023,Secret
祈りの女王－コスモクイーン,INFO-JP024,Rare
シビレルダケ,INFO-JP025,nomal
無孔砲塔－ディセイブラスター,INFO-JP026,nomal
マルチャミー・プルリア,INFO-JP027,Rare
