name,card_id,rare
ＤＺＷ－魔装鵺妖衣,JOTL-JP001,Rare
Ｖサラマンダー,JOTL-JP002,Rare
プリベントマト,JOTL-JP003,nomal
マジック・リサイクラー,JOTL-JP004,nomal
エクシーズ・エージェント,JOTL-JP005,nomal
ＳＤロボ・ライオ,JOTL-JP006,nomal
ＳＤロボ・エレファン,JOTL-JP007,nomal
ＳＤロボ・モンキ,JOTL-JP008,nomal
光天使ウィングス,JOTL-JP009,nomal
光天使ブックス,JOTL-JP010,nomal
光天使ソード,JOTL-JP011,nomal
アンブラル・グール,JOTL-JP012,nomal
アンブラル・アンフォーム,JOTL-JP013,nomal
アンブラル・ウィル・オ・ザ・ウィスプ,JOTL-JP014,nomal
限界竜シュヴァルツシルト,JOTL-JP015,nomal
武神－ヤマト,JOTL-JP016,Super
武神器－ムラクモ,JOTL-JP017,Rare
武神器－ヘツカ,JOTL-JP018,nomal
武神器－タルタ,JOTL-JP019,nomal
武神器－ハバキリ,JOTL-JP020,nomal
武神器－オロチ,JOTL-JP021,nomal
幻獣機ウォーブラン,JOTL-JP022,Rare
幻獣機ブルーインパラス,JOTL-JP023,Rare
幻獣機コルトウィング,JOTL-JP024,nomal
幻獣機ハリアード,JOTL-JP025,nomal
孤炎星－ロシシン,JOTL-JP026,nomal
猛炎星－テンレイ,JOTL-JP027,nomal
魔導天士 トールモンド,JOTL-JP028,Super
トリック・デーモン,JOTL-JP029,Rare
デーモンの騎兵,JOTL-JP030,nomal
戦慄の凶皇－ジェネシス・デーモン,JOTL-JP031,Rare
アトラの蟲惑魔,JOTL-JP032,Rare
トリオンの蟲惑魔,JOTL-JP033,nomal
カズーラの蟲惑魔,JOTL-JP034,nomal
ザ・キャリブレーター,JOTL-JP035,nomal
桜姫タレイア,JOTL-JP036,Super
ぴよコッコ,JOTL-JP037,nomal
カメンレオン,JOTL-JP038,nomal
飛翔するＧ,JOTL-JP039,N-Rare
イエロー・ダストン,JOTL-JP040,N-Rare
幻獣機コンコルーダ,JOTL-JP041,Super
こう炎星－リシュンキ,JOTL-JP042,（「こう」＝網頭に正） Rare
霞鳥クラウソラス,JOTL-JP043,nomal
魔界闘士 バルムンク,JOTL-JP044,Super
幻層の守護者アルマデス,JOTL-JP045,Super
超念導体ビヒーマス,JOTL-JP046,Rare
星態龍,JOTL-JP047,Ultra
星態龍,JOTL-JP047,Ultimate
ＣＮｏ.３９ 希望皇ホープレイ・ヴィクトリー,JOTL-JP048,Ultra
ＣＮｏ.３９ 希望皇ホープレイ・ヴィクトリー,JOTL-JP048,Ultimate
ＣＮｏ.３９ 希望皇ホープレイ・ヴィクトリー,JOTL-JP048,Holographic
牙鮫帝シャーク・カイゼル,JOTL-JP049,Rare
輝光帝ギャラクシオン,JOTL-JP050,Super
廃品眼の太鼓竜,JOTL-JP051,nomal
零鳥姫リオート・ハルピュイア,JOTL-JP052,nomal
Ｎｏ.１０２ 光天使グローリアス・ヘイロー,JOTL-JP053,Rare
Ｎｏ.６６ 覇鍵甲虫マスター・キー・ビートル,JOTL-JP054,Rare
Ｎｏ.１０４ 仮面魔踏士シャイニング,JOTL-JP055,Rare
ＣＮｏ.１０４ 仮面魔踏士アンブラル,JOTL-JP056,Ultra
ＣＮｏ.１０４ 仮面魔踏士アンブラル,JOTL-JP056,Ultimate
武神帝－スサノヲ,JOTL-JP057,Ultra
武神帝－スサノヲ,JOTL-JP057,Ultimate
聖光の宣告者,JOTL-JP058,Super
ＲＵＭ－ヌメロン・フォース,JOTL-JP059,Ultra
ＲＵＭ－ヌメロン・フォース,JOTL-JP059,Ultimate
エクシーズ・レセプション,JOTL-JP060,nomal
異次元の古戦場－サルガッソ,JOTL-JP061,nomal
サルガッソの灯台,JOTL-JP062,nomal
武神降臨,JOTL-JP063,Rare
垂直着陸,JOTL-JP064,nomal
炎舞－「揺光」,JOTL-JP065,nomal
伏魔殿－悪魔の迷宮－,JOTL-JP066,nomal
トランスターン,JOTL-JP067,Rare
黒白の波動,JOTL-JP068,nomal
一点買い,JOTL-JP069,N-Rare
逆さ眼鏡,JOTL-JP070,nomal
エクシーズ・リベンジ・シャッフル,JOTL-JP071,nomal
罪鍵の法－シン・キー・ロウ,JOTL-JP072,nomal
Ｖａｉｎ－裏切りの嘲笑,JOTL-JP073,Rare
剣現する武神,JOTL-JP074,nomal
武神逐,JOTL-JP075,nomal
超音速波,JOTL-JP076,nomal
蟲惑の落とし穴,JOTL-JP077,Super
エクシーズ・リバーサル,JOTL-JP078,nomal
シェイプシスター,JOTL-JP079,Rare
終焉の指名者,JOTL-JP080,N-Rare
