name,card_id,rare
結束と絆の魔導師,LEDE-JP000,Quarter Century Secret
破壊竜ガンドラＧ,LEDE-JP001,Ultra
破壊竜ガンドラＧ,LEDE-JP001,Ultimate
破壊竜ガンドラＧ,LEDE-JP001,Secret
破壊竜ガンドラＧ,LEDE-JP001,Holographic
サイレント・ソードマン・ゼロ,LEDE-JP002,nomal
サイレント・マジシャン・ゼロ,LEDE-JP003,Super
サイレント・マジシャン・ゼロ,LEDE-JP003,Secret
トリコロール・ガジェット,LEDE-JP004,Rare
マシマシュマロン,LEDE-JP005,nomal
古代の機械暗黒巨人,LEDE-JP006,Ultra
古代の機械暗黒巨人,LEDE-JP006,Ultimate
古代の機械暗黒巨人,LEDE-JP006,Secret
古代の機械戦車兵,LEDE-JP007,nomal
古代の機械司令,LEDE-JP008,nomal
幻奏の歌姫ルフラン,LEDE-JP009,Rare
幻奏の歌姫クープレ,LEDE-JP010,nomal
蛇眼の大炎魔,LEDE-JP011,Super
蛇眼の大炎魔,LEDE-JP011,Secret
原罪のディアベルゼ,LEDE-JP012,Ultra
原罪のディアベルゼ,LEDE-JP012,Ultimate
原罪のディアベルゼ,LEDE-JP012,Secret
蕾禍ノ毬首,LEDE-JP013,Rare
蕾禍ノ矢筈天牛,LEDE-JP014,nomal
蕾禍ノ鎧石竜,LEDE-JP015,nomal
天盃龍パイドラ,LEDE-JP016,Super
天盃龍パイドラ,LEDE-JP016,Secret
天盃龍ファドラ,LEDE-JP017,nomal
天盃龍チュンドラ,LEDE-JP018,nomal
ヘルグレイブ・スクワーマー,LEDE-JP019,nomal
ＧＰ－アサシネーター,LEDE-JP020,nomal
竜騎兵ガーゴイルＩＩ,LEDE-JP021,nomal
天魔の聲選姫,LEDE-JP022,Super
天魔の聲選姫,LEDE-JP022,Secret
光道の龍,LEDE-JP023,nomal
ライトロード・デーモン ヴァイス,LEDE-JP024,nomal
ワイトロード,LEDE-JP025,nomal
鋼鉄の大魔人ゴルゴイル,LEDE-JP026,nomal
月牙龍－クレセント・ドラゴン,LEDE-JP027,Rare
タロンズ・オブ・シュリーレン,LEDE-JP028,Rare
幻惑の見習い魔術師,LEDE-JP029,Ultra
幻惑の見習い魔術師,LEDE-JP029,Ultimate
幻惑の見習い魔術師,LEDE-JP029,Secret
ディノベーダー・ドクス,LEDE-JP030,nomal
円喚妖精キクロス,LEDE-JP031,nomal
フィッシュボーグ－ハープナー,LEDE-JP032,Rare
冷える火,LEDE-JP033,N-Rare
粛声なる竜神サフィラ,LEDE-JP034,Rare
幻奏の音姫スペクタキュラー・バッハ,LEDE-JP035,Rare
幻奏の華歌神フラワリング・エトワール,LEDE-JP036,Super
幻奏の華歌神フラワリング・エトワール,LEDE-JP036,Secret
メメント・ツイン・ドラゴン,LEDE-JP037,Rare
神光の龍,LEDE-JP038,Super
神光の龍,LEDE-JP038,Secret
燦幻昇龍バイデント・ドラギオン,LEDE-JP039,Rare
燦幻超龍トランセンド・ドラギオン,LEDE-JP040,Ultra
燦幻超龍トランセンド・ドラギオン,LEDE-JP040,Ultimate
燦幻超龍トランセンド・ドラギオン,LEDE-JP040,Secret
ＧＰ－アニヒレーター,LEDE-JP041,Super
ＧＰ－アニヒレーター,LEDE-JP041,Secret
騎士皇アークシーラ,LEDE-JP042,Super
騎士皇アークシーラ,LEDE-JP042,Secret
ライトロード・アテナ ミネルバ,LEDE-JP043,Ultra
ライトロード・アテナ ミネルバ,LEDE-JP043,Ultimate
ライトロード・アテナ ミネルバ,LEDE-JP043,Secret
百鬼羅刹 グリアーレ三傑,LEDE-JP044,nomal
終戒超獸－ヴァルドラス,LEDE-JP045,Ultra
終戒超獸－ヴァルドラス,LEDE-JP045,Ultimate
終戒超獸－ヴァルドラス,LEDE-JP045,Secret
怒小児様,LEDE-JP046,N-Rare
蕾禍ノ武者髑髏,LEDE-JP047,Rare
蕾禍ノ御拝神主,LEDE-JP048,nomal
蕾禍ノ鎖蛇巳,LEDE-JP049,Super
蕾禍ノ鎖蛇巳,LEDE-JP049,Secret
蕾禍ノ大王鬼牙,LEDE-JP050,Ultra
蕾禍ノ大王鬼牙,LEDE-JP050,Ultimate
蕾禍ノ大王鬼牙,LEDE-JP050,Secret
光の黄金櫃,LEDE-JP051,Ultra
光の黄金櫃,LEDE-JP051,Ultimate
光の黄金櫃,LEDE-JP051,Secret
時の沈黙－ターン・サイレンス,LEDE-JP052,nomal
仲間の絆,LEDE-JP053,Rare
未来への沈黙,LEDE-JP054,Rare
古代の進軍,LEDE-JP055,Rare
幻奏協奏曲,LEDE-JP056,nomal
罪宝合戦,LEDE-JP057,nomal
蕾禍繚乱狂咲,LEDE-JP058,nomal
盃満ちる燦幻荘,LEDE-JP059,Rare
燦幻開門,LEDE-JP060,nomal
ナイトメア・スローン,LEDE-JP061,Super
ナイトメア・スローン,LEDE-JP061,Secret
粛声なる祝福,LEDE-JP062,nomal
冥骸融合－メメント・フュージョン,LEDE-JP063,nomal
ウェイクアップ・センチュリオン！,LEDE-JP064,nomal
ヴァルモニカ・インヴィターレ,LEDE-JP065,nomal
ヴァルモニカ・ディサルモニア,LEDE-JP066,nomal
仇すれば通図,LEDE-JP067,nomal
ブリンクアウト,LEDE-JP068,Rare
共界神淵体,LEDE-JP069,Super
共界神淵体,LEDE-JP069,Secret
雪沓の 跡追うひとつ またひとつ,LEDE-JP070,nomal
隠し砦 ストロング・ホールド,LEDE-JP071,nomal
古代の機械競闘,LEDE-JP072,nomal
百鬼羅刹大重畳,LEDE-JP073,nomal
廻る罪宝,LEDE-JP074,Rare
微睡の罪宝－モーリアン,LEDE-JP075,nomal
蕾禍大輪首狩舞,LEDE-JP076,nomal
ライトロード・アイギス,LEDE-JP077,nomal
幻惑のバリア －ミラージュフォース－,LEDE-JP078,Rare
地縛死霊ゾーマ,LEDE-JP079,Rare
連慄砲固定式,LEDE-JP080,N-Rare
破壊竜ガンドラ,LEDE-JPS01,Quarter Century Secret
