name,card_id,rare
ホワイト・ダストン,LVAL-JP001,N-Rare
ＺＷ－阿修羅副腕,LVAL-JP002,Rare
ギラギランサー,LVAL-JP003,nomal
虹クリボー,LVAL-JP004,Super
オーバーレイ・スナイパー,LVAL-JP005,nomal
オーバーレイ・ブースター,LVAL-JP006,nomal
フォトン・チャージマン,LVAL-JP007,nomal
先史遺産モアイキャリア,LVAL-JP008,nomal
先史遺産ウィングス・スフィンクス,LVAL-JP009,nomal
ディープ・スペース・クルーザー・ナイン,LVAL-JP010,nomal
ゴルゴニック・ゴーレム,LVAL-JP011,nomal
ゴルゴニック・ガーゴイル,LVAL-JP012,nomal
ゴルゴニック・グール,LVAL-JP013,nomal
ゴルゴニック・ケルベロス,LVAL-JP014,nomal
森羅の実張り ピース,LVAL-JP015,Rare
森羅の影胞子 ストール,LVAL-JP016,nomal
森羅の水先 リーフ,LVAL-JP017,nomal
森羅の花卉士 ナルサス,LVAL-JP018,nomal
森羅の番人 オーク,LVAL-JP019,nomal
森羅の仙樹 レギア,LVAL-JP020,Rare
ゴーストリック・フロスト,LVAL-JP021,nomal
ゴーストリック・マリー,LVAL-JP022,Rare
ゴーストリックの猫娘,LVAL-JP023,nomal
ゴーストリック・スケルトン,LVAL-JP024,nomal
ゴーストリック・マミー,LVAL-JP025,nomal
武神－アラスダ,LVAL-JP026,Super
武神器－ヤサカニ,LVAL-JP027,Rare
武神器－ヤツカ,LVAL-JP028,nomal
武神器－オキツ,LVAL-JP029,nomal
武神器－サグサ,LVAL-JP030,Rare
墓守の使徒,LVAL-JP031,nomal
墓守の伏兵,LVAL-JP032,nomal
墓守の祈祷師,LVAL-JP033,nomal
墓守の審神者,LVAL-JP034,Super
幻妖種ミトラ,LVAL-JP035,nomal
森の聖獣 カラントーサ,LVAL-JP036,nomal
和魂,LVAL-JP037,Rare
暗黒ブラキ,LVAL-JP038,nomal
紅姫チルビメ,LVAL-JP039,Super
凍氷帝メビウス,LVAL-JP040,Rare
霊水鳥シレーヌ・オルカ,LVAL-JP041,nomal
エクシーズ・アヴェンジャー,LVAL-JP042,Rare
タックルセイダー,LVAL-JP043,nomal
アドバンス・ディボーター,LVAL-JP044,N-Rare
光子竜の聖騎士,LVAL-JP045,Rare
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,LVAL-JP046,Ultra
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,LVAL-JP046,Ultimate
ＣＮｏ.１０１ Ｓ・Ｈ・Ｄａｒｋ Ｋｎｉｇｈｔ,LVAL-JP046,Holographic
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,LVAL-JP047,Ultra
Ｎｏ.１０１ Ｓ・Ｈ・Ａｒｋ Ｋｎｉｇｈｔ,LVAL-JP047,Ultimate
Ｎｏ.３９ 希望皇ホープ・ルーツ,LVAL-JP048,Ultra
Ｎｏ.３９ 希望皇ホープ・ルーツ,LVAL-JP048,Ultimate
ＣＮｏ.６９ 紋章死神カオス・オブ・アームズ,LVAL-JP049,Rare
ＣＮｏ.９２ 偽骸虚龍 Ｈｅａｒｔ－ｅａｒｔＨ Ｃｈａｏｓ Ｄｒａｇｏｎ,LVAL-JP050,Rare
ゴルゴニック・ガーディアン,LVAL-JP051,nomal
森羅の守神 アルセイ,LVAL-JP052,Super
ゴーストリック・デュラハン,LVAL-JP053,Super
武神帝－ツクヨミ,LVAL-JP054,Ultra
武神帝－ツクヨミ,LVAL-JP054,Ultimate
妖精騎士イングナル,LVAL-JP055,nomal
励輝士 ヴェルズビュート,LVAL-JP056,Super
ダウナード・マジシャン,LVAL-JP057,Super
神樹の守護獣－牙王,LVAL-JP058,Rare
ＲＵＭ－アストラル・フォース,LVAL-JP059,Ultra
ＲＵＭ－アストラル・フォース,LVAL-JP059,Ultimate
ＲＤＭ－ヌメロン・フォール,LVAL-JP060,Rare
エクシーズ・シフト,LVAL-JP061,nomal
光子竜降臨,LVAL-JP062,nomal
森羅の霊峰,LVAL-JP063,nomal
ゴーストリック・ミュージアム,LVAL-JP064,Rare
武神集結,LVAL-JP065,nomal
ネクロバレーの祭殿,LVAL-JP066,nomal
オノマト連携,LVAL-JP067,Super
エクシーズ・オーバーライド,LVAL-JP068,nomal
実力伯仲,LVAL-JP069,nomal
相乗り,LVAL-JP070,N-Rare
リリース・リバース・バースト,LVAL-JP071,Rare
パージ・レイ,LVAL-JP072,nomal
森羅の恵み,LVAL-JP073,nomal
ゴーストリック・ロールシフト,LVAL-JP074,nomal
璽律する武神,LVAL-JP075,nomal
ネクロバレーの王墓,LVAL-JP076,nomal
帝王の凍志,LVAL-JP077,nomal
スキル・プリズナー,LVAL-JP078,Rare
戦友の誓い,LVAL-JP079,nomal
ダストンローラー,LVAL-JP080,N-Rare
先史遺産ネブラ・ディスク,LVAL-JP081,nomal
Ｎｏ.３６ 先史遺産－超機関フォーク＝ヒューク,LVAL-JP082,Rare
紋章獣アンフィスバエナ,LVAL-JP083,nomal
Ｎｏ.１８ 紋章祖プレイン・コート,LVAL-JP084,Rare
昇華する紋章,LVAL-JP085,nomal
