name,card_id,rare
ブラック・マジシャン,LGB1-JPS01,Premium Gold
青眼の白龍,LGB1-JPS02,Premium Gold
真紅眼の黒竜,LGB1-JPS03,Premium Gold
超魔導竜騎士－ドラグーン・オブ・レッドアイズ,LGB1-JP001,Ultra
ティマイオスの眼,LGB1-JP002,nomal
真紅眼融合,LGB1-JP003,nomal
永遠の魂,LGB1-JP004,nomal
深淵の青眼龍,LGB1-JP005,Ultra
白き霊龍,LGB1-JP006,nomal
青き眼の賢士,LGB1-JP007,nomal
青き眼の威光,LGB1-JP008,nomal
Ｅ・ＨＥＲＯ ネオス・クルーガー,LGB1-JP009,Ultra
ネオス・ワイズマン,LGB1-JP010,nomal
ユベル,LGB1-JP011,nomal
Ｅ・ＨＥＲＯ ソリッドマン,LGB1-JP012,nomal
究極宝玉獣 レインボー・ドラゴン,LGB1-JP013,Ultra
レインボー・ネオス,LGB1-JP014,nomal
レア・ヴァリュー,LGB1-JP015,nomal
アドバンスド・ダーク,LGB1-JP016,nomal
シューティング・スター・ドラゴン・ＴＧ－ＥＸ,LGB1-JP017,Ultra
フォーミュラ・シンクロン,LGB1-JP018,nomal
シューティング・ライザー・ドラゴン,LGB1-JP019,nomal
ＴＧ ハイパー・ライブラリアン,LGB1-JP020,nomal
スカーレッド・スーパーノヴァ・ドラゴン,LGB1-JP021,Ultra
スカーレッド・ノヴァ・ドラゴン,LGB1-JP022,nomal
レッド・デーモンズ・ドラゴン,LGB1-JP023,nomal
コール・リゾネーター,LGB1-JP024,nomal
ＦＮｏ.０ 未来龍皇ホープ,LGB1-JP025,Ultra
Ｎｏ.９９ 希望皇龍ホープドラグーン,LGB1-JP026,nomal
ＳＮｏ.３９ 希望皇ホープＯＮＥ,LGB1-JP027,nomal
ガガガガンマン,LGB1-JP028,nomal
銀河眼の残光竜,LGB1-JP029,Ultra
銀河眼の光子竜,LGB1-JP030,nomal
Ｎｏ.６２ 銀河眼の光子竜皇,LGB1-JP031,nomal
フォトン・サンクチュアリ,LGB1-JP032,nomal
覇王黒竜オッドアイズ・リベリオン・ドラゴン－オーバーロード,LGB1-JP033,Ultra
覇王黒竜オッドアイズ・リベリオン・ドラゴン,LGB1-JP034,nomal
相克の魔術師,LGB1-JP035,nomal
相生の魔術師,LGB1-JP036,nomal
ＤＤＤ死謳王バイス・レクイエム,LGB1-JP037,Ultra
ＤＤＤ壊薙王アビス・ラグナロク,LGB1-JP038,nomal
ＤＤ魔導賢者ケプラー,LGB1-JP039,nomal
地獄門の契約書,LGB1-JP040,nomal
デコード・トーカー・ヒートソウル,LGB1-JP041,Ultra
エクスコード・トーカー,LGB1-JP042,nomal
フレイム・バッファロー,LGB1-JP043,nomal
サイバネット・バックドア,LGB1-JP044,nomal
ヴァレルエンド・ドラゴン,LGB1-JP045,Ultra
ヴァレルロード・Ｓ・ドラゴン,LGB1-JP046,nomal
トポロジック・ボマー・ドラゴン,LGB1-JP047,nomal
トポロジック・トゥリスバエナ,LGB1-JP048,nomal
