name,card_id,rare
オネスト,LODT-JP001,Ultra
オネスト,LODT-JP001,Ultimate
オネスト,LODT-JP001,Holographic
クロス・ポーター,LODT-JP002,nomal
ミラクル・フリッパー,LODT-JP003,nomal
Ｄ－ＨＥＲＯ ドレッドサーヴァント,LODT-JP004,nomal
ヴォルカニック・クイーン,LODT-JP005,nomal
人造人間－サイコ・リターナー,LODT-JP006,Rare
人造人間－サイコ・ロード,LODT-JP007,Super
アルカナフォース０－ＴＨＥ ＦＯＯＬ,LODT-JP008,nomal
アルカナフォースＩ－ＴＨＥ ＭＡＧＩＣＩＡＮ,LODT-JP009,nomal
アルカナフォースＩＩＩ－ＴＨＥ ＥＭＰＲＥＳＳ,LODT-JP010,nomal
アルカナフォースＩＶ－ＴＨＥ ＥＭＰＥＲＯＲ,LODT-JP011,nomal
アルカナフォースＶＩ－ＴＨＥ ＬＯＶＥＲＳ,LODT-JP012,nomal
アルカナフォースＶＩＩ－ＴＨＥ ＣＨＡＲＩＯＴ,LODT-JP013,nomal
アルカナフォースＸＩＶ－ＴＥＭＰＥＲＡＮＣＥ,LODT-JP014,Rare
アルカナフォースＸＶＩＩＩ－ＴＨＥ ＭＯＯＮ,LODT-JP015,nomal
アルカナフォースＸＸＩ－ＴＨＥ ＷＯＲＬＤ,LODT-JP016,Super
アルカナフォースＥＸ－ＴＨＥ ＤＡＲＫ ＲＵＬＥＲ,LODT-JP017,Ultra
アルカナフォースＥＸ－ＴＨＥ ＤＡＲＫ ＲＵＬＥＲ,LODT-JP017,Ultimate
ライトロード・パラディン ジェイン,LODT-JP018,nomal
ライトロード・マジシャン ライラ,LODT-JP019,Super
ライトロード・ウォリアー ガロス,LODT-JP020,nomal
ライトロード・サモナー ルミナス,LODT-JP021,nomal
ライトロード・ハンター ライコウ,LODT-JP022,Normal
ライトロード・ハンター ライコウ,LODT-JP022,N-Parallel
ライトロード・ビースト ウォルフ,LODT-JP023,nomal
ライトロード・エンジェル ケルビム,LODT-JP024,Super
ライトロード・ドラゴン グラゴニス,LODT-JP025,nomal
裁きの龍,LODT-JP026,Ultra
裁きの龍,LODT-JP026,Ultimate
ダーク・ヴァルキリア,LODT-JP027,Rare
イレカエル,LODT-JP028,Rare
貫ガエル,LODT-JP029,nomal
充電池メン,LODT-JP030,nomal
電池メン－業務用,LODT-JP031,Rare
電池メン－ボタン型,LODT-JP032,Rare
ゴブリン偵察部隊,LODT-JP033,Rare
惑星からの物体Ａ,LODT-JP034,nomal
ディスクライダー,LODT-JP035,Super
黄金の天道虫,LODT-JP036,N-Rare
ダッカー,LODT-JP037,Super
ワイト夫人,LODT-JP038,nomal
始祖神鳥シムルグ,LODT-JP039,Rare
雲魔物－ストーム・ドラゴン,LODT-JP040,nomal
ファントム・ドラゴン,LODT-JP041,Super
Ｄｒａｇｏｏｎ Ｄ－ＥＮＤ,LODT-JP042,Ultra
Ｄｒａｇｏｏｎ Ｄ－ＥＮＤ,LODT-JP042,Ultimate
古代の機械究極巨人,LODT-JP043,Ultra
古代の機械究極巨人,LODT-JP043,Ultimate
剣闘獣ガイザレス,LODT-JP044,nomal
ヒーロー・マスク,LODT-JP045,nomal
スペーシア・ギフト,LODT-JP046,nomal
終焉の地,LODT-JP047,Rare
Ｄ－フォーメーション,LODT-JP048,nomal
魔法の歯車,LODT-JP049,nomal
カップ・オブ・エース,LODT-JP050,nomal
光の結界,LODT-JP051,Rare
ソーラー・エクスチェンジ,LODT-JP052,nomal
ジャスティス・ワールド,LODT-JP053,Rare
湿地草原,LODT-JP054,nomal
急速充電器,LODT-JP055,nomal
漏電,LODT-JP056,Rare
救援光,LODT-JP057,Super
閃光の宝札,LODT-JP058,nomal
能力調整,LODT-JP059,nomal
デッキロック,LODT-JP060,nomal
リボーンリボン,LODT-JP061,N-Rare
黄金色の竹光,LODT-JP062,N-Rare
リミット・リバース,LODT-JP063,Super
ヒーロー・ブラスト,LODT-JP064,Rare
虹の引力,LODT-JP065,nomal
Ｄ－フォーチュン,LODT-JP066,Rare
逆転する運命,LODT-JP067,Rare
死神の巡遊,LODT-JP068,nomal
アルカナコール,LODT-JP069,nomal
ライト・リサイレンス,LODT-JP070,nomal
閃光のイリュージョン,LODT-JP071,nomal
デストラクション・ジャマー,LODT-JP072,Rare
フロッグ・バリア,LODT-JP073,Rare
携帯型バッテリー,LODT-JP074,nomal
グラディアル・チェンジ,LODT-JP075,nomal
アグレッシブ・クラウディアン,LODT-JP076,nomal
血の沼地,LODT-JP077,nomal
ラッキー・チャンス！,LODT-JP078,nomal
サモンリミッター,LODT-JP079,Rare
ダイスインパクト,LODT-JP080,N-Rare
