name,card_id,rare
ダブルバイト・ドラゴン,LVB1-JP001,Ultra
フォーマッド・スキッパー,LVB1-JP002,Ultra
プロキシー・ドラゴン,LVB1-JP003,Ultra
バックアップ・セクレタリー,LVB1-JP004,Ultra
スタック・リバイバー,LVB1-JP005,Ultra
トリックスター・フォクシーウィッチ,LVB1-JP006,Ultra
トリックスター・マジカローラ,LVB1-JP007,Ultra
トリックスター・リリーベル,LVB1-JP008,Ultra
トリックスター・マンジュシカ,LVB1-JP009,Ultra
トリックスター・キャンディナ,LVB1-JP010,Ultra
剛鬼ジェット・オーガ,LVB1-JP011,Ultra
剛鬼死闘,LVB1-JP012,Ultra
剛鬼ツイストコブラ,LVB1-JP013,Ultra
剛鬼スープレックス,LVB1-JP014,Ultra
剛鬼再戦,LVB1-JP015,Ultra
ブースター・ドラゴン,LVB1-JP016,Ultra
タクティカル・エクスチェンバー,LVB1-JP017,Ultra
マグナヴァレット・ドラゴン,LVB1-JP018,Ultra
スクイブ・ドロー,LVB1-JP019,Ultra
リボルブート・セクター,LVB1-JP020,Ultra
ファイアウォール・ドラゴン,LVB1-JPS01,Secret
トリックスター・ホーリーエンジェル,LVB1-JPS02,Secret
剛鬼ザ・グレート・オーガ,LVB1-JPS03,Secret
ヴァレルロード・ドラゴン,LVB1-JPS04,Secret
ダブルバイト・ドラゴン,LVB1-JP001,Ultra
フォーマッド・スキッパー,LVB1-JP002,Ultra
プロキシー・ドラゴン,LVB1-JP003,Ultra
バックアップ・セクレタリー,LVB1-JP004,Ultra
スタック・リバイバー,LVB1-JP005,Ultra
トリックスター・フォクシーウィッチ,LVB1-JP006,Ultra
トリックスター・マジカローラ,LVB1-JP007,Ultra
トリックスター・リリーベル,LVB1-JP008,Ultra
トリックスター・マンジュシカ,LVB1-JP009,Ultra
トリックスター・キャンディナ,LVB1-JP010,Ultra
剛鬼ジェット・オーガ,LVB1-JP011,Ultra
剛鬼死闘,LVB1-JP012,Ultra
剛鬼ツイストコブラ,LVB1-JP013,Ultra
剛鬼スープレックス,LVB1-JP014,Ultra
剛鬼再戦,LVB1-JP015,Ultra
ブースター・ドラゴン,LVB1-JP016,Ultra
タクティカル・エクスチェンバー,LVB1-JP017,Ultra
マグナヴァレット・ドラゴン,LVB1-JP018,Ultra
スクイブ・ドロー,LVB1-JP019,Ultra
リボルブート・セクター,LVB1-JP020,Ultra
ファイアウォール・ドラゴン,LVB1-JPS01,Secret
トリックスター・ホーリーエンジェル,LVB1-JPS02,Secret
剛鬼ザ・グレート・オーガ,LVB1-JPS03,Secret
ヴァレルロード・ドラゴン,LVB1-JPS04,Secret
