name,card_id,rare
コード・エクスポーター,LVDS-JPA01,Ultra
ブルートエンフォーサー,LVDS-JPA02,Ultra
転生炎獣ブレイズ・ドラゴン,LVDS-JPA03,Ultra
ベイオネット・パニッシャー,LVDS-JPA04,Ultra
トリックスター・フェス,LVDS-JPA05,Ultra
海晶乙女パスカルス,LVDS-JPA06,Ultra
剛鬼フィニッシュホールド,LVDS-JPA07,Ultra
ダイナレスラー・イグアノドラッカ,LVDS-JPA08,Ultra
オルターガイスト・フェイルオーバー,LVDS-JPA09,Ultra
ティンダングル・ジレルス,LVDS-JPA10,Ultra
コード・トーカー,LVDS-JPB01,Super
ドットスケーパー,LVDS-JPB02,Super
転生炎獣の聖域,LVDS-JPB03,Super
ヴァレルソード・ドラゴン,LVDS-JPB04,Super
トリックスター・リンカーネイション,LVDS-JPB05,Super
海晶乙女コーラルアネモネ,LVDS-JPB06,Super
剛鬼ヘッドバット,LVDS-JPB07,Super
ダイナレスラー・システゴ,LVDS-JPB08,Super
オルターガイスト・メリュシーク,LVDS-JPB09,Super
ティンダングル・ドロネー,LVDS-JPB10,Super
コード・エクスポーター,LVDS-JPA01,Ultra
ブルートエンフォーサー,LVDS-JPA02,Ultra
転生炎獣ブレイズ・ドラゴン,LVDS-JPA03,Ultra
ベイオネット・パニッシャー,LVDS-JPA04,Ultra
トリックスター・フェス,LVDS-JPA05,Ultra
海晶乙女パスカルス,LVDS-JPA06,Ultra
剛鬼フィニッシュホールド,LVDS-JPA07,Ultra
ダイナレスラー・イグアノドラッカ,LVDS-JPA08,Ultra
オルターガイスト・フェイルオーバー,LVDS-JPA09,Ultra
ティンダングル・ジレルス,LVDS-JPA10,Ultra
コード・トーカー,LVDS-JPB01,Super
ドットスケーパー,LVDS-JPB02,Super
転生炎獣の聖域,LVDS-JPB03,Super
ヴァレルソード・ドラゴン,LVDS-JPB04,Super
トリックスター・リンカーネイション,LVDS-JPB05,Super
海晶乙女コーラルアネモネ,LVDS-JPB06,Super
剛鬼ヘッドバット,LVDS-JPB07,Super
ダイナレスラー・システゴ,LVDS-JPB08,Super
オルターガイスト・メリュシーク,LVDS-JPB09,Super
ティンダングル・ドロネー,LVDS-JPB10,Super
