name,card_id,rare
バチバチバチ,LTGY-JP001,nomal
ゴゴゴギガース,LTGY-JP002,Rare
ミミミック,LTGY-JP003,nomal
ドテドテング,LTGY-JP004,nomal
タタカワナイト,LTGY-JP005,nomal
リトル・フェアリー,LTGY-JP006,nomal
シャークラーケン,LTGY-JP007,nomal
ビッグ・ホエール,LTGY-JP008,Rare
スターフィッシュ,LTGY-JP009,nomal
パンサー・シャーク,LTGY-JP010,nomal
イーグル・シャーク,LTGY-JP011,nomal
ブリザード・ファルコン,LTGY-JP012,Rare
オーロラ・ウィング,LTGY-JP013,nomal
半月竜ラディウス,LTGY-JP014,nomal
星間竜パーセク,LTGY-JP015,nomal
ＢＫ ヘッドギア,LTGY-JP016,nomal
ＢＫ グラスジョー,LTGY-JP017,nomal
ＢＫ スパー,LTGY-JP018,nomal
ＢＫ スイッチヒッター,LTGY-JP019,Rare
ＢＫ カウンターブロー,LTGY-JP020,nomal
幻獣機メガラプター,LTGY-JP021,Rare
幻獣機テザーウルフ,LTGY-JP022,Rare
幻獣機ブラックファルコン,LTGY-JP023,nomal
幻獣機レイステイルス,LTGY-JP024,nomal
幻獣機ハムストラット,LTGY-JP025,nomal
傷炎星－ウルブショウ,LTGY-JP026,nomal
速炎星－タイヒョウ,LTGY-JP027,Rare
空炎星－サイチョウ,LTGY-JP028,nomal
殺炎星－ブルキ,LTGY-JP029,nomal
水精鱗－オーケアビス,LTGY-JP030,nomal
魔導獣士 ルード,LTGY-JP031,nomal
マドルチェ・ホーットケーキ,LTGY-JP032,nomal
真海皇 トライドン,LTGY-JP033,nomal
炎王獣 ガルドニクス,LTGY-JP034,nomal
ハーピィ・チャネラー,LTGY-JP035,Rare
虚空の騎士,LTGY-JP036,Rare
風霊神ウィンドローズ,LTGY-JP037,Super
巌征竜－レドックス,LTGY-JP038,Super
瀑征竜－タイダル,LTGY-JP039,Super
焔征竜－ブラスター,LTGY-JP040,Super
嵐征竜－テンペスト,LTGY-JP041,Super
調星師ライズベルト,LTGY-JP042,N-Rare
グリーン・ダストン,LTGY-JP043,N-Rare
Ｎｏ.１０７ 銀河眼の時空竜,LTGY-JP044,Ultra
Ｎｏ.１０７ 銀河眼の時空竜,LTGY-JP044,Ultimate
Ｎｏ.１０７ 銀河眼の時空竜,LTGY-JP044,Holographic
ガントレット・シューター,LTGY-JP045,Super
フェアリー・チア・ガール,LTGY-JP046,Rare
ＣＸ ダーク・フェアリー・チア・ガール,LTGY-JP047,Super
シャーク・フォートレス,LTGY-JP048,nomal
零鳥獣シルフィーネ,LTGY-JP049,Super
ＢＫ 拘束蛮兵リードブロー,LTGY-JP050,nomal
Ｎｏ.１０５ ＢＫ 流星のセスタス,LTGY-JP051,Ultra
Ｎｏ.１０５ ＢＫ 流星のセスタス,LTGY-JP051,Ultimate
ＣＮｏ.１０５ ＢＫ 彗星のカエストス,LTGY-JP052,Ultra
ＣＮｏ.１０５ ＢＫ 彗星のカエストス,LTGY-JP052,Ultimate
幻獣機ドラゴサック,LTGY-JP053,Ultra
幻獣機ドラゴサック,LTGY-JP053,Ultimate
間炎星－コウカンショウ,LTGY-JP054,Rare
ハーピィズペット幻竜,LTGY-JP055,Rare
キングレムリン,LTGY-JP056,nomal
ガガガウィンド,LTGY-JP057,nomal
最強の盾,LTGY-JP058,nomal
エクシーズ・リベンジ,LTGY-JP059,Rare
ＲＵＭ－バリアンズ・フォース,LTGY-JP060,Ultra
ＲＵＭ－バリアンズ・フォース,LTGY-JP060,Ultimate
緊急発進,LTGY-JP061,Rare
炎舞－「玉衝」,LTGY-JP062,nomal
魔導書の神判,LTGY-JP063,nomal
アビスケイル－ミヅチ,LTGY-JP064,nomal
ヒステリック・サイン,LTGY-JP065,Rare
七星の宝刀,LTGY-JP066,Super
星邪の神喰,LTGY-JP067,nomal
サモンブレーカー,LTGY-JP068,N-Rare
ピンポイント・ガード,LTGY-JP069,Rare
もの忘れ,LTGY-JP070,nomal
激流蘇生,LTGY-JP071,Rare
エクシーズ・ブロック,LTGY-JP072,nomal
空中補給,LTGY-JP073,nomal
弾幕回避,LTGY-JP074,nomal
炎舞－「開陽」,LTGY-JP075,nomal
魔導人形の夜,LTGY-JP076,nomal
ギアギアギア,LTGY-JP077,nomal
燃え上がる大海,LTGY-JP078,nomal
メンタルドレイン,LTGY-JP079,Rare
牙竜転生,LTGY-JP080,N-Rare
