name,card_id,rare
絵画に潜む者,LN-01,nomal
夢魔の亡霊,LN-02,nomal
首なし騎士,LN-03,nomal
地縛霊,LN-04,Super
死霊伯爵,LN-05,nomal
ボーンハイマー,LN-06,nomal
フレイムダンサー,LN-07,nomal
スフィラスレディ,LN-08,nomal
雷ウナギ,LN-09,nomal
昇霊術師 ジョウゲン,LN-10,nomal
霊滅術師 カイクウ,LN-11,nomal
幻想召喚師,LN-12,nomal
魂を喰らう者 バズー,LN-13,nomal
ダーク・ネクロフィア,LN-14,Ultra
ダーク・ネクロフィア,LN-14,Ultimate
神聖なる魂,LN-15,nomal
炎の精霊 イフリート,LN-16,nomal
水の精霊 アクエリア,LN-17,nomal
岩の精霊 タイタン,LN-18,nomal
風の精霊 ガルーダ,LN-19,nomal
俊足のギラザウルス,LN-20,nomal
トルネード・バード,LN-21,nomal
幻影の妖精,LN-22,nomal
ダーク・ヒーロー ゾンバイア,LN-23,N-Rare
物資調達員,LN-24,nomal
魔力吸収球体,LN-25,nomal
異星の最終戦士,LN-26,Ultra
異星の最終戦士,LN-26,Parallel
力の集約,LN-27,nomal
沈黙の邪悪霊,LN-28,Rare
王宮の号令,LN-29,Super
フォースフィールド,LN-30,Super
死霊の巣,LN-31,nomal
墓荒らしの報い,LN-32,nomal
守護霊のお守り,LN-33,nomal
カウンターパンチ,LN-34,nomal
無差別破壊,LN-35,nomal
裸の王様,LN-36,nomal
ウィジャ盤,LN-37,Ultra
ウィジャ盤,LN-37,Parallel
死のメッセージ「Ｅ」,LN-38,Rare
死のメッセージ「Ａ」,LN-39,Rare
死のメッセージ「Ｔ」,LN-40,Rare
死のメッセージ「Ｈ」,LN-41,Rare
暗黒の扉,LN-42,nomal
ポルターガイスト,LN-43,Rare
サイクロンレーザー,LN-44,nomal
おとり人形,LN-45,nomal
融合解除,LN-46,Super
フュージョン・ゲート,LN-47,nomal
疫病ウィルス ブラックダスト,LN-48,nomal
奇跡の発掘,LN-49,nomal
竜魂の力,LN-50,nomal
霊魂消滅,LN-51,nomal
怨霊の湿地帯,LN-52,nomal
ブラック・マジシャン,LN-53,Ultimate
