name,card_id,rare
ラーの翼神竜－不死鳥,MP01-JP001,Secret
獄炎のカース・オブ・ドラゴン,MP01-JP002,Ultra
ホールディング・アームズ,MP01-JP003,Ultra
ホールディング・レッグス,MP01-JP004,Ultra
混沌帝龍 －終焉の使者－,MP01-JP005,nomal
カオス・ソルジャー －開闢の使者－,MP01-JP006,nomal
超電磁タートル,MP01-JP007,nomal
破壊竜ガンドラ,MP01-JP008,nomal
ギルフォード・ザ・ライトニング,MP01-JP009,nomal
究極封印神エクゾディオス,MP01-JP010,nomal
サクリファイス,MP01-JP011,nomal
闇の支配者－ゾーク,MP01-JP012,nomal
天翔の竜騎士ガイア,MP01-JP013,Secret
ブラック・デーモンズ・ドラゴン,MP01-JP014,nomal
Ｆ・Ｇ・Ｄ,MP01-JP015,nomal
造反劇,MP01-JP016,Ultra
命削りの宝札,MP01-JP017,Ultra
左腕の代償,MP01-JP018,Ultra
真実の名,MP01-JP019,Ultra
ピースの輪,MP01-JP020,nomal
収縮,MP01-JP021,nomal
スケープ・ゴート,MP01-JP022,nomal
ハーピィの羽根帚,MP01-JP023,nomal
イリュージョンの儀式,MP01-JP024,nomal
闇の支配者との契約,MP01-JP025,nomal
串刺しの落とし穴,MP01-JP026,Ultra
黒魔族復活の棺,MP01-JP027,nomal
ブラック・イリュージョン,MP01-JP028,nomal
破壊輪,MP01-JP029,nomal
拷問車輪,MP01-JP030,nomal
