name,card_id,rare
ペンギン・ナイト,MR-01,nomal
デーモンの斧,MR-02,Super
黒いペンダント,MR-03,Rare
光の角,MR-04,nomal
悪魔のくちづけ,MR-05,nomal
六芒星の呪縛,MR-06,Ultra
六芒星の呪縛,MR-06,Parallel
メタル・フィッシュ,MR-07,nomal
エレクトリック・スネーク,MR-08,nomal
クイーン・バード,MR-09,nomal
アメーバ,MR-10,nomal
クジャック,MR-11,nomal
マハー・ヴァイロ,MR-12,nomal
王室前のガーディアン,MR-13,nomal
ファイヤー・クラーケン,MR-14,nomal
イビー,MR-15,nomal
グリグル,MR-16,nomal
レッド・ドラゴン,MR-17,nomal
深き森の長老,MR-18,nomal
ヴァルキリー,MR-19,nomal
ウェザー・レポート,MR-20,nomal
メカニカルスネイル,MR-21,nomal
炎を食らう大亀,MR-22,nomal
リクイド・ビースト,MR-23,nomal
悪魔の偵察者,MR-24,Super
満ち潮のマーマン,MR-25,nomal
王座の侵略者,MR-26,Super
ウィップテイル・ガーゴイル,MR-27,nomal
スロットマシーンＡＭ－７,MR-28,Ultra
スロットマシーンＡＭ－７,MR-28,Parallel
サクリファイス,MR-29,Ultra
サクリファイス,MR-29,Parallel
弓を引くマーメイド,MR-30,nomal
墓守の使い魔,MR-31,nomal
邪悪な儀式,MR-32,nomal
成金ゴブリン,MR-33,nomal
通行税,MR-34,Rare
最終戦争,MR-35,nomal
強奪,MR-36,nomal
聖域の歌声,MR-37,nomal
押収,MR-38,Rare
いたずら好きな双子悪魔,MR-39,nomal
闇の訪れ,MR-40,Rare
天使の手鏡,MR-41,nomal
移り気な仕立屋,MR-42,nomal
突進,MR-43,nomal
頼もしき守護者,MR-44,nomal
強引な番兵,MR-45,Super
魔力の枷,MR-46,nomal
サイクロン,MR-47,nomal
ハリケーン,MR-48,nomal
苦渋の選択,MR-49,nomal
毒蛇の牙,MR-50,nomal
