name,card_id,rare
ＣＮｏ.１０００ 夢幻虚神ヌメロニアス,NCF1-JPS01,Ultra RED Ver.
ＣｉＮｏ.１０００ 夢幻虚光神ヌメロニアス・ヌメロニア,NCF1-JPS02,Ultra RED Ver.
ヌメロン・カオス・リチューアル,NCF1-JPS03,nomal
Ｎｏ.１ ゲート・オブ・ヌメロン－エーカム,NCF1-JP001,nomal
Ｎｏ.２ ゲート・オブ・ヌメロン－ドゥヴェー,NCF1-JP002,nomal
Ｎｏ.３ ゲート・オブ・ヌメロン－トゥリーニ,NCF1-JP003,nomal
Ｎｏ.４ ゲート・オブ・ヌメロン－チャトゥヴァーリ,NCF1-JP004,nomal
Ｎｏ.５ 亡朧竜 デス・キマイラ・ドラゴン,NCF1-JP005,nomal
Ｎｏ.６ 先史遺産アトランタル,NCF1-JP006,nomal
Ｎｏ.７ ラッキー・ストライプ,NCF1-JP007,nomal
Ｎｏ.８ 紋章王ゲノム・ヘリター,NCF1-JP008,nomal
Ｎｏ.９ 天蓋星ダイソン・スフィア,NCF1-JP009,nomal
Ｎｏ.１０ 白輝士イルミネーター,NCF1-JP010,nomal
Ｎｏ.１１ ビッグ・アイ,NCF1-JP011,nomal
Ｎｏ.１２ 機甲忍者クリムゾン・シャドー,NCF1-JP012,nomal
Ｎｏ.１３ ケインズ・デビル,NCF1-JP013,nomal
Ｎｏ.１４ 強欲のサラメーヤ,NCF1-JP014,nomal
Ｎｏ.１５ ギミック・パペット－ジャイアントキラー,NCF1-JP015,nomal
Ｎｏ.１６ 色の支配者ショック・ルーラー,NCF1-JP016,nomal
Ｎｏ.１７ リバイス・ドラゴン,NCF1-JP017,nomal
Ｎｏ.１８ 紋章祖プレイン・コート,NCF1-JP018,nomal
Ｎｏ.１９ フリーザードン,NCF1-JP019,nomal
Ｎｏ.２０ 蟻岩土ブリリアント,NCF1-JP020,nomal
Ｎｏ.２１ 氷結のレディ・ジャスティス,NCF1-JP021,nomal
Ｎｏ.２２ 不乱健,NCF1-JP022,nomal
Ｎｏ.２３ 冥界の霊騎士ランスロット,NCF1-JP023,nomal
Ｎｏ.２４ 竜血鬼ドラギュラス,NCF1-JP024,nomal
Ｎｏ.２５ 重装光学撮影機フォーカス・フォース,NCF1-JP025,nomal
